time,size,pict_type
0,427,I
0.016667,70,P
0.033333,74,P
0.05,75,P
0.066667,15829,I
0.083333,15174,P
0.1,483,B
0.116667,475,B
0.133333,20420,P
0.15,635,B
0.166667,611,B
0.183333,17285,P
0.2,18434,P
0.216667,1040,B
0.233333,3491,P
0.25,22187,P
0.266667,1076,B
0.283333,1161,B
0.3,3526,P
0.316667,806,B
0.333333,1874,P
0.35,557,B
0.366667,1506,P
0.383333,855,B
0.4,5824,P
0.416667,1075,B
0.433333,14003,P
0.45,957,B
0.466667,10151,P
0.483333,882,B
0.5,8513,P
0.516667,471,B
0.533333,470,B
0.55,1777,P
0.566667,1574,P
0.583333,586,B
0.6,2155,P
0.616667,848,B
0.633333,1533,P
0.65,760,B
0.666667,2010,P
0.683333,464,B
0.7,434,B
0.716667,1690,P
0.733333,1318,P
0.75,706,B
0.766667,2523,P
0.783333,602,B
0.8,1265,P
0.816667,595,B
0.833333,477,B
0.85,2377,P
0.866667,359,B
0.883333,350,B
0.9,1682,P
0.916667,363,B
0.933333,429,B
0.95,999,P
0.966667,751,B
0.983333,749,B
1.0,1962,P
1.016667,587,B
1.033333,722,B
1.05,1843,P
1.066667,553,B
1.083333,1777,P
1.1,399,B
1.116667,377,B
1.133333,1451,P
1.15,500,B
1.166667,593,B
1.183333,1806,P
1.2,1361,P
1.216667,535,B
1.233333,1881,P
1.25,532,B
1.266667,2202,P
1.283333,566,B
1.3,2039,P
1.316667,488,B
1.333333,1808,P
1.35,600,B
1.366667,1901,P
1.383333,1618,P
1.4,559,B
1.416667,1893,P
1.433333,497,B
1.45,2262,P
1.466667,1354,P
1.483333,1443,P
1.5,375,B
1.516667,2175,P
1.533333,1221,P
1.55,261,B
1.566667,1563,P
1.583333,226,B
1.6,1282,P
1.616667,145,B
1.633333,884,P
1.65,121,B
1.666667,814,P
1.683333,108,B
1.7,770,P
1.716667,120,B
1.733333,616,P
1.75,147,B
1.766667,1046,P
1.783333,123,B
1.8,111,B
1.816667,496,P
1.833333,195,P
1.85,117,B
1.866667,110,B
1.883333,297,P
1.9,147,B
1.916667,181,B
1.933333,795,P
1.95,344,B
1.966667,1456,P
1.983333,398,B
2.0,2187,P
2.016667,348,B
2.033333,1585,P
2.05,1223,P
2.066667,272,B
2.083333,1379,P
2.1,313,B
2.116667,1582,P
2.133333,385,B
2.15,337,B
2.166667,2039,P
2.183333,371,B
2.2,381,B
2.216667,1954,P
2.233333,341,B
2.25,2437,P
2.266667,302,B
2.283333,1789,P
2.3,294,B
2.316667,276,B
2.333333,1708,P
2.35,192,B
2.366667,1335,P
2.383333,183,B
2.4,1330,P
2.416667,159,B
2.433333,1230,P
2.45,169,B
2.466667,166,B
2.483333,1562,P
2.5,214,B
2.516667,162,B
2.533333,1771,P
2.55,134,B
2.566667,127,B
2.583333,1275,P
2.6,115,B
2.616667,106,B
2.633333,1316,P
2.65,106,B
2.666667,105,B
2.683333,948,P
2.7,650,P
2.716667,428,P
2.733333,487,P
2.75,132,B
2.766667,1124,P
2.783333,322,P
2.8,398,P
2.816667,203,P
2.833333,256,P
2.85,263,P
2.866667,268,P
2.883333,213,P
2.9,175,P
2.916667,209,P
2.933333,181,P
2.95,130,P
2.966667,188,P
2.983333,111,P
3.0,124,B
3.016667,519,P
3.033333,103,B
3.05,148,P
3.066667,147,P
3.083333,125,P
3.1,98,P
3.116667,105,B
3.133333,205,P
3.15,95,P
3.166667,135,P
3.183333,102,P
3.2,107,P
3.216667,114,P
3.233333,155,B
3.25,190,B
3.266667,983,P
3.283333,237,B
3.3,230,B
3.316667,1584,P
3.333333,210,B
3.35,1398,P
3.366667,211,B
3.383333,258,B
3.4,1471,P
3.416667,263,B
3.433333,260,B
3.45,1551,P
3.466667,265,B
3.483333,300,B
3.5,1654,P
3.516667,212,B
3.533333,1177,P
3.55,1693,B
3.566667,669,B
3.583333,3261,P
3.6,1939,B
3.616667,1960,B
3.633333,3714,P
3.65,2897,B
3.666667,3970,P
3.683333,4602,B
3.7,1149,B
3.716667,3339,P
3.733333,1169,B
3.75,3932,B
3.766667,2647,P
3.783333,1642,B
3.8,4823,B
3.816667,1800,P
3.833333,1341,B
3.85,1741,B
3.866667,2427,P
3.883333,3677,B
3.9,3158,B
3.916667,2417,P
3.933333,3029,B
3.95,3103,B
3.966667,2333,P
3.983333,4277,B
4.0,4156,B
4.016667,2342,P
4.033333,4823,B
4.05,998,B
4.066667,2129,P
4.083333,1042,B
4.1,1807,B
4.116667,1773,P
4.133333,682,B
4.15,1278,P
4.166667,5124,B
4.183333,1938,P
4.2,447,I
4.216667,71,P
4.233333,72,P
4.25,84,P
4.266667,73,P
4.283333,73,P
4.3,73,P
4.316667,73,P
4.333333,73,P
4.35,73,P
4.366667,73,P
4.383333,73,P
4.4,5381,B
4.416667,24703,P
4.433333,28652,P
4.45,6128,B
4.466667,39353,P
4.483333,8791,B
4.5,45899,P
4.516667,9899,B
4.533333,34208,P
4.55,12248,B
4.566667,10688,B
4.583333,41213,P
4.6,15589,B
4.616667,10694,B
4.633333,36744,P
4.65,16866,B
4.666667,10948,B
4.683333,34119,P
4.7,15816,B
4.716667,11083,B
4.733333,32263,P
4.75,7749,B
4.766667,7335,B
4.783333,43887,P
4.8,6626,P
4.816667,2362,P
4.833333,1011,P
4.85,1109,P
4.866667,935,P
4.883333,1081,P
4.9,956,P
4.916667,1065,P
4.933333,839,P
4.95,842,P
4.966667,685,P
4.983333,451,P
5.0,101150,I
5.016667,758,P
5.033333,302,P
5.05,692,P
5.066667,1658,P
5.083333,2767,P
5.1,2301,P
5.116667,2135,P
