time,size,pict_type
0,1120,I
0.016667,68,B
0.033333,67,B
0.05,71,P
0.066667,8414,I
0.083333,806,B
0.1,6180,P
0.116667,3679,P
0.133333,502,B
0.15,4513,P
0.166667,4171,P
0.183333,812,B
0.2,7102,P
0.216667,421,B
0.233333,283,B
0.25,332,B
0.266667,4087,P
0.283333,396,B
0.3,446,B
0.316667,357,B
0.333333,1671,P
0.35,216,B
0.366667,398,B
0.383333,229,B
0.4,1255,P
0.416667,363,B
0.433333,518,B
0.45,364,B
0.466667,1973,P
0.483333,354,B
0.5,468,B
0.516667,219,B
0.533333,1856,P
0.55,212,B
0.566667,475,B
0.583333,295,B
0.6,1527,P
0.616667,383,B
0.633333,1146,P
0.65,318,B
0.666667,400,B
0.683333,179,B
0.7,1375,P
0.716667,218,B
0.733333,419,B
0.75,322,B
0.766667,1343,P
0.783333,307,B
0.8,252,B
0.816667,293,B
0.833333,1107,P
0.85,179,B
0.866667,241,B
0.883333,166,B
0.9,835,P
0.916667,168,B
0.933333,291,B
0.95,301,B
0.966667,806,P
0.983333,378,B
1.0,418,B
1.016667,248,B
1.033333,984,P
1.05,320,B
1.066667,426,B
1.083333,209,B
1.1,1197,P
1.116667,155,B
1.133333,276,B
1.15,210,B
1.166667,592,P
1.183333,342,B
1.2,489,B
1.216667,300,B
1.233333,1326,P
1.25,248,B
1.266667,476,B
1.283333,273,B
1.3,1249,P
1.316667,219,B
1.333333,476,B
1.35,263,B
1.366667,1141,P
1.383333,254,B
1.4,431,B
1.416667,236,B
1.433333,1125,P
1.45,210,B
1.466667,374,B
1.483333,200,B
1.5,1081,P
1.516667,199,B
1.533333,265,B
1.55,150,B
1.566667,889,P
1.583333,118,B
1.6,156,B
1.616667,79,B
1.633333,484,P
1.65,67,B
1.666667,84,B
1.683333,67,B
1.7,427,P
1.716667,67,B
1.733333,79,B
1.75,67,B
1.766667,332,P
1.783333,67,B
1.8,72,B
1.816667,67,B
1.833333,256,P
1.85,67,B
1.866667,72,B
1.883333,67,B
1.9,168,P
1.916667,84,B
1.933333,170,B
1.95,125,B
1.966667,565,P
1.983333,153,B
2.0,313,B
2.016667,121,B
2.033333,903,P
2.05,125,B
2.066667,199,B
2.083333,143,B
2.1,665,P
2.116667,147,B
2.133333,259,B
2.15,126,B
2.166667,820,P
2.183333,144,B
2.2,246,B
2.216667,136,B
2.233333,751,P
2.25,142,B
2.266667,248,B
2.283333,106,B
2.3,765,P
2.316667,92,B
2.333333,205,B
2.35,87,B
2.366667,688,P
2.383333,87,B
2.4,130,B
2.416667,67,B
2.433333,631,P
2.45,73,B
2.466667,112,B
2.483333,67,B
2.5,556,P
2.516667,76,B
2.533333,104,B
2.55,68,B
2.566667,479,P
2.583333,67,B
2.6,79,B
2.616667,67,B
2.633333,469,P
2.65,67,B
2.666667,72,B
2.683333,67,B
2.7,349,P
2.716667,67,B
2.733333,72,B
2.75,67,B
2.766667,288,P
2.783333,67,B
2.8,72,B
2.816667,67,B
2.833333,242,P
2.85,67,B
2.866667,72,B
