time,size,pict_type
0,450,I
0.016667,79,B
0.033333,81,B
0.05,80,B
0.066667,4649,P
0.083333,79,B
0.1,80,B
0.116667,79,B
0.133333,10257,P
0.15,79,B
0.166667,80,B
0.183333,79,B
0.2,15526,P
0.216667,262,B
0.233333,122,B
0.25,366,B
0.266667,1563,P
0.283333,305,B
0.3,340,B
0.316667,270,B
0.333333,1291,P
0.35,166,B
0.366667,283,B
0.383333,163,B
0.4,721,P
0.416667,689,B
0.433333,800,B
0.45,466,B
0.466667,1109,P
0.483333,645,B
0.5,578,B
0.516667,293,B
0.533333,1266,P
0.55,615,B
0.566667,918,B
0.583333,621,B
0.6,1694,P
0.616667,796,B
0.633333,764,B
0.65,715,B
0.666667,2059,P
0.683333,570,B
0.7,797,B
0.716667,520,B
0.733333,2398,P
0.75,1069,B
0.766667,946,B
0.783333,576,B
0.8,2920,P
0.816667,833,B
0.833333,831,B
0.85,610,B
0.866667,2824,P
0.883333,509,B
0.9,798,B
0.916667,511,B
0.933333,2465,P
0.95,939,B
0.966667,1336,B
0.983333,871,B
1.0,3958,P
1.016667,889,B
1.033333,1296,B
1.05,1281,B
1.066667,4038,P
1.083333,1230,B
1.1,1349,B
1.116667,667,B
1.133333,4017,P
1.15,1175,B
1.166667,1898,B
1.183333,1616,B
1.2,4066,P
1.216667,1276,B
1.233333,2374,B
1.25,1209,B
1.266667,5255,P
1.283333,1702,B
1.3,3071,B
1.316667,1339,B
1.333333,5519,P
1.35,1702,B
1.366667,3467,B
1.383333,2035,B
1.4,4684,P
1.416667,2415,B
1.433333,2989,B
1.45,2185,B
1.466667,4695,P
1.483333,2141,B
1.5,2850,B
1.516667,1745,B
1.533333,7150,P
1.55,1163,B
1.566667,4792,B
1.583333,1109,B
1.6,3112,P
1.616667,846,B
1.633333,2633,B
1.65,510,B
1.666667,3480,P
1.683333,434,B
1.7,1932,B
1.716667,308,B
1.733333,2877,P
1.75,769,B
1.766667,2145,B
1.783333,643,B
1.8,11835,P
1.816667,576,B
1.833333,872,B
1.85,384,B
1.866667,6458,P
1.883333,474,B
1.9,835,B
1.916667,568,B
1.933333,6819,P
1.95,1274,B
1.966667,2809,B
1.983333,1414,B
2.0,7738,P
2.016667,882,B
2.033333,2310,B
2.05,1546,B
2.066667,6484,P
2.083333,1635,B
2.1,2237,B
2.116667,1823,B
2.133333,5901,P
2.15,1194,B
2.166667,2858,B
2.183333,1379,B
2.2,5556,P
2.216667,2185,B
2.233333,2468,B
2.25,2401,B
2.266667,5894,P
2.283333,1958,B
2.3,2105,B
2.316667,770,B
