time,size,pict_type
0,496,I
0.016667,82,B
0.033333,82,B
0.05,84,P
0.066667,82,B
0.083333,82,B
0.1,2806,P
0.116667,92,B
0.133333,82,B
0.15,5083,P
0.166667,82,B
0.183333,82,B
0.2,6963,P
0.216667,195,B
0.233333,110,B
0.25,1482,P
0.266667,181,B
0.283333,262,B
0.3,813,P
0.316667,203,B
0.333333,172,B
0.35,492,P
0.366667,132,B
0.383333,150,B
0.4,294,P
0.416667,203,B
0.433333,240,B
0.45,723,P
0.466667,184,B
0.483333,188,B
0.5,542,P
0.516667,121,B
0.533333,132,B
0.55,282,P
0.566667,157,B
0.583333,197,B
0.6,468,P
0.616667,215,B
0.633333,147,B
0.65,318,P
0.666667,152,B
0.683333,118,B
0.7,327,P
0.716667,127,B
0.733333,147,B
0.75,332,P
0.766667,123,B
0.783333,196,B
0.8,380,P
0.816667,190,B
0.833333,181,B
0.85,311,P
0.866667,124,B
0.883333,126,B
0.9,815,P
0.916667,139,B
0.933333,136,B
0.95,2187,P
0.966667,238,B
0.983333,190,B
1.0,553,P
1.016667,240,B
1.033333,168,B
1.05,6171,P
1.066667,202,B
1.083333,173,B
1.1,3377,P
1.116667,146,B
1.133333,139,B
1.15,4590,P
1.166667,182,B
1.183333,236,B
1.2,1310,P
1.216667,201,B
1.233333,162,B
1.25,2919,P
1.266667,172,B
1.283333,160,B
1.3,1256,P
1.316667,140,B
1.333333,183,B
1.35,765,P
1.366667,176,B
1.383333,164,B
1.4,823,P
1.416667,184,B
1.433333,172,B
1.45,886,P
1.466667,160,B
1.483333,163,B
1.5,679,P
1.516667,146,B
1.533333,135,B
1.55,4219,P
1.566667,118,B
1.583333,116,B
1.6,1127,P
1.616667,89,B
1.633333,85,B
1.65,489,P
1.666667,82,B
1.683333,82,B
1.7,3840,P
1.716667,82,B
1.733333,82,B
1.75,612,P
1.766667,82,B
1.783333,82,B
1.8,2133,P
1.816667,82,B
1.833333,82,B
1.85,607,P
1.866667,82,B
1.883333,82,B
1.9,193,P
1.916667,99,B
1.933333,117,B
1.95,538,P
1.966667,138,B
1.983333,144,B
2.0,878,P
2.016667,133,B
2.033333,133,B
2.05,713,P
2.066667,128,B
2.083333,127,B
2.1,669,P
2.116667,139,B
2.133333,133,B
2.15,709,P
2.166667,139,B
2.183333,144,B
2.2,682,P
2.216667,136,B
2.233333,129,B
2.25,840,P
2.266667,128,B
2.283333,124,B
2.3,610,P
2.316667,105,B
2.333333,109,B
2.35,610,P
2.366667,90,B
2.383333,85,B
2.4,557,P
2.416667,82,B
2.433333,84,B
2.45,440,P
2.466667,88,B
2.483333,88,B
2.5,516,P
2.516667,86,B
2.533333,82,B
2.55,386,P
2.566667,82,B
2.583333,82,B
2.6,404,P
2.616667,82,B
2.633333,82,B
2.65,376,P
2.666667,82,B
2.683333,82,B
2.7,376,P
2.716667,82,B
2.733333,82,B
2.75,338,P
2.766667,82,B
2.783333,82,B
2.8,229,P
2.816667,82,B
2.833333,82,B
2.85,188,P
2.866667,82,B
2.883333,82,B
2.9,163,P
2.916667,82,B
2.933333,82,B
2.95,148,P
2.966667,82,B
2.983333,82,B
3.0,175,P
3.016667,82,B
3.033333,82,B
3.05,150,P
3.066667,82,B
3.083333,82,B
3.1,121,P
3.116667,82,B
3.133333,82,B
3.15,116,P
3.166667,82,B
3.183333,82,B
3.2,107,P
3.216667,89,B
3.233333,88,B
3.25,281,P
3.266667,96,B
3.283333,99,B
3.3,510,P
3.316667,97,B
3.333333,100,B
3.35,676,P
3.366667,104,B
3.383333,103,B
3.4,615,P
3.416667,114,B
3.433333,116,B
3.45,655,P
3.466667,106,B
3.483333,107,B
3.5,657,P
3.516667,97,B
3.533333,104,B
3.55,3640,P
3.566667,89,B
3.583333,85,B
3.6,7890,P
3.616667,82,B
3.633333,82,B
3.65,8122,P
3.666667,82,B
3.683333,82,B
3.7,8791,P
3.716667,82,B
3.733333,94,B
3.75,7456,P
3.766667,82,B
3.783333,89,B
3.8,10041,P
3.816667,94,B
3.833333,82,B
3.85,6339,P
3.866667,82,B
3.883333,82,B
3.9,9536,P
3.916667,83,B
3.933333,84,B
3.95,6782,P
3.966667,82,B
3.983333,82,B
4.0,8572,P
4.016667,82,B
4.033333,82,B
4.05,5510,P
4.066667,82,B
4.083333,82,B
4.1,5527,P
4.116667,82,B
4.133333,83,B
4.15,3822,P
4.166667,82,B
4.183333,82,B
4.2,1595,P
4.216667,82,B
4.233333,82,B
4.25,83,P
4.266667,493,I
4.283333,83,B
4.3,83,B
4.316667,2729,P
4.333333,82,B
4.35,82,B
4.366667,86,P
4.383333,131,B
4.4,157,B
4.416667,7664,P
4.433333,82,B
4.45,82,B
4.466667,24845,P
4.483333,82,B
4.5,82,B
4.516667,26931,P
4.533333,82,B
4.55,82,B
4.566667,23361,P
4.583333,82,B
4.6,82,B
4.616667,14178,P
4.633333,82,B
4.65,82,B
4.666667,13652,P
4.683333,82,B
4.7,82,B
4.716667,17706,P
4.733333,82,B
4.75,82,B
4.766667,18785,P
4.783333,115,B
4.8,82,B
4.816667,6135,P
4.833333,82,B
4.85,82,B
4.866667,4857,P
4.883333,82,B
4.9,82,B
4.916667,5577,P
4.933333,82,B
4.95,82,B
4.966667,9041,P
4.983333,82,B
5.0,82,B
5.016667,4924,P
5.033333,82,B
5.05,82,B
5.066667,6175,P
5.083333,83,B
5.1,129,B
5.116667,3807,P
5.133333,97,B
5.15,106,B
5.166667,4317,P
5.183333,84,B
5.2,82,B
5.216667,5644,P
5.233333,108,B
5.25,83,B
5.266667,3921,P
5.283333,85,B
5.3,82,B
5.316667,4146,P
5.333333,94,B
5.35,82,B
5.366667,6478,P
5.383333,84,B
5.4,107,B
5.416667,4298,P
5.433333,165,B
5.45,93,B
5.466667,7611,P
5.483333,189,B
5.5,185,B
5.516667,6669,P
5.533333,234,B
5.55,203,B
5.566667,6547,P
5.583333,244,B
5.6,249,B
5.616667,6654,P
5.633333,248,B
5.65,251,B
5.666667,6843,P
5.683333,205,B
5.7,199,B
5.716667,7555,P
5.733333,225,B
5.75,267,B
5.766667,6465,P
5.783333,269,B
5.8,254,B
5.816667,7333,P
5.833333,273,B
5.85,291,B
5.866667,7774,P
5.883333,297,B
5.9,275,B
5.916667,4518,P
5.933333,296,B
5.95,286,B
5.966667,8378,P
5.983333,303,B
6.0,274,B
6.016667,5931,P
6.033333,241,B
6.05,239,B
6.066667,12181,P
6.083333,255,B
6.1,267,B
6.116667,4936,P
6.133333,280,B
6.15,263,B
6.166667,9402,P
6.183333,351,B
6.2,283,B
6.216667,8654,P
6.233333,297,B
6.25,258,B
6.266667,9964,P
6.283333,270,B
6.3,263,B
6.316667,8870,P
6.333333,256,B
6.35,264,B
6.366667,9538,P
6.383333,256,B
6.4,269,B
6.416667,9112,P
6.433333,285,B
6.45,236,B
6.466667,10440,P
6.483333,278,B
6.5,287,B
6.516667,7334,P
6.533333,311,B
6.55,286,B
6.566667,11626,P
6.583333,273,B
6.6,309,B
6.616667,7434,P
6.633333,337,B
6.65,303,B
6.666667,10528,P
6.683333,286,B
6.7,322,B
6.716667,9757,P
6.733333,410,B
6.75,381,B
6.766667,10267,P
6.783333,359,B
6.8,375,B
6.816667,10295,P
6.833333,348,B
6.85,377,B
6.866667,10595,P
6.883333,344,B
6.9,357,B
6.916667,10853,P
6.933333,369,B
6.95,367,B
6.966667,10644,P
6.983333,410,B
7.0,391,B
7.016667,11079,P
7.033333,426,B
7.05,413,B
7.066667,11360,P
7.083333,380,B
7.1,403,B
7.116667,11444,P
7.133333,394,B
7.15,368,B
7.166667,10102,P
7.183333,373,B
7.2,398,B
7.216667,13354,P
7.233333,364,B
7.25,412,B
7.266667,12147,P
7.283333,403,B
7.3,359,B
7.316667,13127,P
7.333333,413,B
7.35,366,B
7.366667,13723,P
7.383333,381,B
7.4,404,B
7.416667,14433,P
7.433333,390,B
7.45,360,B
7.466667,14018,P
7.483333,383,B
7.5,353,B
7.516667,14887,P
7.533333,377,B
7.55,345,B
7.566667,12204,P
7.583333,416,B
7.6,424,B
7.616667,14097,P
7.633333,420,B
7.65,445,B
7.666667,13777,P
7.683333,484,B
7.7,489,B
7.716667,14316,P
7.733333,434,B
7.75,476,B
7.766667,18055,P
7.783333,487,B
7.8,407,B
7.816667,14150,P
7.833333,412,B
7.85,406,B
7.866667,14730,P
7.883333,417,B
7.9,455,B
7.916667,13917,P
7.933333,476,B
7.95,473,B
7.966667,16640,P
7.983333,525,B
8.0,473,B
8.016667,17322,P
8.033333,463,B
8.05,468,B
8.066667,13683,P
8.083333,481,B
8.1,473,B
8.116667,11000,P
8.133333,467,B
8.15,483,B
8.166667,12740,P
8.183333,464,B
8.2,484,B
8.216667,14199,P
8.233333,489,B
8.25,485,B
8.266667,15225,P
8.283333,530,B
8.3,462,B
8.316667,12650,P
8.333333,466,B
8.35,456,B
8.366667,14392,P
8.383333,562,B
8.4,481,B
8.416667,16169,P
8.433333,545,B
8.45,440,B
8.466667,15005,P
8.483333,379,B
8.5,408,B
8.516667,17701,P
8.533333,23408,I
8.55,699,B
8.566667,573,B
8.583333,38337,P
8.6,458,B
8.616667,465,B
8.633333,9393,P
8.65,466,B
8.666667,476,B
8.683333,20991,P
8.7,447,B
8.716667,488,B
8.733333,12014,P
8.75,456,B
8.766667,433,B
8.783333,14136,P
8.8,496,B
8.816667,496,B
8.833333,10918,P
8.85,484,B
8.866667,470,B
8.883333,14770,P
8.9,481,B
8.916667,489,B
8.933333,12564,P
8.95,485,B
8.966667,450,B
8.983333,12344,P
9.0,486,B
9.016667,531,B
9.033333,13670,P
9.05,447,B
9.066667,503,B
9.083333,10555,P
9.1,441,B
9.116667,503,B
9.133333,12410,P
9.15,445,B
9.166667,483,B
9.183333,14869,P
9.2,530,B
9.216667,525,B
9.233333,13189,P
9.25,491,B
9.266667,490,B
9.283333,14675,P
9.3,438,B
9.316667,430,B
9.333333,11004,P
9.35,440,B
9.366667,450,B
9.383333,10130,P
9.4,453,B
9.416667,444,B
9.433333,10024,P
9.45,442,B
9.466667,467,B
9.483333,10721,P
9.5,419,B
9.516667,425,B
9.533333,9853,P
9.55,410,B
9.566667,450,B
9.583333,9380,P
9.6,452,B
9.616667,426,B
9.633333,10106,P
9.65,405,B
9.666667,406,B
9.683333,10412,P
9.7,435,B
9.716667,461,B
9.733333,11534,P
