time,size,pict_type
0,566,I
0.016667,66,B
0.033333,66,B
0.05,68,P
0.066667,10439,B
0.083333,14464,B
0.1,17399,P
0.116667,19823,B
0.133333,21211,B
0.15,24096,P
0.166667,22287,B
0.183333,23180,B
0.2,28811,P
0.216667,1788,B
0.233333,1347,B
0.25,11141,P
0.266667,1051,B
0.283333,1216,B
0.3,3867,P
0.316667,1090,B
0.333333,832,B
0.35,2598,P
0.366667,803,B
0.383333,890,B
0.4,3577,P
0.416667,1059,B
0.433333,1345,B
0.45,6767,P
0.466667,1067,B
0.483333,792,B
0.5,4911,P
0.516667,468,B
0.533333,485,B
0.55,2048,P
0.566667,710,B
0.583333,877,B
0.6,2347,P
0.616667,922,B
0.633333,690,B
0.65,1866,P
0.666667,755,B
0.683333,542,B
0.7,1962,P
0.716667,611,B
0.733333,770,B
0.75,1891,P
0.766667,637,B
0.783333,629,B
0.8,1749,P
0.816667,590,B
0.833333,491,B
0.85,1884,P
0.866667,336,B
0.883333,360,B
0.9,1414,P
0.916667,371,B
0.933333,426,B
0.95,1104,P
0.966667,904,B
0.983333,681,B
1.0,1963,P
1.016667,571,B
1.033333,618,B
1.05,1715,P
1.066667,626,B
1.083333,549,B
1.1,1726,P
1.116667,497,B
1.133333,617,B
1.15,1226,P
1.166667,738,B
1.183333,982,B
1.2,1937,P
1.216667,734,B
1.233333,843,B
1.25,1994,P
1.266667,892,B
1.283333,762,B
1.3,1916,P
1.316667,624,B
1.333333,914,B
1.35,1702,P
1.366667,758,B
1.383333,781,B
1.4,1969,P
1.416667,665,B
1.433333,570,B
1.45,2068,P
1.466667,567,B
1.483333,620,B
1.5,1697,P
1.516667,459,B
1.533333,405,B
1.55,1293,P
1.566667,327,B
1.583333,372,B
1.6,1059,P
1.616667,196,B
1.633333,255,B
1.65,4174,P
1.666667,158,B
1.683333,161,B
1.7,1535,P
1.716667,120,B
1.733333,151,B
1.75,891,P
1.766667,120,B
1.783333,131,B
1.8,574,P
1.816667,115,B
1.833333,114,B
1.85,428,P
1.866667,106,B
1.883333,107,B
1.9,280,P
1.916667,168,B
1.933333,451,B
1.95,1071,P
1.966667,644,B
1.983333,1306,P
2.0,27564,I
2.016667,284,B
2.033333,376,B
2.05,1527,P
2.066667,268,B
2.083333,343,B
2.1,1233,P
2.116667,425,B
2.133333,396,B
2.15,1225,P
2.166667,425,B
2.183333,335,B
2.2,1255,P
2.216667,340,B
2.233333,313,B
2.25,1577,P
2.266667,258,B
2.283333,386,B
2.3,1124,P
2.316667,300,B
2.333333,343,B
2.35,1092,P
2.366667,240,B
2.383333,198,B
2.4,1029,P
2.416667,153,B
2.433333,190,B
