time,size,pict_type
0,625,I
0.016667,79,B
0.033333,78,B
0.05,84,P
0.066667,1912,I
0.083333,2526,P
0.1,137,B
0.116667,1240,B
0.133333,217,B
0.15,6615,P
0.166667,895,P
0.183333,193,B
0.2,244,B
0.216667,382,B
0.233333,8091,P
0.25,322,B
0.266667,326,B
0.283333,301,B
0.3,678,B
0.316667,272,B
0.333333,251,B
0.35,202,B
0.366667,5914,P
0.383333,209,B
0.4,305,B
0.416667,261,B
0.433333,1831,P
0.45,292,B
0.466667,408,B
0.483333,252,B
0.5,1630,P
0.516667,190,B
0.533333,310,B
0.55,173,B
0.566667,929,P
0.583333,250,B
0.6,320,B
0.616667,379,B
0.633333,306,B
0.65,355,B
0.666667,231,B
0.683333,208,B
0.7,189,B
0.716667,1021,P
0.733333,234,B
0.75,271,B
0.766667,299,B
0.783333,438,B
0.8,292,B
0.816667,261,B
0.833333,831,P
0.85,199,B
0.866667,192,B
0.883333,199,B
0.9,167,B
0.916667,564,P
0.933333,198,B
0.95,229,B
0.966667,606,P
0.983333,258,B
1.0,243,B
1.016667,389,B
1.033333,250,B
1.05,761,P
1.066667,271,B
1.083333,217,B
1.1,202,B
1.116667,176,B
1.133333,290,B
1.15,231,B
1.166667,270,B
1.183333,266,B
1.2,720,P
1.216667,252,B
1.233333,351,B
1.25,237,B
1.266667,916,P
1.283333,254,B
1.3,305,B
1.316667,263,B
1.333333,422,B
1.35,278,B
1.366667,261,B
1.383333,1110,P
1.4,229,B
1.416667,702,P
1.433333,219,B
1.45,810,P
1.466667,248,B
1.483333,283,B
1.5,283,B
1.516667,226,B
1.533333,258,B
1.55,178,B
1.566667,163,B
1.583333,146,B
1.6,1016,P
1.616667,118,B
1.633333,132,B
1.65,347,P
1.666667,119,B
1.683333,113,B
1.7,133,B
1.716667,113,B
1.733333,114,B
1.75,421,P
1.766667,123,B
1.783333,119,B
1.8,115,B
1.816667,116,B
1.833333,125,B
1.85,109,B
1.866667,107,B
1.883333,116,B
1.9,264,P
1.916667,124,B
1.933333,168,B
1.95,160,B
1.966667,662,P
1.983333,195,B
2.0,221,B
2.016667,207,B
2.033333,231,B
2.05,153,B
2.066667,171,B
2.083333,873,P
2.1,171,B
2.116667,189,B
2.133333,242,B
2.15,160,B
2.166667,904,P
2.183333,194,B
2.2,216,B
2.216667,227,B
2.233333,191,B
2.25,273,B
2.266667,178,B
2.283333,201,B
2.3,173,B
2.316667,1008,P
2.333333,161,B
2.35,151,B
2.366667,160,B
2.383333,191,B
2.4,154,B
2.416667,138,B
2.433333,753,P
2.45,116,B
2.466667,141,B
2.483333,569,P
2.5,144,B
2.516667,138,B
2.533333,150,B
2.55,140,B
2.566667,160,B
2.583333,121,B
2.6,112,B
2.616667,125,B
2.633333,690,P
2.65,111,B
2.666667,108,B
2.683333,115,B
2.7,111,B
2.716667,112,B
2.733333,110,B
2.75,112,B
2.766667,402,P
2.783333,113,B
2.8,116,B
2.816667,107,B
2.833333,112,B
2.85,113,B
2.866667,252,P
2.883333,110,B
2.9,113,B
2.916667,163,P
2.933333,107,B
2.95,108,B
2.966667,114,B
2.983333,108,B
3.0,158,P
3.016667,187,P
3.033333,112,B
3.05,149,P
3.066667,114,B
