time,size,pict_type
0,605,I
0.016667,109,B
0.033333,108,B
0.05,122,P
0.066667,1706,I
0.083333,1769,P
0.1,106,B
0.116667,497,B
0.133333,129,B
0.15,5356,P
0.166667,891,P
0.183333,116,B
0.2,146,B
0.216667,287,B
0.233333,3837,P
0.25,324,B
0.266667,333,B
0.283333,396,B
0.3,268,B
0.316667,1494,P
0.333333,224,B
0.35,154,B
0.366667,182,B
0.383333,167,B
0.4,858,P
0.416667,258,B
0.433333,307,B
0.45,198,B
0.466667,286,B
0.483333,816,P
0.5,229,B
0.516667,163,B
0.533333,179,B
0.55,185,B
0.566667,810,P
0.583333,220,B
0.6,283,B
0.616667,369,B
0.633333,292,B
0.65,648,P
0.666667,165,B
0.683333,153,B
0.7,234,B
0.716667,162,B
0.733333,720,P
0.75,203,B
0.766667,275,B
0.783333,300,B
0.8,279,B
0.816667,678,P
0.833333,181,B
0.85,510,P
0.866667,312,P
0.883333,144,B
0.9,192,B
0.916667,441,P
0.933333,154,B
0.95,265,B
0.966667,671,P
0.983333,276,B
1.0,218,B
1.016667,371,B
1.033333,251,B
1.05,590,P
1.066667,230,B
1.083333,482,P
1.1,167,B
1.116667,152,B
1.133333,238,B
1.15,187,B
1.166667,509,P
1.183333,228,B
1.2,403,B
1.216667,253,B
1.233333,868,P
1.25,159,B
1.266667,355,B
1.283333,205,B
1.3,907,P
1.316667,171,B
1.333333,197,B
1.35,320,B
1.366667,200,B
1.383333,880,P
1.4,175,B
1.416667,276,B
1.433333,790,P
1.45,197,B
1.466667,211,B
1.483333,270,B
1.5,198,B
1.516667,865,P
1.533333,151,B
1.55,154,B
1.566667,186,B
1.583333,143,B
1.6,680,P
1.616667,123,B
1.633333,137,B
1.65,274,P
1.666667,122,B
1.683333,122,B
1.7,147,B
1.716667,145,B
1.733333,289,P
1.75,125,B
1.766667,124,B
1.783333,143,B
1.8,136,B
1.816667,291,P
1.833333,119,B
1.85,138,B
1.866667,168,P
1.883333,124,B
1.9,120,B
1.916667,157,B
1.933333,152,B
1.95,404,P
1.966667,128,B
1.983333,174,B
2.0,703,P
2.016667,133,B
2.033333,138,B
2.05,186,B
2.066667,149,B
2.083333,700,P
2.1,131,B
2.116667,163,B
2.133333,233,B
2.15,146,B
2.166667,710,P
2.183333,128,B
2.2,163,B
2.216667,642,P
2.233333,125,B
2.25,138,B
2.266667,184,B
2.283333,147,B
2.3,698,P
2.316667,127,B
2.333333,130,B
2.35,169,B
2.366667,143,B
2.383333,528,P
2.4,121,B
2.416667,149,B
2.433333,367,P
2.45,126,B
2.466667,124,B
2.483333,157,B
2.5,150,B
2.516667,438,P
2.533333,115,B
2.55,139,B
2.566667,353,P
2.583333,122,B
2.6,121,B
2.616667,140,B
2.633333,132,B
2.65,294,P
2.666667,118,B
2.683333,118,B
2.7,135,B
2.716667,132,B
2.733333,243,P
2.75,115,B
2.766667,137,B
2.783333,339,P
2.8,118,B
2.816667,118,B
2.833333,137,B
2.85,134,B
2.866667,258,P
2.883333,117,B
2.9,133,B
2.916667,148,P
2.933333,163,P
2.95,181,P
2.966667,118,B
2.983333,135,B
3.0,151,P
3.016667,118,B
3.033333,118,B
3.05,134,B
3.066667,134,B
3.083333,165,P
3.1,118,B
3.116667,136,B
3.133333,158,P
3.15,118,B
3.166667,118,B
3.183333,135,B
3.2,134,B
3.216667,150,P
3.233333,126,B
3.25,122,B
3.266667,156,B
3.283333,147,B
3.3,365,P
3.316667,125,B
3.333333,151,B
3.35,486,P
3.366667,135,B
3.383333,130,B
3.4,164,B
3.416667,150,B
3.433333,475,P
3.45,142,B
3.466667,140,B
3.483333,172,B
3.5,156,B
3.516667,479,P
3.533333,125,B
3.55,248,B
3.566667,134,B
3.583333,425,P
3.6,122,B
3.616667,142,B
3.633333,140,B
3.65,353,P
3.666667,155,B
3.683333,182,B
3.7,179,B
3.716667,336,P
3.733333,147,B
3.75,133,B
3.766667,132,B
3.783333,179,P
3.8,127,B
3.816667,131,B
3.833333,130,B
3.85,158,P
3.866667,129,B
3.883333,163,B
3.9,156,B
3.916667,282,P
3.933333,128,B
3.95,151,B
3.966667,127,B
3.983333,194,P
4.0,121,B
4.016667,270,B
4.033333,158,P
4.05,128,B
4.066667,157,B
4.083333,124,B
4.1,188,P
4.116667,118,B
4.133333,118,B
4.15,126,B
4.166667,1653,I
4.183333,752,I
4.2,105,B
4.216667,105,B
4.233333,106,B
4.25,105,B
4.266667,339,P
4.283333,115,B
4.3,114,B
4.316667,115,B
4.333333,127,P
4.35,116,B
4.366667,115,B
4.383333,123,P
4.4,1240,I
4.416667,160,B
4.433333,273,B
4.45,121,B
4.466667,4545,P
4.483333,196,B
4.5,408,B
4.516667,179,B
4.533333,6674,P
4.55,171,B
4.566667,340,B
4.583333,175,B
4.6,7573,P
4.616667,138,B
4.633333,346,B
4.65,151,B
4.666667,8257,P
4.683333,146,B
