time,size,pict_type
0,521,I
0.016667,78,B
0.033333,77,B
0.05,77,B
0.066667,1667,P
0.083333,225,B
0.1,145,B
0.116667,696,B
0.133333,5371,P
0.15,365,B
0.166667,874,B
0.183333,400,B
0.2,9449,P
0.216667,738,B
0.233333,709,B
0.25,1139,B
0.266667,4733,P
0.283333,805,B
0.3,927,B
0.316667,668,B
0.333333,2377,P
0.35,510,B
0.366667,839,B
0.383333,540,B
0.4,2765,P
0.416667,1001,B
0.433333,1224,B
0.45,848,B
0.466667,4121,P
0.483333,908,B
0.5,1145,B
0.516667,667,B
0.533333,3158,P
0.55,821,B
0.566667,1257,B
0.583333,837,B
0.6,3278,P
0.616667,1071,B
0.633333,1311,B
0.65,968,B
0.666667,3368,P
0.683333,868,B
0.7,1188,B
0.716667,912,B
0.733333,3599,P
0.75,1469,B
0.766667,1486,B
0.783333,1075,B
0.8,3959,P
0.816667,1385,B
0.833333,1587,B
0.85,1185,B
0.866667,3783,P
0.883333,997,B
0.9,1575,B
0.916667,1111,B
0.933333,4145,P
0.95,1746,B
0.966667,2542,B
0.983333,1917,B
1.0,5477,P
1.016667,1875,B
1.033333,2444,B
1.05,2412,B
1.066667,4764,P
1.083333,2126,B
1.1,2085,B
1.116667,1462,B
1.133333,6328,P
1.15,2319,B
1.166667,3162,B
1.183333,2900,B
1.2,5864,P
1.216667,2375,B
1.233333,3886,B
1.25,2349,B
1.266667,7307,P
1.283333,2224,B
1.3,3248,B
1.316667,1933,B
1.333333,6265,P
1.35,1595,B
1.366667,2184,B
1.383333,2415,B
1.4,7017,P
1.416667,1942,B
1.433333,1921,B
1.45,1773,B
1.466667,7625,P
1.483333,1198,B
1.5,1389,B
1.516667,1329,B
1.533333,8872,P
1.55,536,B
1.566667,965,B
1.583333,551,B
1.6,7555,P
1.616667,320,B
1.633333,604,B
1.65,208,B
1.666667,5611,P
1.683333,189,B
1.7,508,B
1.716667,312,B
1.733333,4421,P
1.75,250,B
1.766667,584,B
1.783333,256,B
1.8,5283,P
1.816667,293,B
1.833333,380,B
1.85,221,B
1.866667,3847,P
1.883333,279,B
1.9,352,B
1.916667,523,B
1.933333,4555,P
1.95,1314,B
1.966667,1853,B
1.983333,1511,B
2.0,6822,P
2.016667,1147,B
2.033333,1604,B
2.05,1508,B
2.066667,6251,P
2.083333,1591,B
2.1,1374,B
2.116667,1768,B
2.133333,5900,P
2.15,1347,B
2.166667,1884,B
2.183333,1582,B
2.2,5853,P
2.216667,1686,B
2.233333,1571,B
2.25,2236,B
2.266667,6643,P
2.283333,1538,B
2.3,1286,B
2.316667,728,B
2.333333,6006,P
2.35,717,B
2.366667,1231,B
2.383333,568,B
2.4,5162,P
2.416667,443,B
2.433333,1220,B
2.45,618,B
2.466667,5024,P
2.483333,1481,B
2.5,759,B
2.516667,981,B
2.533333,5092,P
2.55,729,B
2.566667,1128,B
2.583333,1013,B
2.6,4321,P
2.616667,618,B
2.633333,1178,B
2.65,1105,B
2.666667,4065,P
2.683333,1157,B
2.7,1574,B
2.716667,1240,B
2.733333,3938,P
2.75,960,B
2.766667,1405,B
2.783333,1163,B
2.8,4032,P
2.816667,978,B
2.833333,1180,B
2.85,994,B
2.866667,2886,P
2.883333,940,B
2.9,1007,B
2.916667,893,B
2.933333,2645,P
2.95,873,B
2.966667,955,B
2.983333,907,B
3.0,2821,P
3.016667,886,B
3.033333,958,B
3.05,888,B
3.066667,2632,P
3.083333,833,B
3.1,911,B
3.116667,843,B
3.133333,2368,P
3.15,817,B
3.166667,853,B
3.183333,831,B
3.2,2313,P
3.216667,899,B
3.233333,1601,B
3.25,1436,B
3.266667,4053,P
3.283333,1622,B
3.3,2422,B
3.316667,2500,B
3.333333,5356,P
3.35,2431,B
3.366667,2286,B
3.383333,1606,B
3.4,5248,P
3.416667,1635,B
3.433333,2443,B
3.45,2416,B
3.466667,5177,P
3.483333,1783,B
3.5,2767,B
3.516667,1306,B
3.533333,5418,P
3.55,9170,B
3.566667,7817,B
3.583333,10177,B
3.6,27875,P
3.616667,3546,B
3.633333,3681,B
3.65,2421,B
3.666667,30005,P
3.683333,2027,B
3.7,1088,B
3.716667,1005,B
3.733333,29213,P
3.75,608,B
3.766667,892,B
3.783333,571,B
3.8,18535,P
3.816667,1000,B
3.833333,683,B
3.85,522,B
3.866667,6883,P
3.883333,890,B
3.9,1059,B
3.916667,688,B
3.933333,8847,P
3.95,863,B
3.966667,994,B
3.983333,1315,B
4.0,7829,P
4.016667,748,B
4.033333,659,B
4.05,469,B
4.066667,6683,P
4.083333,521,B
4.1,378,B
4.116667,879,B
4.133333,4411,P
4.15,3623,P
4.166667,4143,I
4.183333,1283,B
4.2,80,B
4.216667,80,B
4.233333,558,P
4.25,84,B
4.266667,83,B
4.283333,84,B
4.3,83,P
4.316667,84,B
4.333333,84,B
4.35,84,B
4.366667,197,P
4.383333,110,B
4.4,3395,B
4.416667,3612,B
4.433333,18861,P
4.45,1456,B
4.466667,1816,B
4.483333,1560,B
4.5,47814,P
4.516667,1384,B
4.533333,1143,B
4.55,1417,B
4.566667,12805,P
4.583333,1873,B
4.6,1689,B
4.616667,1854,B
4.633333,17862,P
4.65,2002,B
4.666667,2014,B
4.683333,2212,B
4.7,22498,P
4.716667,1841,B
4.733333,1870,B
4.75,2225,B
4.766667,24845,P
4.783333,710,B
4.8,913,B
4.816667,445,B
4.833333,18540,P
4.85,314,B
4.866667,462,B
4.883333,245,B
4.9,7529,P
4.916667,271,B
4.933333,480,B
4.95,229,B
4.966667,6097,P
4.983333,370,B
5.0,428,B
5.016667,214,B
5.033333,17044,P
5.05,294,B
5.066667,477,B
5.083333,443,B
5.1,9801,P
5.116667,519,B
5.133333,613,B
5.15,648,B
5.166667,10196,P
5.183333,248,B
5.2,363,B
5.216667,760,B
5.233333,8855,P
5.25,296,B
5.266667,544,B
5.283333,561,B
5.3,7488,P
5.316667,316,B
5.333333,1026,B
5.35,152,B
5.366667,10877,P
5.383333,318,B
5.4,1204,B
5.416667,212,B
5.433333,8170,P
5.45,318,B
5.466667,1873,B
5.483333,686,B
5.5,9518,P
5.516667,867,B
5.533333,666,B
5.55,534,B
5.566667,11302,P
5.583333,867,B
5.6,785,B
5.616667,1573,B
5.633333,10255,P
5.65,1863,B
5.666667,720,B
5.683333,1832,B
5.7,11212,P
5.716667,2343,B
5.733333,855,B
5.75,2240,B
