time,size,pict_type
0,3247,I
0.016667,197,B
0.033333,271,B
0.05,248,B
0.066667,2563,B
0.083333,449,B
0.1,538,B
0.116667,202,B
0.133333,4540,B
0.15,194,B
0.166667,226,B
0.183333,259,B
0.2,10348,B
0.216667,398,B
0.233333,388,B
0.25,306,B
0.266667,2183,B
0.283333,342,B
0.3,371,B
0.316667,274,B
0.333333,4504,B
0.35,285,B
0.366667,307,B
0.383333,231,B
0.4,3302,B
0.416667,315,B
0.433333,344,B
0.45,272,B
0.466667,2495,B
0.483333,342,B
0.5,375,B
0.516667,229,B
0.533333,3966,B
0.55,241,B
0.566667,309,B
0.583333,272,B
0.6,987,B
0.616667,294,B
0.633333,256,B
0.65,310,B
0.666667,741,B
0.683333,228,B
0.7,292,B
0.716667,242,B
0.733333,502,B
0.75,292,B
0.766667,240,B
0.783333,276,B
0.8,665,B
0.816667,301,B
0.833333,319,B
0.85,230,B
0.866667,593,B
0.883333,262,B
0.9,290,B
0.916667,222,B
0.933333,1974,B
0.95,318,B
0.966667,385,B
0.983333,309,B
1.0,2200,B
1.016667,388,B
1.033333,491,B
1.05,348,B
1.066667,9040,B
1.083333,350,B
1.1,333,B
1.116667,250,B
1.133333,4361,B
1.15,422,B
1.166667,597,B
1.183333,452,B
1.2,11668,B
1.216667,447,B
1.233333,524,B
1.25,360,B
1.266667,4595,B
1.283333,461,B
1.3,638,B
1.316667,370,B
1.333333,10579,B
1.35,442,B
1.366667,550,B
1.383333,401,B
1.4,2615,B
1.416667,435,B
1.433333,491,B
1.45,390,B
1.466667,3026,B
1.483333,407,B
1.5,446,B
1.516667,347,B
1.533333,5533,B
1.55,370,B
1.566667,387,B
1.583333,303,B
1.6,2039,B
1.616667,338,B
1.633333,346,B
1.65,263,B
1.666667,8746,B
1.683333,290,B
1.7,290,B
1.716667,266,B
1.733333,1399,B
1.75,311,B
1.766667,295,B
1.783333,273,B
1.8,2232,B
1.816667,291,B
1.833333,285,B
1.85,254,B
1.866667,4903,B
1.883333,257,B
1.9,284,B
1.916667,290,B
1.933333,1346,B
1.95,385,B
1.966667,551,B
1.983333,370,B
2.0,2243,B
2.016667,396,B
2.033333,460,B
2.05,342,B
2.066667,2047,B
2.083333,371,B
2.1,456,B
2.116667,409,B
2.133333,2942,B
2.15,423,B
2.166667,557,B
2.183333,390,B
2.2,2462,B
2.216667,493,B
2.233333,577,B
2.25,420,B
2.266667,8064,B
2.283333,404,B
2.3,446,B
2.316667,335,B
2.333333,2389,B
2.35,348,B
2.366667,472,B
2.383333,285,B
2.4,3397,B
2.416667,312,B
2.433333,414,B
2.45,311,B
2.466667,6367,B
2.483333,377,B
2.5,448,B
2.516667,311,B
2.533333,2307,B
2.55,329,B
2.566667,432,B
2.583333,306,B
2.6,2911,B
2.616667,286,B
2.633333,370,B
2.65,276,B
2.666667,2076,B
2.683333,278,B
2.7,393,B
2.716667,272,B
2.733333,1809,B
2.75,307,B
2.766667,345,B
2.783333,290,B
2.8,1660,B
2.816667,299,B
2.833333,314,B
2.85,276,B
2.866667,1070,B
2.883333,283,B
2.9,289,B
2.916667,276,B
2.933333,869,B
2.95,272,B
2.966667,288,B
2.983333,267,B
3.0,935,B
3.016667,289,B
3.033333,288,B
3.05,273,B
3.066667,790,B
3.083333,265,B
3.1,287,B
3.116667,272,B
3.133333,666,B
3.15,270,B
3.166667,288,B
3.183333,264,B
3.2,584,B
3.216667,263,B
3.233333,466,B
3.25,324,B
3.266667,1736,B
3.283333,391,B
3.3,588,B
3.316667,531,B
3.333333,2442,B
3.35,510,B
3.366667,568,B
3.383333,431,B
3.4,2427,B
3.416667,457,B
3.433333,667,B
3.45,536,B
3.466667,2390,B
3.483333,459,B
3.5,739,B
3.516667,357,B
3.533333,2570,B
3.55,321,B
3.566667,280,B
3.583333,593,B
3.6,5317,B
3.616667,517,B
3.633333,263,B
3.65,585,B
3.666667,6469,B
3.683333,745,B
3.7,650,B
3.716667,380,B
3.733333,11012,B
3.75,679,B
3.766667,452,B
3.783333,810,B
3.8,11043,B
3.816667,625,B
3.833333,326,B
3.85,660,B
3.866667,8676,B
3.883333,698,B
3.9,278,B
3.916667,499,B
3.933333,9111,B
3.95,640,B
3.966667,386,B
3.983333,535,B
4.0,8194,B
4.016667,785,B
4.033333,342,B
4.05,462,B
4.066667,7896,B
4.083333,581,B
4.1,338,B
4.116667,372,B
4.133333,6195,B
4.15,479,B
4.166667,292,B
4.183333,582,B
4.2,3297,B
4.216667,272,B
4.233333,461,B
4.25,258,B
4.266667,629,B
4.283333,237,B
4.3,296,B
4.316667,266,B
4.333333,550,B
4.35,284,B
4.366667,2313,B
4.383333,1724,B
4.4,8171,B
4.416667,1516,B
4.433333,1830,B
4.45,1546,B
4.466667,10394,B
4.483333,825,B
4.5,557,B
4.516667,762,B
4.533333,8030,B
4.55,969,B
4.566667,1122,B
4.583333,818,B
4.6,10513,B
4.616667,972,B
4.633333,1072,B
4.65,813,B
4.666667,9328,B
4.683333,1089,B
4.7,1406,B
4.716667,817,B
4.733333,12570,B
4.75,855,B
4.766667,1079,B
4.783333,531,B
4.8,12973,B
4.816667,602,B
4.833333,650,B
4.85,354,B
4.866667,3850,B
4.883333,448,B
4.9,436,B
4.916667,337,B
4.933333,8761,B
4.95,341,B
4.966667,387,B
4.983333,284,B
5.0,8329,B
5.016667,277,B
5.033333,304,B
5.05,280,B
5.066667,1854,B
5.083333,295,B
5.1,343,B
5.116667,265,B
5.133333,6028,B
5.15,464,B
5.166667,527,B
5.183333,299,B
5.2,8412,B
5.216667,436,B
5.233333,681,B
5.25,325,B
5.266667,10064,B
5.283333,558,B
5.3,549,B
5.316667,394,B
5.333333,12025,B
5.35,359,B
5.366667,772,B
5.383333,312,B
5.4,6728,B
5.416667,367,B
5.433333,795,B
5.45,290,B
5.466667,7999,B
5.483333,591,B
5.5,719,B
5.516667,506,B
5.533333,7130,B
5.55,491,B
5.566667,901,B
5.583333,535,B
5.6,6111,B
5.616667,666,B
5.633333,688,B
5.65,637,B
5.666667,7443,B
5.683333,667,B
5.7,691,B
5.716667,625,B
5.733333,6874,B
5.75,661,B
5.766667,722,B
5.783333,506,B
5.8,8830,B
5.816667,671,B
5.833333,882,B
5.85,810,B
5.866667,11002,B
5.883333,574,B
5.9,1015,B
5.916667,605,B
5.933333,8953,B
5.95,657,B
5.966667,865,B
5.983333,555,B
6.0,12147,B
6.016667,471,B
6.033333,887,B
6.05,464,B
6.066667,9205,B
6.083333,517,B
6.1,964,B
6.116667,534,B
6.133333,10097,B
6.15,505,B
6.166667,913,B
6.183333,609,B
6.2,9238,B
6.216667,620,B
6.233333,837,B
6.25,539,B
6.266667,10989,B
6.283333,456,B
6.3,601,B
6.316667,485,B
6.333333,7884,B
6.35,431,B
6.366667,587,B
6.383333,455,B
6.4,7718,B
6.416667,456,B
6.433333,733,B
6.45,493,B
6.466667,10845,B
6.483333,520,B
6.5,661,B
6.516667,504,B
6.533333,10449,B
6.55,486,B
6.566667,705,B
6.583333,473,B
6.6,10711,B
6.616667,462,B
6.633333,669,B
6.65,470,B
6.666667,9235,B
6.683333,396,B
6.7,588,B
6.716667,443,B
6.733333,6359,B
6.75,501,B
6.766667,711,B
6.783333,463,B
6.8,7446,B
6.816667,504,B
6.833333,617,B
6.85,490,B
6.866667,8888,B
6.883333,427,B
6.9,604,B
6.916667,493,B
6.933333,5886,B
6.95,458,B
6.966667,627,B
6.983333,508,B
7.0,6844,B
7.016667,488,B
7.033333,627,B
7.05,509,B
7.066667,8397,B
7.083333,520,B
7.1,641,B
7.116667,493,B
7.133333,7806,B
7.15,505,B
7.166667,599,B
7.183333,472,B
7.2,8031,B
7.216667,422,B
7.233333,492,B
7.25,517,B
7.266667,8450,B
7.283333,410,B
7.3,472,B
7.316667,490,B
7.333333,6512,B
7.35,372,B
7.366667,506,B
7.383333,459,B
7.4,8246,B
7.416667,397,B
7.433333,502,B
7.45,395,B
7.466667,8835,B
7.483333,400,B
7.5,474,B
7.516667,468,B
7.533333,6124,B
7.55,399,B
7.566667,505,B
7.583333,416,B
7.6,9949,B
7.616667,343,B
7.633333,411,B
7.65,394,B
7.666667,3374,B
7.683333,415,B
7.7,522,B
7.716667,417,B
7.733333,9033,B
7.75,418,B
7.766667,416,B
7.783333,462,B
7.8,3318,B
7.816667,475,B
7.833333,507,B
7.85,492,B
7.866667,6324,B
7.883333,474,B
7.9,516,B
7.916667,538,B
7.933333,6771,B
7.95,485,B
7.966667,532,B
7.983333,558,B
8.0,6960,B
8.016667,509,B
8.033333,542,B
8.05,518,B
8.066667,6440,B
8.083333,497,B
8.1,522,B
8.116667,581,B
8.133333,6650,B
8.15,439,B
8.166667,543,B
8.183333,520,B
8.2,7217,B
8.216667,455,B
8.233333,563,B
8.25,448,B
8.266667,7951,B
8.283333,433,B
8.3,551,B
8.316667,436,B
8.333333,7066,B
8.35,440,B
8.366667,586,B
8.383333,441,B
8.4,8176,B
8.416667,364,B
8.433333,483,B
8.45,394,B
8.466667,4428,B
8.483333,421,B
8.5,518,B
8.516667,384,B
8.533333,6881,B
8.55,408,B
8.566667,496,B
8.583333,390,B
8.6,6060,B
8.616667,412,B
8.633333,529,B
8.65,425,B
8.666667,6245,B
8.683333,401,B
8.7,535,B
8.716667,443,B
8.733333,6307,B
8.75,417,B
8.766667,470,B
8.783333,434,B
8.8,5956,B
8.816667,453,B
8.833333,490,B
8.85,505,B
8.866667,5840,B
8.883333,431,B
8.9,627,B
8.916667,484,B
8.933333,6002,B
8.95,451,B
8.966667,492,B
8.983333,465,B
9.0,6984,B
9.016667,460,B
9.033333,593,B
9.05,443,B
9.066667,5438,B
9.083333,462,B
9.1,545,B
9.116667,510,B
9.133333,8576,B
9.15,434,B
9.166667,609,B
9.183333,484,B
9.2,5283,B
9.216667,427,B
9.233333,558,B
9.25,459,B
9.266667,8567,B
9.283333,400,B
9.3,507,B
9.316667,447,B
9.333333,6815,B
9.35,426,B
9.366667,536,B
9.383333,481,B
9.4,7180,B
9.416667,417,B
9.433333,531,B
9.45,490,B
9.466667,6971,B
9.483333,445,B
9.5,561,B
9.516667,448,B
9.533333,6738,B
9.55,405,B
9.566667,511,B
9.583333,452,B
9.6,7326,B
9.616667,410,B
9.633333,539,B
9.65,453,B
9.666667,6623,B
9.683333,402,B
9.7,512,B
9.716667,445,B
9.733333,6795,B
9.75,426,B
9.766667,537,B
9.783333,413,B
9.8,7031,B
9.816667,413,B
9.833333,523,B
9.85,459,B
9.866667,6082,B
9.883333,426,B
9.9,529,B
9.916667,442,B
9.933333,6983,B
9.95,401,B
9.966667,495,B
9.983333,420,B
10.0,9913,B
10.016667,372,B
10.033333,412,B
10.05,392,B
10.066667,1970,B
10.083333,407,B
10.1,525,B
10.116667,461,B
10.133333,7374,B
10.15,385,B
10.166667,510,B
10.183333,442,B
10.2,6747,B
10.216667,435,B
10.233333,484,B
10.25,475,B
10.266667,6439,B
10.283333,448,B
10.3,589,B
10.316667,419,B
10.333333,5478,B
10.35,448,B
10.366667,546,B
10.383333,446,B
10.4,8573,B
10.416667,416,B
10.433333,522,B
10.45,407,B
10.466667,8544,B
10.483333,427,B
10.5,527,B
10.516667,406,B
10.533333,8199,B
10.55,371,B
10.566667,469,B
10.583333,381,B
10.6,3463,B
10.616667,380,B
10.633333,498,B
10.65,390,B
10.666667,9428,B
10.683333,349,B
10.7,432,B
10.716667,379,B
10.733333,4969,B
10.75,419,B
10.766667,479,B
10.783333,377,B
10.8,8219,B
10.816667,370,B
10.833333,497,B
10.85,381,B
10.866667,6925,B
10.883333,390,B
10.9,473,B
10.916667,349,B
10.933333,8152,B
10.95,334,B
10.966667,414,B
10.983333,360,B
11.0,3774,B
11.016667,384,B
11.033333,449,B
11.05,370,B
11.066667,9402,B
11.083333,363,B
11.1,409,B
11.116667,369,B
11.133333,5125,B
11.15,382,B
11.166667,464,B
11.183333,357,B
11.2,8273,B
11.216667,382,B
11.233333,443,B
11.25,377,B
11.266667,8573,B
11.283333,367,B
11.3,419,B
11.316667,402,B
11.333333,2829,B
11.35,419,B
11.366667,429,B
11.383333,358,B
11.4,9134,B
11.416667,336,B
11.433333,417,B
11.45,359,B
11.466667,4981,B
11.483333,352,B
11.5,469,B
11.516667,385,B
11.533333,8169,B
11.55,375,B
11.566667,433,B
11.583333,386,B
11.6,4959,B
11.616667,392,B
11.633333,474,B
11.65,367,B
11.666667,5512,B
11.683333,355,B
11.7,443,B
11.716667,373,B
11.733333,4969,B
11.75,340,B
11.766667,463,B
11.783333,377,B
11.8,5545,B
11.816667,363,B
11.833333,437,B
11.85,399,B
11.866667,5053,B
11.883333,402,B
11.9,484,B
11.916667,395,B
11.933333,5419,B
11.95,380,B
11.966667,456,B
11.983333,373,B
12.0,6505,B
12.016667,359,B
12.033333,406,B
12.05,363,B
12.066667,2882,B
12.083333,425,B
12.1,538,B
12.116667,404,B
12.133333,8314,B
12.15,404,B
12.166667,483,B
12.183333,392,B
12.2,8173,B
12.216667,383,B
12.233333,494,B
12.25,373,B
12.266667,7358,B
12.283333,412,B
12.3,488,B
12.316667,428,B
12.333333,6890,B
12.35,427,B
12.366667,544,B
12.383333,408,B
12.4,7228,B
12.416667,425,B
12.433333,605,B
12.45,444,B
12.466667,7568,B
12.483333,423,B
12.5,537,B
12.516667,464,B
12.533333,7858,B
12.55,444,B
12.566667,521,B
12.583333,444,B
12.6,6547,B
12.616667,436,B
12.633333,530,B
12.65,410,B
12.666667,7312,B
12.683333,441,B
12.7,528,B
12.716667,430,B
12.733333,7580,B
12.75,449,B
12.766667,455,B
