time,size,pict_type
0,692,I
0.016667,51,B
0.033333,51,B
0.05,50,P
0.066667,7085,B
0.083333,9109,B
0.1,14814,P
0.116667,10620,B
0.133333,12455,B
0.15,22749,P
0.166667,12097,B
0.183333,13072,B
0.2,27222,P
0.216667,1169,B
0.233333,652,B
0.25,4628,P
0.266667,2119,B
0.283333,2523,B
0.3,6063,P
0.316667,811,B
0.333333,687,B
0.35,4317,P
0.366667,628,B
0.383333,619,B
0.4,2057,P
0.416667,670,B
0.433333,1488,B
0.45,2741,P
0.466667,1190,B
0.483333,693,B
0.5,2970,P
0.516667,617,B
0.533333,664,B
0.55,3664,P
0.566667,553,B
0.583333,626,B
0.6,2026,P
0.616667,707,B
0.633333,531,B
0.65,1247,P
0.666667,489,B
0.683333,408,B
0.7,1173,P
0.716667,442,B
0.733333,511,B
0.75,1136,P
0.766667,497,B
0.783333,572,B
0.8,1127,P
0.816667,544,B
0.833333,407,B
0.85,1050,P
0.866667,265,B
0.883333,376,B
0.9,714,P
0.916667,284,B
0.933333,383,B
0.95,685,P
0.966667,520,B
0.983333,596,B
1.0,1122,P
1.016667,503,B
1.033333,491,B
1.05,956,P
1.066667,451,B
1.083333,442,B
1.1,946,P
1.116667,363,B
1.133333,383,B
1.15,666,P
1.166667,560,B
1.183333,702,B
1.2,995,P
1.216667,548,B
1.233333,553,B
1.25,1133,P
1.266667,608,B
1.283333,593,B
1.3,1222,P
1.316667,470,B
1.333333,617,B
1.35,1042,P
1.366667,513,B
1.383333,530,B
1.4,1137,P
1.416667,469,B
1.433333,424,B
1.45,1069,P
1.466667,348,B
1.483333,425,B
1.5,961,P
1.516667,323,B
1.533333,310,B
1.55,749,P
1.566667,263,B
1.583333,382,B
1.6,602,P
1.616667,127,B
1.633333,159,B
1.65,764,P
1.666667,110,B
1.683333,108,B
1.7,437,P
1.716667,93,B
1.733333,123,B
1.75,419,P
1.766667,100,B
1.783333,104,B
1.8,293,P
1.816667,108,B
1.833333,105,B
1.85,251,P
1.866667,83,B
1.883333,91,B
1.9,178,P
1.916667,126,B
1.933333,307,B
1.95,603,P
1.966667,335,B
1.983333,679,P
2.0,19466,I
2.016667,217,B
2.033333,255,B
2.05,1026,P
2.066667,198,B
2.083333,249,B
2.1,659,P
2.116667,275,B
2.133333,288,B
2.15,617,P
2.166667,325,B
2.183333,239,B
2.2,612,P
2.216667,226,B
2.233333,211,B
2.25,697,P
2.266667,221,B
2.283333,260,B
2.3,582,P
2.316667,219,B
2.333333,230,B
2.35,518,P
2.366667,148,B
2.383333,163,B
2.4,488,P
2.416667,116,B
2.433333,141,B
2.45,704,P
2.466667,95,B
2.483333,125,B
2.5,638,P
2.516667,71,B
2.533333,109,B
2.55,457,P
2.566667,65,B
2.583333,79,B
2.6,425,P
2.616667,53,B
2.633333,74,B
2.65,404,P
2.666667,56,B
2.683333,58,B
2.7,409,P
2.716667,54,B
2.733333,57,B
2.75,381,P
2.766667,53,B
2.783333,53,B
2.8,238,P
2.816667,53,B
2.833333,53,B
2.85,173,P
2.866667,53,B
2.883333,53,B
2.9,167,P
2.916667,57,B
2.933333,57,B
2.95,152,P
2.966667,53,B
2.983333,57,B
3.0,189,P
3.016667,53,B
3.033333,57,B
3.05,142,P
3.066667,55,B
3.083333,55,B
3.1,120,P
3.116667,53,B
3.133333,53,B
3.15,109,P
3.166667,53,B
3.183333,54,B
3.2,104,P
3.216667,74,B
3.233333,73,B
3.25,301,P
3.266667,155,B
3.283333,134,B
3.3,523,P
3.316667,209,B
3.333333,193,B
3.35,595,P
3.366667,159,B
3.383333,185,B
3.4,550,P
3.416667,181,B
3.433333,222,B
