index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx264,CRF,medium,4,198,2,4,32,2577,988,3597,ABBB,Anime,"",videos/dist/_bast/48d22a2bd8c5,111602.90234375,7438.953125,-crf 23,40.967387199401855,00:00:40,0.5842445355515695,2.929647414803948,0.991652,0.997664,81.785901,96.489567
1,libx264,CRF,medium,4,250,2,4,40,2185,1371,3596,ASintel,Anime,"",videos/dist/_bast/c479e502aeb3,52647.8681640625,3510.2666015625,-crf 23,38.65354919433594,00:00:38,0.7586133890674145,3.1041392705428987,0.990994,0.997776,83.394542,94.464688
2,libx264,CRF,medium,4,126,2,4,40,2044,1512,3596,AToS,Anime,"",videos/dist/_bast/5a265e4c4c9a,64708.166015625,4314.380859375,-crf 23,39.23962068557739,00:00:39,0.7580225193309812,3.0577767548120343,0.99224,0.997631,88.657036,96.221452
3,libx264,CRF,medium,4,250,2,4,18,2330,1248,3596,NAir,Nature,"",videos/dist/_bast/ff76bbe88b2e,55822.9970703125,3721.966796875,-crf 23,36.36268424987793,00:00:36,0.6733663514586405,3.2997013965052044,0.995226,0.997883,87.779172,93.257257
4,libx264,CRF,medium,4,250,2,4,20,2534,1042,3596,NArmy,Nature,"",videos/dist/_bast/485659b99aca,150152.9423828125,10011.36328125,-crf 23,44.09071350097656,00:00:44,0.4296574502681203,2.7213440308091736,0.991637,0.997672,84.802404,94.151292
5,libx264,CRF,medium,4,250,2,4,19,2732,845,3596,NNavy,Nature,"",videos/dist/_bast/f58070432d3d,131380.57421875,8759.7265625,-crf 23,41.940940141677856,00:00:41,0.5005072683564107,2.860832389419107,0.991987,0.997646,86.397048,94.400881
6,libx265,CRF,medium,4,198,2,1,25,2061,1511,3597,ABBB,Anime,"",videos/dist/_bast/bd6ed5fcf965,129002.6767578125,8598.7451171875,-crf 23,166.9310746192932,00:02:46,0.5194249731486604,0.7189793768099818,0.990474,0.997072,80.723026,96.82006
7,libx265,CRF,medium,4,250,2,1,17,1474,2105,3596,ASintel,Anime,"",videos/dist/_bast/bf48a5cd72bd,37586.630859375,2506.0673828125,-crf 23,135.58340740203857,00:02:15,0.8276680565441803,0.8849607949755358,0.989727,0.997017,81.745442,94.695661
8,libx265,CRF,medium,4,250,2,1,19,1199,2378,3596,AToS,Anime,"",videos/dist/_bast/bc800376b647,49003.48828125,3267.2802734375,-crf 23,145.63966035842896,00:02:25,0.8167504757370594,0.8238552582772194,0.990727,0.997202,86.676393,96.034052
9,libx265,CRF,medium,4,250,2,1,16,1496,2084,3596,NAir,Nature,"",videos/dist/_bast/995b9a4fc4f3,32894.3154296875,2193.2099609375,-crf 23,117.99407863616943,00:01:57,0.8075275275611601,1.016881536657213,0.993793,0.996458,83.918992,92.515235
