index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2682,3596,Nature,120176.70638020833,8012.71484375,-q:v 22,11.222841183344523,0.5169684079301038,10.695414639306506,0.9894876666666667,0.9969153333333334,85.325666,94.21678066666668
1,h264_qsv,ICQ,veryslow,4,256,4,8,15,225,3356,3596,Nature,98668.35807291667,6578.6572265625,-global_quality 25 -bf 15 -refs 8,11.98813803990682,0.6069300114717683,10.010673508733507,0.9873343333333334,0.995391,80.42071299999999,92.18939066666667
2,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,Nature,100033.5400390625,6669.680338541667,-global_quality 21 -bf 15 -refs 8 -vf vpp_qsv=format=p010le,13.293747425079346,0.6035025425494346,9.026593589840209,0.9889990000000001,0.9965106666666667,83.91382333333333,92.87094
3,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,112452.17122395833,7497.685546875,-crf 23,40.798112630844116,0.5345103566943905,2.960625938911162,0.99295,0.9977336666666666,86.326208,93.93647666666668
4,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,Anime,70849.78157552083,4723.185872395833,-global_quality 24 -vf vpp_qsv=format=p010le,12.620567480723063,0.7234641488295379,9.50865943473896,0.9925669999999999,0.9974466666666667,83.576844,96.33952833333335
5,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,Anime,71864.26529947917,4790.697591145833,-crf 23,149.3847141265869,0.7212811684766334,0.8092651433542457,0.9903093333333334,0.997097,83.048287,95.84992433333332
6,libx265,CRF,medium,4,250,2,1,18,2011,2084,3596,Nature,50849.934895833336,3390.390625,-crf 28,139.03344130516052,0.7976014218011606,0.8962154801670831,0.9799093333333334,0.9927766666666665,72.79004733333333,87.665071
7,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,Anime,33675.046875,2244.9329427083335,-crf 35,73.09489512443542,0.8687084312565266,1.6455913575082504,0.988019,0.9962903333333334,80.912224,95.17227633333334
8,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,Nature,80498.37565104167,5367.184244791667,-crf 31,99.14602867762248,0.6813542577726467,1.2306020873290213,0.9878669999999999,0.9963446666666668,82.92508733333334,93.10598800000001
9,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,Nature,107178.62532552083,7146.074869791667,-global_quality 24,12.716959317525228,0.5743132091797815,9.438799779393856,0.9916346666666667,0.9967173333333332,84.41541133333334,93.37309599999999
