index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/cc6c1e0519d2,106928.2041015625,7127.3583984375,-global_quality 24,12.719893455505371,00:00:12,0.6016592380191685,9.4356136252111,0.990163,0.996622,79.127557,96.587758
1,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/8517437c4a1e,41631.19140625,2775.736328125,-global_quality 24,12.542896747589111,00:00:12,0.8091240433264101,9.56605179924348,0.992783,0.997229,80.899789,94.802768
2,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/67e3fadf3087,58955.7578125,3930.841796875,-global_quality 24,12.515628576278687,00:00:12,0.7795337648271967,9.586893640117582,0.993146,0.997616,88.255175,96.563553
3,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/048722795d6b,26922.703125,1795.0556640625,-global_quality 24,12.49538254737854,00:00:12,0.842468853128072,9.602427100174888,0.994044,0.996397,84.190931,92.1757
4,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/6dcfc8b977e2,159759.47265625,10651.8740234375,-global_quality 24,12.588096618652344,00:00:12,0.3931679024558624,9.531703134706751,0.990618,0.996946,83.939152,93.713779
5,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/0a2df33bc48b,134853.7001953125,8991.294921875,-global_quality 24,13.066349983215332,00:00:13,0.48730287195540967,9.182824595555045,0.990242,0.996809,85.116151,94.229809
6,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/2c9d168fa274,106928.2041015625,7127.3583984375,-global_quality 24 -extbrc 1 -look_ahead_depth 10,12.722135066986084,00:00:12,0.6016592380191685,9.433951091389657,0.990163,0.996622,79.127557,96.587758
7,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/585d8d400a7f,41631.19140625,2775.736328125,-global_quality 24 -extbrc 1 -look_ahead_depth 10,12.55408525466919,00:00:12,0.8091240433264101,9.557526300482476,0.992783,0.997229,80.899789,94.802768
8,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/f031c8f39116,58955.7578125,3930.841796875,-global_quality 24 -extbrc 1 -look_ahead_depth 10,12.517049074172974,00:00:12,0.7795337648271967,9.585805671048528,0.993146,0.997616,88.255175,96.563553
9,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-extbrc/6f9fc5dab175,26922.703125,1795.0556640625,-global_quality 24 -extbrc 1 -look_ahead_depth 10,12.489277362823486,00:00:12,0.842468853128072,9.60712109390406,0.994044,0.996397,84.190931,92.1757
