index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/cc6c1e0519d2,106928.2041015625,7127.3583984375,-global_quality 24,12.712570667266846,00:00:12,0.6016592380191685,9.441048796608486,0.990163,0.996622,79.127557,96.587758
1,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/8517437c4a1e,41631.19140625,2775.736328125,-global_quality 24,12.536688566207886,00:00:12,0.8091240433264101,9.570788918169125,0.992783,0.997229,80.899789,94.802768
2,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/67e3fadf3087,58955.7578125,3930.841796875,-global_quality 24,12.513745784759521,00:00:12,0.7795337648271967,9.588336063701313,0.993146,0.997616,88.255175,96.563553
3,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/048722795d6b,26922.703125,1795.0556640625,-global_quality 24,12.501171350479126,00:00:12,0.842468853128072,9.597980592066788,0.994044,0.996397,84.190931,92.1757
4,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/6dcfc8b977e2,159759.47265625,10651.8740234375,-global_quality 24,12.591108798980713,00:00:12,0.3931679024558624,9.529422858272277,0.990618,0.996946,83.939152,93.713779
5,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/0a2df33bc48b,134853.7001953125,8991.294921875,-global_quality 24,13.060709476470947,00:00:13,0.48730287195540967,9.186790366645585,0.990242,0.996809,85.116151,94.229809
6,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/fd4514f892b4,106942.345703125,7128.30078125,-global_quality 24 -g 248 -bf 15 -refs 8,12.466613292694092,00:00:12,0.6016065561623155,9.627313945025973,0.989516,0.996461,79.561805,96.505848
7,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/72c3efe4dea3,41819.4189453125,2788.2861328125,-global_quality 24 -g 248 -bf 15 -refs 8,12.575673341751099,00:00:12,0.8082610338765899,9.541119329304443,0.992334,0.997106,82.535562,94.692394
8,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/f19b3d616b9e,60463.08203125,4031.341796875,-global_quality 24 -g 248 -bf 15 -refs 8,12.504225730895996,00:00:12,0.7738970957719117,9.595636113920534,0.994075,0.997604,87.16813,96.600262
9,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/493d8aad02d0,27417.1884765625,1828.025390625,-global_quality 24 -g 248 -bf 15 -refs 8,12.68669080734253,00:00:12,0.8395755015882455,9.457627826048784,0.99386,0.996204,84.044773,91.871016
10,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/f9a423c5591e,160534.4072265625,10703.5419921875,-global_quality 24 -g 248 -bf 15 -refs 8,12.28497314453125,00:00:12,0.3902243826573587,9.766891517659744,0.99039,0.996826,82.733451,93.55325
11,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/875ebe3b73aa,133246.58984375,8884.1416015625,-global_quality 24 -g 248 -bf 15 -refs 8,12.371768951416016,00:00:12,0.4934129072047463,9.698370578304969,0.986895,0.996642,81.380488,94.060249
12,av1_qsv,ICQ,veryslow,4,256,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/c38a4075cb31,107519.6142578125,7166.779296875,-global_quality 24 -g 256 -bf 15 -refs 8,12.449547052383423,00:00:12,0.5994560515515452,9.640511377241037,0.989718,0.996479,78.079954,96.555137
13,av1_qsv,ICQ,veryslow,4,256,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/9865571cf4d7,41975.890625,2798.71875,-global_quality 24 -g 256 -bf 15 -refs 8,12.572247743606567,00:00:12,0.8075436227109754,9.54371902677603,0.992646,0.997103,82.414396,94.698911
14,av1_qsv,ICQ,veryslow,4,256,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/88bd403b7075,60689.876953125,4046.4638671875,-global_quality 24 -g 256 -bf 15 -refs 8,12.510876178741455,00:00:12,0.7730489916267473,9.590535329882078,0.992894,0.997596,87.664596,96.573894
15,av1_qsv,ICQ,veryslow,4,256,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/9ff3af9f867a,27256.4580078125,1817.30859375,-global_quality 24 -g 256 -bf 15 -refs 8,12.665071964263916,00:00:12,0.8405159738343602,9.473771672088047,0.994002,0.996185,84.476439,91.848959
16,av1_qsv,ICQ,veryslow,4,256,0,1,15,3581,0,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/838c8896bb45,159327.8369140625,10623.0947265625,-global_quality 24 -g 256 -bf 15 -refs 8,12.291746616363525,00:00:12,0.3948074322968895,9.761509388768825,0.99039,0.996795,82.780545,93.531583
17,av1_qsv,ICQ,veryslow,4,256,0,1,15,3581,0,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-custom-gop-bf-refs/ce6eacb6b859,132398.0888671875,8827.568359375,-global_quality 24 -g 256 -bf 15 -refs 8,12.379329442977905,00:00:12,0.49663880321795584,9.692447442543932,0.986895,0.996639,82.137176,94.03733
