index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,av1_qsv,CQP,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/898cde8ead65,202846.8818359375,13520.87109375,-q:v 25,12.060898303985596,00:00:12,0.2443323802650279,9.951165906136417,0.993857,0.998412,82.728887,98.207589
1,av1_qsv,CQP,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/8bcfa3633d26,82847.453125,5523.8076171875,-q:v 25,11.981053352355957,00:00:11,0.620150508812229,10.01464532969515,0.995595,0.998514,88.683104,96.889494
2,av1_qsv,CQP,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/f75ceb33522f,129577.16796875,8639.4853515625,-q:v 25,12.019450187683105,00:00:12,0.5154435894577323,9.982652960528535,0.99561,0.998617,92.28611,97.949982
3,av1_qsv,CQP,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/86d3549b486b,68826.10546875,4588.9423828125,-q:v 25,11.922311305999756,00:00:11,0.5972820678933788,10.06398817481125,0.99614,0.998089,89.172868,94.928471
4,av1_qsv,CQP,veryslow,4,248,0,1,15,3581,0,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/037e4588b134,275149.8779296875,18345.46484375,-q:v 25,12.014537334442139,00:00:12,-0.04513225279824162,9.986734957827755,0.995434,0.998692,90.479986,96.752235
5,av1_qsv,CQP,veryslow,4,248,0,1,15,3581,0,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/01d84b1045d1,235293.875,15688.087890625,-q:v 25,12.031512975692749,00:00:12,0.10544172103350213,9.972644358395122,0.995895,0.998573,89.960271,96.777469
6,av1_qsv,CQP,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/409568ae40ec,199296.5087890625,13284.2197265625,-q:v 26,12.051932096481323,00:00:12,0.2575586222719085,9.958569218543886,0.993848,0.998384,83.034171,98.190196
7,av1_qsv,CQP,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/9295865094ae,80783.3310546875,5386.18359375,-q:v 26,11.967849016189575,00:00:11,0.6296143569884024,10.025694662231139,0.995611,0.998492,88.618847,96.871933
8,av1_qsv,CQP,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/569410181d04,125898.7451171875,8394.228515625,-q:v 26,12.025879383087158,00:00:12,0.5291991252620001,9.977316101202941,0.995607,0.998595,92.131229,97.927426
9,av1_qsv,CQP,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-cqp/5037c9fa6bff,66842.6044921875,4456.693359375,-q:v 26,11.920377969741821,00:00:11,0.608888004422439,10.065620427856176,0.996088,0.998057,88.874279,94.880553
