index,codec,type,preset,threads,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,av1_qsv,CQP,veryslow,4,162323.94921875,10822.231608072916,-q:v 26,11.999640822410583,0.35349853266846926,9.999733762298451,0.9953991666666666,0.9984544999999999,88.81530866666667,96.88372400000002
1,av1_qsv,CQP,veryslow,4,149042.67643229166,9936.759602864584,-q:v 30,11.991949915885925,0.407361629870556,10.006134400054354,0.9950098333333334,0.9983,88.27233133333334,96.64890483333333
2,av1_qsv,CQP,veryslow,4,93515.85514322917,6234.749186197917,-q:v 52,11.968658407529196,0.6303723549163474,10.025634943879618,0.991678,0.9971710000000001,84.04437349999999,95.00602633333334
3,av1_qsv,CQP,veryslow,4,89723.87711588542,5981.935872395833,-q:v 54,11.964234908421835,0.645504969330997,10.029327375605051,0.9913321666666667,0.9970425,83.73993416666667,94.79334449999999
4,av1_qsv,CQP,veryslow,4,59201.59326171875,3947.01123046875,-q:v 73,11.939372539520264,0.766403669220116,10.0502247250084,0.9858171666666667,0.9955813333333333,79.45035583333333,92.60958116666667
5,av1_qsv,CQP,veryslow,4,50056.210774739586,3337.2908528645835,-q:v 81,11.928424795468649,0.8023656926106991,10.059463581470736,0.9831553333333333,0.9948973333333334,77.177802,91.5675835
6,av1_qsv,CQP,veryslow,4,38688.731119791664,2579.4225260416665,-q:v 94,11.913947780927023,0.8469872957673839,10.071742536377135,0.9783903333333331,0.9935525,73.5403835,89.63910433333332
7,av1_qsv,CQP,veryslow,4,80092.95654296875,5339.840006510417,-q:v 59,11.957008123397827,0.68378241655423,10.035416695869069,0.9901346666666666,0.9966656666666666,82.60279483333333,94.26566000000001
8,av1_qsv,CQP,veryslow,4,41838.133626302086,2789.39306640625,-q:v 90,11.927049279212952,0.8346266890098968,10.06064152856419,0.9799278333333333,0.994011,74.4835925,90.294841
9,av1_qsv,CQP,veryslow,4,149789.205078125,9986.529947916666,-q:v 29,11.990764737129211,0.4043326389138296,10.007135051241768,0.9950405000000001,0.9983146666666666,88.21888083333333,96.64381633333333
10,av1_qsv,CQP,veryslow,4,126667.11539713542,8444.9638671875,-q:v 38,11.977618058522543,0.4976601615102098,10.018120332815249,0.9940893333333333,0.9979586666666668,86.93503950000002,96.15770366666668
11,av1_qsv,CQP,veryslow,4,117004.87239583333,7800.77587890625,-q:v 42,11.984434564908346,0.5364981974077305,10.012398168059642,0.9935321666666667,0.9977655,86.18736616666666,95.89797316666666
12,av1_qsv,CQP,veryslow,4,113237.28141276042,7549.588053385417,-q:v 43,11.97439436117808,0.5515934272934605,10.02079968270498,0.9932218333333332,0.99769,85.77072316666668,95.75931800000001
13,av1_qsv,CQP,veryslow,4,111625.23258463542,7442.112467447917,-q:v 44,11.973351875940958,0.5580240762717738,10.021672535321402,0.9931009999999999,0.9976505000000001,85.63920866666666,95.72358050000001
14,av1_qsv,CQP,veryslow,4,102564.44954427083,6838.0244140625,-q:v 48,11.973312616348267,0.594220752230269,10.021720990927983,0.9924435000000001,0.9974266666666667,84.9411115,95.39037883333333
15,av1_qsv,CQP,veryslow,4,95513.12174479167,6367.909016927083,-q:v 51,11.968501210212708,0.6223479549021702,10.02574676792322,0.9918466666666667,0.997224,84.24461899999999,95.08443
16,av1_qsv,CQP,veryslow,4,78551.86751302083,5237.09521484375,-q:v 60,11.95353078842163,0.6898804865589666,10.038338608704924,0.9899186666666666,0.9965983333333334,82.48114933333333,94.16270933333334
17,av1_qsv,CQP,veryslow,4,67525.84114583333,4501.989095052083,-q:v 67,11.943442344665527,0.7334713101625288,10.046809376360292,0.9877736666666667,0.9960910000000002,80.68190516666667,93.36716616666668
18,av1_qsv,CQP,veryslow,4,60565.912923177086,4037.970703125,-q:v 72,11.938653588294983,0.7609709558575349,10.050841021181974,0.9861148333333333,0.9956758333333333,79.43189966666667,92.73668450000001
19,av1_qsv,CQP,veryslow,4,46507.107584635414,3100.6725260416665,-q:v 84,11.926364262898764,0.8163100141618562,10.061229117244276,0.9818445000000001,0.9945701666666666,76.11958933333334,91.06781483333333
20,av1_qsv,CQP,veryslow,4,39969.168619791664,2664.78955078125,-q:v 92,11.91595462958018,0.8419617242342404,10.070008298930547,0.9790693333333333,0.9937495,73.958775,89.94463133333333
21,av1_qsv,CQP,veryslow,4,91597.02962239583,6106.820638020833,-q:v 53,11.964119871457418,0.6380284610501198,10.029435446498349,0.9914883333333333,0.9971043333333333,83.82132266666666,94.89131016666666
22,av1_qsv,CQP,veryslow,4,72128.81998697917,4808.869466145833,-q:v 64,11.948096116383871,0.7152918534607059,10.04287236757709,0.9887071666666666,0.9963238333333333,81.30397616666666,93.69779999999999
23,av1_qsv,CQP,veryslow,4,69330.43961588542,4622.301106770833,-q:v 66,11.946698466936747,0.7263860614451119,10.044076833199123,0.9881395,0.9961773333333334,80.9813745,93.50224716666666
24,av1_qsv,CQP,veryslow,4,33310.598795572914,2220.8605143229165,-q:v 100,11.914194663365683,0.8681964479651865,10.071515302541032,0.9755018333333334,0.9926103333333334,71.19133016666666,88.39935333333334
25,av1_qsv,CQP,veryslow,4,108560.11214192708,7237.758626302083,-q:v 45,11.977873285611471,0.5703387693927129,10.017913734564418,0.9929328333333333,0.9975828333333333,85.50209016666668,95.60075066666667
26,av1_qsv,CQP,veryslow,4,98755.34488932292,6584.069010416667,-q:v 50,11.968170404434204,0.6094723769876739,10.02603585461883,0.9921574999999999,0.997326,84.69467366666667,95.23588933333333
27,av1_qsv,CQP,veryslow,4,84687.93880208333,5646.188639322917,-q:v 57,11.96166185537974,0.6655671385672263,10.031492435154762,0.9907013333333333,0.9968368333333334,83.14006950000001,94.53749900000001
28,av1_qsv,CQP,veryslow,4,45671.01416015625,3044.9303385416665,-q:v 85,11.92388665676117,0.8196069315290391,10.06329583143779,0.981615,0.9944750000000001,75.99451,90.94090766666666
29,av1_qsv,CQP,veryslow,4,119635.29915364583,7976.148111979167,-q:v 41,11.98177178700765,0.5258783626132012,10.014634204939032,0.9936113333333334,0.997818,86.35128049999999,95.98621050000001
30,av1_qsv,CQP,veryslow,4,39023.809733072914,2601.7620442708335,-q:v 93,11.912692626317343,0.8456827187596163,10.072771553238383,0.9786605,0.9936223333333333,73.87548883333334,89.73233933333334
31,av1_qsv,CQP,veryslow,4,34219.56640625,2281.4619140625,-q:v 99,11.91164219379425,0.8645797477959442,10.073626649402645,0.9759858333333332,0.9927898333333335,71.52362483333333,88.62377550000001
32,av1_qsv,CQP,veryslow,4,120717.46826171875,8048.297037760417,-q:v 40,11.983892917633057,0.5215848250026739,10.012844205994755,0.9937444999999999,0.9978401666666668,86.35730083333333,95.9821755
33,av1_qsv,CQP,veryslow,4,88154.1455078125,5877.282552083333,-q:v 55,11.959974924723307,0.6516322147364898,10.032900604270065,0.9911191666666669,0.9969856666666667,83.49386766666666,94.737397
34,av1_qsv,CQP,veryslow,4,42540.5751953125,2836.2247721354165,-q:v 89,11.924790024757385,0.8318668396758689,10.062567605317822,0.9801323333333333,0.9940946666666667,74.75287150000001,90.42189983333333
35,av1_qsv,CQP,veryslow,4,37768.243326822914,2518.0533854166665,-q:v 95,11.917225360870361,0.8505699654528819,10.068919349648981,0.977722,0.99342,73.07850633333332,89.44157916666666
36,av1_qsv,CQP,veryslow,4,35789.02978515625,2386.0984700520835,-q:v 97,11.90817372004191,0.8584140640253143,10.07659931903641,0.9769671666666667,0.9931018333333334,72.32289716666666,89.02396833333334
37,av1_qsv,CQP,veryslow,4,132476.89680989584,8832.30615234375,-q:v 35,11.996219714482626,0.4742918943820033,10.002597438777846,0.994357,0.9980480000000002,87.16484783333334,96.27676833333332
38,av1_qsv,CQP,veryslow,4,85990.14208984375,5733.0068359375,-q:v 56,11.960687120755514,0.6603009636715814,10.032302820480334,0.9908983333333333,0.9969075,83.29684066666665,94.59410116666668
39,av1_qsv,CQP,veryslow,4,54098.8544921875,3606.8121744791665,-q:v 77,11.93695056438446,0.7864909762442752,10.052285190781255,0.9844808333333334,0.9952165000000001,78.04650783333334,92.02606750000001
40,av1_qsv,CQP,veryslow,4,43212.725260416664,2881.0369466145835,-q:v 88,11.925543626149496,0.8292164978605868,10.06189867871298,0.9804578333333334,0.9941763333333333,75.16242733333333,90.52706233333333
41,av1_qsv,CQP,veryslow,4,107228.15934244792,7148.95654296875,-q:v 46,11.972321391105652,0.5756847912196635,10.022547678163832,0.9929004999999999,0.9975468333333333,85.52758333333333,95.56639483333333
42,av1_qsv,CQP,veryslow,4,58228.236979166664,3882.11767578125,-q:v 74,11.941252867380777,0.7702075721906493,10.04865694869564,0.9855649999999999,0.9955284999999999,79.10115566666666,92.51087066666666
43,av1_qsv,CQP,veryslow,4,47370.39208984375,3158.2278645833335,-q:v 83,11.924481987953186,0.8129434294621364,10.062793938390001,0.9822241666666667,0.9946286666666667,76.33983316666666,91.18313916666666
44,av1_qsv,CQP,veryslow,4,36682.763346354164,2445.68408203125,-q:v 96,11.91216548283895,0.8548835965901048,10.073208292942383,0.9774425000000001,0.9932481666666666,72.60084216666667,89.21553466666667
45,av1_qsv,CQP,veryslow,4,153478.4541015625,10232.495442708334,-q:v 28,11.993382652600607,0.3894104710083404,10.004954740642072,0.9951803333333332,0.9983608333333334,88.48371716666668,96.72428866666667
46,av1_qsv,CQP,veryslow,4,139343.5506184896,9290.110514322916,-q:v 33,11.992936889330545,0.44655440884797315,10.005304055629692,0.9946788333333333,0.9981548333333334,87.65745266666666,96.439834
47,av1_qsv,CQP,veryslow,4,131643.5831705729,8776.74755859375,-q:v 36,11.990177710851034,0.4776348470034992,10.007625915576787,0.9943243333333333,0.9980414999999999,87.22089333333332,96.26526166666667
48,av1_qsv,CQP,veryslow,4,77564.2080078125,5171.24755859375,-q:v 61,11.965026140213013,0.6937778077043882,10.028734489470084,0.9897501666666667,0.9965566666666666,82.21935116666667,94.1157975
49,av1_qsv,CQP,veryslow,4,56127.420735677086,3742.0568033854165,-q:v 75,11.935090939203898,0.7784857674631639,10.053860960198742,0.984995,0.9953701666666667,78.5865415,92.26387216666667
50,av1_qsv,CQP,veryslow,4,48713.041829427086,3247.74169921875,-q:v 82,11.926252722740173,0.8076648743400808,10.061299322193923,0.9826876666666666,0.994774,76.88731866666667,91.366279
51,av1_qsv,CQP,veryslow,4,40560.52099609375,2704.21484375,-q:v 91,11.922622044881185,0.8396290353526211,10.064412635165965,0.9793068333333336,0.9938488333333333,74.29836516666667,90.05649783333335
52,av1_qsv,CQP,veryslow,4,142181.2373046875,9479.301432291666,-q:v 32,11.993402560551962,0.435080926696711,10.004937152310093,0.9947993333333334,0.9982026666666667,87.76365083333333,96.51863366666667
53,av1_qsv,CQP,veryslow,4,104882.75048828125,6992.58642578125,-q:v 47,11.970853090286255,0.5849258192903763,10.023788438058366,0.9926159999999999,0.9974883333333334,85.25545149999999,95.4820035
54,av1_qsv,CQP,veryslow,4,99807.16764322917,6654.19482421875,-q:v 49,11.974345207214355,0.6053358900941462,10.020851946357823,0.9922785,0.9973501666666668,84.7945615,95.277332
55,av1_qsv,CQP,veryslow,4,63569.319173177086,4238.206868489583,-q:v 70,11.941861232121786,0.7491490366126102,10.04814630652775,0.9869479999999999,0.995863,80.12588050000001,93.01462983333333
