index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/e0d78535b2b6,91735.9912109375,6114.712890625,-global_quality 25,12.802343606948853,00:00:12,0.6582549482891977,9.374846019197264,0.988786,0.995981,76.104977,95.882861
1,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/2ce4803c166a,33784.080078125,2252.5341796875,-global_quality 25,12.797273397445679,00:00:12,0.8451024727512081,9.37590346580773,0.991742,0.996653,79.152463,93.85046
2,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/f218424b79aa,47426.8505859375,3162.158203125,-global_quality 25,12.643306016921997,00:00:12,0.8226463439238877,9.490081141705254,0.991806,0.997157,86.532757,95.947615
3,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/3597a041e3f7,20917.6669921875,1394.673828125,-global_quality 25,12.717902898788452,00:00:12,0.8776057494722914,9.434417054043577,0.992961,0.995746,83.503883,91.03598
4,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/f822567327db,139265.744140625,9285.4658203125,-global_quality 25,12.63663363456726,00:00:12,0.47101150105358414,9.49509208463405,0.9893,0.996238,82.077647,92.606178
5,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/b2f3dbebe70b,116469.162109375,7765.5166015625,-global_quality 25,13.069061756134033,00:00:13,0.5571986172218357,9.180919199779888,0.988276,0.996061,82.661279,93.160892
6,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/2d0f07eba759,73031.984375,4867.9873046875,-global_quality 26,12.735222816467285,00:00:12,0.7279331814337975,9.424255996903964,0.986068,0.995235,74.543512,95.013852
7,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/b98ea7509fae,27616.9931640625,1841.34765625,-global_quality 26,12.756289005279541,00:00:12,0.8733781135591754,9.40602709379981,0.989966,0.996022,78.190155,92.754504
8,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/89fb3ab94c56,38688.197265625,2579.513671875,-global_quality 26,12.623236894607544,00:00:12,0.8553247127464344,9.505168999185637,0.990044,0.996633,84.78227,95.241804
9,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/f106743e4918,16652.751953125,1110.3125,-global_quality 26,12.673076391220093,00:00:12,0.9025607829358879,9.467787954243398,0.991934,0.995119,81.019165,89.896072
10,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/88fdb678293d,115895.0146484375,7727.2353515625,-global_quality 26,12.614294290542603,00:00:12,0.5597831310738961,9.511907462786713,0.986377,0.995262,80.465973,91.084683
11,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/38b716c1bbdc,96518.1767578125,6435.2958984375,-global_quality 26,12.747664213180542,00:00:12,0.6330498017024329,9.412391006968916,0.984851,0.995124,79.123265,91.795714
12,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/da74cfaec57e,63354.130859375,4222.904296875,-global_quality 27,12.711408376693726,00:00:12,0.7639861907978311,9.441912055949347,0.984796,0.994778,73.309768,94.524719
13,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/38dd0168952c,24625.2333984375,1641.873046875,-global_quality 27,12.766355991363525,00:00:12,0.8870951124754133,9.398609915090168,0.987905,0.995608,76.931853,92.032715
14,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/b2fc8a5fe504,34722.623046875,2315.111328125,-global_quality 27,12.620983362197876,00:00:12,0.8701540568299528,9.506866189157632,0.988824,0.996286,83.694488,94.757594
15,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/5cacaab978e7,14700.9345703125,980.17578125,-global_quality 27,12.59950590133667,00:00:12,0.9139813312133567,9.523071852148647,0.991014,0.994731,79.137679,89.111732
16,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/864b7c9d98c5,104634.2666015625,6976.431640625,-global_quality 27,12.616973876953125,00:00:12,0.6025560774512568,9.509887328781206,0.984567,0.994657,79.790731,90.21075
17,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/5320fb77300a,86471.3310546875,5765.427734375,-global_quality 27,12.647521257400513,00:00:12,0.6712466693481778,9.48691823149077,0.983307,0.994475,78.058766,90.90477
18,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/3bf1c6d94241,51367.009765625,3423.896484375,-global_quality 28,12.635077714920044,00:00:12,0.8086419389286565,9.498952258779953,0.982745,0.99411,71.604844,93.757061
19,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/c5221e3573f0,20937.732421875,1396.0107421875,-global_quality 28,12.747406005859375,00:00:12,0.9040020337731425,9.412581661308046,0.985388,0.994962,74.958549,90.898689
20,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/b40ab3e296f1,29982.95703125,1999.0966796875,-global_quality 28,12.626596450805664,00:00:12,0.887878132666016,9.502639960616154,0.987087,0.995752,82.07719,93.983358
21,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/d975ab74f209,12514.275390625,834.3818359375,-global_quality 28,12.526916742324829,00:00:12,0.9267759947653361,9.57825476676172,0.989816,0.994212,77.563782,88.087744
22,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/a2ea428c8c06,89873.77734375,5992.2841796875,-global_quality 28,12.63164758682251,00:00:12,0.6586224784487671,9.498840050380354,0.981818,0.993693,77.067406,88.824935
23,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/av1_qsv-default-icq/3ff963622545,73546.9267578125,4903.7001953125,-global_quality 28,12.541832447052002,00:00:12,0.7203836596947378,9.566863574883996,0.98049,0.993492,75.812458,89.535967
