index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,LA_ICQ,veryslow,"""4""",256,1,2,15,899,2683,3597,103123.14860026042,6875.25244140625,-global_quality 25 -look_ahead 1 -g 256 -bf 3 -refs 2,12.085585951805115,0.5933416973961713,9.936107636370876,0.9895636666666666,0.9964209999999999,83.40073933333333,94.76352833333334
1,h264_qsv,LA_ICQ,veryslow,"""4""",256,2,10,15,899,2683,3597,95350.22200520833,6357.018880208333,-global_quality 25 -look_ahead 1 -g 256 -bf 3 -refs 10,11.75331974029541,0.6234267790544289,10.220040948725138,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
2,h264_qsv,LA_ICQ,veryslow,"""4""",256,3,10,15,717,2865,3597,89753.60595703125,5983.894694010417,-global_quality 25 -look_ahead 1 -g 256 -bf 4 -refs 10,11.783068219820658,0.645734222979791,10.197783737969852,0.9879575000000002,0.9961046666666666,82.16594766666667,94.26926083333332
3,h264_qsv,LA_ICQ,veryslow,"""4""",256,3,16,15,717,2865,3597,103050.71175130208,6870.4208984375,-global_quality 25 -look_ahead 1 -g 256 -bf 4 -refs 19,11.910449822743734,0.5903849036681865,10.086808884104585,0.592451,0.9844298333333333,33.97874066666667,92.08502616666668
4,h264_qsv,LA_ICQ,veryslow,"""4""",256,1,1,15,520,3062,3597,135587.53287760416,9039.6953125,-global_quality 25 -look_ahead 1 -g 256 -bf 6 -refs 1,12.863479574521383,0.4654674895208835,9.33458651378799,0.9868886666666666,0.9958465,80.84677666666666,94.28724800000002
5,h264_qsv,LA_ICQ,veryslow,"""4""",256,3,14,15,520,3062,3597,90166.96370442708,6011.454427083333,-global_quality 25 -look_ahead 1 -g 256 -bf 6 -refs 14,12.025378982226053,0.6442813344963613,9.992347552681117,0.9874508333333334,0.995962,81.28981316666666,94.065333
6,h264_qsv,LA_ICQ,veryslow,"""4""",256,3,12,15,450,3132,3597,88298.75553385417,5886.899576822917,-global_quality 25 -look_ahead 1 -g 256 -bf 7 -refs 12,12.210180044174194,0.651678011760653,9.84082745256932,0.9881126666666665,0.9959224999999999,80.77210483333333,94.009208
7,h264_qsv,LA_ICQ,veryslow,"""4""",256,3,13,15,450,3132,3597,88299.15266927083,5886.925944010417,-global_quality 25 -look_ahead 1 -g 256 -bf 7 -refs 13,12.21257714430491,0.6516763241748864,9.838787741490476,0.9881126666666665,0.9959224999999999,80.77210483333333,94.009208
8,h264_qsv,LA_ICQ,veryslow,"""4""",256,3,16,15,450,3132,3597,106706.29069010417,7114.139973958333,-global_quality 25 -look_ahead 1 -g 256 -bf 7 -refs 19,12.366042971611023,0.5747817350591885,9.715060729295404,0.49569850000000004,0.8983165000000001,23.5511745,72.06324183333332
9,h264_qsv,LA_ICQ,veryslow,"""4""",256,4,10,15,408,3174,3597,86051.43880208333,5737.072265625,-global_quality 25 -look_ahead 1 -g 256 -bf 8 -refs 10,12.152559399604797,0.660685492622063,9.888457158698424,0.9864825,0.9957234999999999,80.37752766666667,93.78899483333333
