index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,LA_ICQ,veryslow,4,256,4,8,15,239,3343,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/90ac3a51196b,111167.7578125,7409.9482421875,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8,12.725072383880615,00:00:12,0.5858655840448677,9.431773461032282,0.978145,0.994615,74.628096,95.778495
1,h264_qsv,LA_ICQ,veryslow,4,256,4,8,15,239,3342,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/da100492bfbc,39473.6005859375,2631.8798828125,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8,12.923605918884277,00:00:12,0.8190164388602904,9.284250909003163,0.985667,0.995468,79.632929,92.797648
2,h264_qsv,LA_ICQ,veryslow,4,256,4,8,15,239,3342,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/ddb400bbb08e,61146.45703125,4076.9052734375,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8,12.914812088012695,00:00:12,0.7713416012951828,9.290572652727091,0.985241,0.996518,86.28975,95.783902
3,h264_qsv,LA_ICQ,veryslow,4,256,4,8,15,239,3342,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/4a574b62c9bf,26815.865234375,1787.9326171875,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8,11.868194818496704,00:00:11,0.8430939870665696,10.109877857161612,0.988954,0.994958,78.365544,90.51231
4,h264_qsv,LA_ICQ,veryslow,4,256,4,8,15,239,3342,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/070187a93b36,149334.2216796875,9956.7763671875,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8,12.139049768447876,00:00:12,0.43276728778397866,9.884299206999763,0.984788,0.99555,80.390666,92.756617
5,h264_qsv,LA_ICQ,veryslow,4,256,4,8,15,239,3342,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/cc53426b3625,122041.84765625,8137.072265625,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8,11.759676933288574,00:00:11,0.5360119544069453,10.203171454510878,0.986553,0.995605,80.40686,93.227167
6,h264_qsv,LA_ICQ,veryslow,4,256,1,8,15,239,3343,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/b1e44ddf5840,139637.84375,9307.6376953125,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8 -adaptive_i 0 -adaptive_b 0 -b_strategy 0,13.971169471740723,00:00:13,0.47980567383416406,8.590547859487545,0.982085,0.9944,80.046105,95.900029
7,h264_qsv,LA_ICQ,veryslow,4,256,1,8,15,239,3342,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/9e985e85a813,54935.853515625,3662.8173828125,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8 -adaptive_i 0 -adaptive_b 0 -b_strategy 0,13.877741813659668,00:00:13,0.748123144179321,8.645931132823026,0.988466,0.995578,81.227178,93.276915
8,h264_qsv,LA_ICQ,veryslow,4,256,1,8,15,239,3342,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/0a28f6f2991b,81278.6376953125,5419.2080078125,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8 -adaptive_i 0 -adaptive_b 0 -b_strategy 0,13.999181270599365,00:00:13,0.6960569091546722,8.570929805158734,0.988877,0.996624,86.33797,96.193319
9,h264_qsv,LA_ICQ,veryslow,4,256,1,8,15,239,3342,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-frame/e625e6d7b004,37797.8720703125,2520.1513671875,-global_quality 25 -look_ahead 1 -g 256 -bf 14 -refs 8 -adaptive_i 0 -adaptive_b 0 -b_strategy 0,13.221244096755981,00:00:13,0.7788356500122144,9.075242777602167,0.990843,0.994835,80.830358,90.916784
