index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/7a72c7923154,128279.755859375,8550.55859375,-global_quality 25 -look_ahead 1,12.047792673110962,00:00:12,0.5221180779656265,9.961990819104013,0.987651,0.995792,77.39675,96.58858
1,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/ecd17ccb2e46,44849.0224609375,2990.283203125,-global_quality 25 -look_ahead 1,12.151815176010132,00:00:12,0.79437052414451,9.873915811102357,0.989603,0.996398,81.286399,94.023419
2,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/2140dc297317,66951.9384765625,4463.982421875,-global_quality 25 -look_ahead 1,12.115044355392456,00:00:12,0.7496318873485962,9.90388449932449,0.985465,0.997107,87.429436,96.522291
3,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/812ef2e46fe7,31144.263671875,2076.5263671875,-global_quality 25 -look_ahead 1,11.17381238937378,00:00:11,0.8177674971219222,10.738143421318393,0.991301,0.995956,83.722144,92.038305
4,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/1e8a38456469,163681.6123046875,10913.3798828125,-global_quality 25 -look_ahead 1,11.672559976577759,00:00:11,0.3782700050720653,10.279321780377634,0.988797,0.996631,86.403926,94.150907
5,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/5e31f19eaad0,137195.0791015625,9147.4052734375,-global_quality 25 -look_ahead 1,11.34119200706482,00:00:11,0.47840123826527026,10.579663929969318,0.990929,0.996647,84.325397,94.556865
6,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/b2812df1d5f5,128279.755859375,8550.55859375,-global_quality 25 -look_ahead 1 -look_ahead_depth 0,12.040176391601562,00:00:12,0.5221180779656265,9.968292498083175,0.987651,0.995792,77.39675,96.58858
7,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/afd2abddef4a,44849.0224609375,2990.283203125,-global_quality 25 -look_ahead 1 -look_ahead_depth 0,12.151596546173096,00:00:12,0.79437052414451,9.874093461224009,0.989603,0.996398,81.286399,94.023419
8,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/3feb8f180394,66951.9384765625,4463.982421875,-global_quality 25 -look_ahead 1 -look_ahead_depth 0,12.117223978042603,00:00:12,0.7496318873485962,9.902103007869163,0.985465,0.997107,87.429436,96.522291
9,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2682,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-custom-la_icq-look_ahead_depth/df57b369d671,31144.263671875,2076.5263671875,-global_quality 25 -look_ahead 1 -look_ahead_depth 0,11.179400205612183,00:00:11,0.8177674971219222,10.732776159115021,0.991301,0.995956,83.722144,92.038305
