index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,131772.55143229166,8784.615885416666,-q:v 19,12.03651507695516,0.48582075841366484,9.969469161431403,0.9925259999999999,0.9980513333333333,86.62079566666667,97.43296933333333
1,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2682,3596,Nature,377056.8684895833,25140.056966145832,-q:v 13,11.852774381637573,-0.5569466930031048,10.128828886705486,0.9984143333333334,0.9995156666666666,94.69859466666666,98.12694333333333
2,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,100292.59016927083,6685.98828125,-q:v 21,11.94880199432373,0.6087745591708998,10.042679177298284,0.9898556666666666,0.9974166666666666,84.33366466666668,96.712473
3,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,62147.588216145836,4143.0634765625,-q:v 24,11.815834442774454,0.757346205838772,10.15571201679325,0.9835026666666667,0.995656,78.982417,94.682655
4,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2682,3596,Nature,79615.22623697917,5308.300455729167,-q:v 25,11.092786073684692,0.6811814338219779,10.819756508162698,0.9809773333333333,0.9948099999999999,79.50971533333332,91.12017366666667
5,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,205231.521484375,13681.8583984375,-q:v 16,12.224621454874674,0.1982589329957053,9.816042766011718,0.9959646666666666,0.9988930000000001,89.97362466666668,98.32165333333334
6,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2682,3596,Nature,206421.33203125,13763.027669270834,-q:v 18,11.448842922846476,0.16147691785621499,10.485371978557891,0.9955296666666666,0.9985193333333333,90.76560433333333,96.708872
7,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2682,3596,Nature,29035.4423828125,1935.9215494791667,-q:v 32,10.849483172098795,0.8836441934126117,11.06049114458367,0.920724,0.9825613333333334,47.96062633333333,77.19413366666666
8,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2682,3596,Nature,25148.055013020832,1676.7320963541667,-q:v 33,10.824242432912191,0.8991869688015885,11.086085146618101,0.907124,0.9798826666666667,44.42503033333333,74.80615933333333
9,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,46317.887044270836,3087.7867838541665,-q:v 26,11.74458916982015,0.8189480726871646,10.217353309363737,0.978182,0.9941823333333333,75.24499533333334,93.05687566666666
10,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,233469.36979166666,15564.389322916666,-q:v 15,12.289848168691,0.0876524959940315,9.763992855362575,0.9967063333333334,0.9990853333333334,91.01393066666667,98.54548033333333
11,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2682,3596,Nature,153304.76041666666,10221.509440104166,-q:v 20,11.312917073567709,0.38096798352855865,10.610624928455962,0.992693,0.9977366666666668,87.90528866666666,95.47157600000001
12,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,280213.6809895833,18680.7001953125,-q:v 14,12.350579261779785,-0.0960659169202878,9.716047971709012,0.9977153333333334,0.999319,92.841717,98.78932766666667
13,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,179828.52799479166,11988.325520833334,-q:v 17,12.154509941736857,0.29777165506451403,9.872669985498392,0.9951946666666668,0.9986866666666666,89.118133,98.12569533333334
14,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,87153.84537760417,5810.092447916667,-q:v 22,11.902072429656982,0.66005765827953,10.082124286659486,0.9884106666666667,0.997006,83.04003733333333,96.25729666666666
15,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2682,3596,Nature,100540.37662760417,6703.4736328125,-q:v 23,11.153487205505371,0.5963330401453758,10.76138111267764,0.9854703333333333,0.9960870000000001,82.89014366666667,92.95946766666667
16,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,29074.938802083332,1938.2962239583333,-q:v 29,11.626120011011759,0.8860879950030446,10.321589294534627,0.9594646666666667,0.9901810000000001,61.80946466666666,88.39298966666667
17,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2682,3596,Nature,59780.989583333336,3985.8639322916665,-q:v 27,11.01323143641154,0.7609219097634247,10.897316449699296,0.9723066666666668,0.9926233333333333,73.269559,88.174231
