index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2683,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/c3332cde84e1,354791.7666015625,23648.8427734375,-global_quality 13,12.540727853775024,00:00:12,-0.321709495077235,9.57041739518105,0.997047,0.999332,92.405845,98.949586
1,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2682,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/5d4b330ab429,158265.982421875,10552.2958984375,-global_quality 13,12.50533652305603,00:00:12,0.27436208805867335,9.594783777212422,0.997822,0.999261,92.819676,98.049529
2,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2682,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/3fe53e0fc084,255845.6943359375,17058.369140625,-global_quality 13,12.542273998260498,00:00:12,0.04325991034150234,9.566526773106775,0.996882,0.999371,94.606704,98.876042
3,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2682,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/1071c314fd82,143630.435546875,9576.4794921875,-global_quality 13,11.641962051391602,00:00:11,0.15958412005058398,10.30633835347863,0.997794,0.999185,92.807334,96.717278
4,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2682,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/3ca14e04e59f,412100.5625,27476.576171875,-global_quality 13,12.262604475021362,00:00:12,-0.5653272045975963,9.784707665032226,0.998111,0.999523,94.604477,98.19687
5,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2682,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/02131a10e477,358264.279296875,23887.0712890625,-global_quality 13,11.825631380081177,00:00:11,-0.36207658232916273,10.146265864679469,0.998421,0.999465,93.817756,98.195
6,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2683,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/0fe75eb11c80,323708.8916015625,21576.99609375,-global_quality 14,12.46033763885498,00:00:12,-0.2059161343256164,9.63216274539323,0.996415,0.99919,91.852853,98.851117
7,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2682,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/9cf0373d20e7,139897.45703125,9327.5849609375,-global_quality 14,12.465806484222412,00:00:12,0.35858042863905626,9.625209580452143,0.997443,0.999106,92.048919,97.816897
8,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2682,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/747269b8d6f2,225893.0576171875,15061.2939453125,-global_quality 14,12.470259666442871,00:00:12,0.15526839426063144,9.621772377593633,0.995999,0.99924,93.982143,98.757582
9,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2682,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/h264_qsv-default-icq/3cce4ae708de,125518.775390625,8368.89453125,-global_quality 14,11.57331919670105,00:00:11,0.26555975640929996,10.36746658073699,0.997326,0.99899,92.041257,96.444581
