index,codec,type,preset,threads,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,LA_ICQ,veryslow,4,Anime,145508.212890625,9700.290364583334,-global_quality 18 -look_ahead 1,12.290627241134644,0.43335440737645836,9.763368938449862,0.9941263333333333,0.9983513333333334,89.08322866666667,97.637407
1,h264_qsv,LA_ICQ,veryslow,4,Nature,304665.0924479167,20313.375651041668,-global_quality 13 -look_ahead 1,11.898909171422323,-0.25593988895872505,10.088878142898619,0.9981086666666666,0.9993910000000001,93.74318899999999,97.70304933333334
2,h264_qsv,LA_ICQ,veryslow,4,Anime,80026.90559895833,5334.94140625,-global_quality 25 -look_ahead 1,12.098227977752686,0.6887068298195776,9.918723741159747,0.9875729999999999,0.9964323333333333,82.03752833333334,95.71143
3,h264_qsv,LA_ICQ,veryslow,4,Nature,168367.00618489584,11225.776041666666,-global_quality 19 -look_ahead 1,11.560083548227945,0.3212453144989318,10.383655216285263,0.9944466666666667,0.998078,88.72556633333333,95.89182566666666
4,h264_qsv,LA_ICQ,veryslow,4,Anime,60482.053059895836,4031.9990234375,-global_quality 27 -look_ahead 1,12.038235743840536,0.7645992529168762,9.968219864034284,0.9831596666666668,0.9950740000000001,78.02859833333333,94.25673499999999
5,h264_qsv,LA_ICQ,veryslow,4,Anime,41380.248697916664,2758.6044921875,-global_quality 30 -look_ahead 1,11.953035195668539,0.8385992226796736,10.039504134102627,0.9756486666666667,0.992325,70.21905833333334,91.293382
6,h264_qsv,LA_ICQ,veryslow,4,Nature,36610.518880208336,2440.9853515625,-global_quality 33 -look_ahead 1,11.170844793319702,0.8540390998208843,10.742506208327294,0.9620016666666666,0.986589,64.106383,81.609684
7,h264_qsv,LA_ICQ,veryslow,4,Nature,253308.35221354166,16889.193359375,-global_quality 15 -look_ahead 1,11.780417601267496,-0.03646550702123993,10.189846880266208,0.9971243333333333,0.9990686666666667,92.373937,97.271327
8,h264_qsv,LA_ICQ,veryslow,4,Anime,104642.4501953125,6975.939453125,-global_quality 23 -look_ahead 1,12.18059746424357,0.5929310901192137,9.851563856111248,0.9906163333333332,0.9974323333333333,85.19658966666667,96.74107333333332
9,h264_qsv,LA_ICQ,veryslow,4,Nature,230963.64029947916,15399.3720703125,-global_quality 16 -look_ahead 1,11.733270009358725,0.05850141848178222,10.230968794119887,0.9966733333333334,0.9988736666666668,91.69145366666667,97.01147933333334
10,h264_qsv,LA_ICQ,veryslow,4,Anime,112287.90755208333,7485.6298828125,-global_quality 20 -look_ahead 1,12.197946389516195,0.5631341726654054,9.837591205092995,0.9922913333333333,0.9976926666666667,85.86897599999999,96.97040566666668
11,h264_qsv,LA_ICQ,veryslow,4,Nature,74324.408203125,4955.538411458333,-global_quality 28 -look_ahead 1,11.296505371729532,0.7044017899062155,10.624102276467989,0.9838766666666666,0.994195,79.66575566666667,90.51844966666665
12,h264_qsv,LA_ICQ,veryslow,4,Anime,229833.13541666666,15321.958333333334,-global_quality 14 -look_ahead 1,12.469210942586264,0.10264422952469043,9.623491968541877,0.9966189999999999,0.9991786666666668,92.62797166666667,98.47519866666666
13,h264_qsv,LA_ICQ,veryslow,4,Nature,208531.052734375,13903.691731770834,-global_quality 17 -look_ahead 1,11.668693780899048,0.15301537298780002,10.287298325821014,0.9960816666666666,0.9986506666666667,90.547754,96.686967
14,h264_qsv,LA_ICQ,veryslow,4,Nature,149430.0771484375,9963.1669921875,-global_quality 22 -look_ahead 1,11.519527991612753,0.4000000033360667,10.419871467271205,0.9935170000000001,0.9976686666666666,87.73247300000001,95.31805633333333
15,h264_qsv,LA_ICQ,veryslow,4,Anime,70614.51204427083,4707.46875,-global_quality 26 -look_ahead 1,12.07676633199056,0.7253427219452034,9.936344749056213,0.9850686666666667,0.995854,80.31086933333333,95.05525333333333
16,h264_qsv,LA_ICQ,veryslow,4,Anime,30544.793619791668,2036.2779947916667,-global_quality 32 -look_ahead 1,11.893967151641846,0.880573813484452,10.089306617439798,0.9666269999999999,0.989302,63.616996666666665,88.18427799999999
17,h264_qsv,LA_ICQ,veryslow,4,Nature,150192.03157552084,10013.970052083334,-global_quality 21 -look_ahead 1,11.510560194651285,0.39675308180306446,10.428294537115008,0.993544,0.9976913333333334,87.70939933333334,95.34938433333333
18,h264_qsv,LA_ICQ,veryslow,4,Anime,45551.457682291664,3036.6722005208335,-global_quality 29 -look_ahead 1,11.971011956532797,0.8224180837409346,10.024331002962441,0.9767416666666667,0.9933053333333334,72.84421833333333,92.26470733333333
