"index","codec","type","preset","threads","infile_options","outfile_filename","outfile_size_kbyte","outfile_bit_rate_kbs","outfile_options","elapsed_encode_second","elapsed_encode_time","compression_ratio_persent","compression_speed","ssim_min","ssim_harmonic_mean","vmaf_min","vmaf_harmonic_mean"
0,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/0872966f950a",128750.080078125,8581.908203125,"-global_quality 25 -look_ahead 1",12.04242992401123,"00:00:12",0.49794529364904083,9.966427104607337,0.985208,0.995797,76.3983,96.605359
1,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/68f98b9312f3",160722.296875,10713.0341796875,"-global_quality 25 -look_ahead 1 -bf 1 -refs 1",11.100745439529419,"00:00:11",0.37327118155836003,10.81188652183775,0.988012,0.996225,78.353801,97.0159
2,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/373090046c6e",147562.0673828125,9835.8310546875,"-global_quality 25 -look_ahead 1 -bf 1 -refs 2",11.105489730834961,"00:00:11",0.4245888595683639,10.807267658512917,0.987724,0.996387,78.940621,97.058124
3,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/bf8b5e975df7",147562.0673828125,9835.8310546875,"-global_quality 25 -look_ahead 1 -bf 1 -refs 3",11.112641334533691,"00:00:11",0.4245888595683639,10.80031257978473,0.987724,0.996387,78.940621,97.058124
4,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/12dcc2f0f2ad",147562.0673828125,9835.8310546875,"-global_quality 25 -look_ahead 1 -bf 1 -refs 4",11.109976053237915,"00:00:11",0.4245888595683639,10.802903572867837,0.987724,0.996387,78.940621,97.058124
5,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/0b4911d95eb4",147562.0673828125,9835.8310546875,"-global_quality 25 -look_ahead 1 -bf 1 -refs 5",11.107052087783813,"00:00:11",0.4245888595683639,10.805747470294573,0.987724,0.996387,78.940621,97.058124
6,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/1980226cd4ae",147562.0673828125,9835.8310546875,"-global_quality 25 -look_ahead 1 -bf 1 -refs 6",11.11379861831665,"00:00:11",0.4245888595683639,10.799187939413896,0.987724,0.996387,78.940621,97.058124
7,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/782b8833dc3b",147562.0830078125,9835.83203125,"-global_quality 25 -look_ahead 1 -bf 1 -refs 7",11.112550020217896,"00:00:11",0.42458879863943255,10.80040132837545,0.987724,0.996387,78.940621,97.058124
8,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/1acf66cfc132",147562.0830078125,9835.83203125,"-global_quality 25 -look_ahead 1 -bf 1 -refs 8",11.103153228759766,"00:00:11",0.42458879863943255,10.80954189564097,0.987724,0.996387,78.940621,97.058124
9,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/0b5958480143",147562.0830078125,9835.83203125,"-global_quality 25 -look_ahead 1 -bf 1 -refs 9",11.107594966888428,"00:00:11",0.42458879863943255,10.805219343861367,0.987724,0.996387,78.940621,97.058124
10,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_bf_refs/1513ea8c8d82",147562.0830078125,9835.83203125,"-global_quality 25 -look_ahead 1 -bf 1 -refs 10",11.105293035507202,"00:00:11",0.42458879863943255,10.807459075258741,0.987724,0.996387,78.940621,97.058124
