"index","codec","type","preset","threads","infile_options","outfile_filename","outfile_size_kbyte","outfile_bit_rate_kbs","outfile_options","elapsed_encode_second","elapsed_encode_time","compression_ratio_persent","compression_speed","ssim_min","ssim_harmonic_mean","vmaf_min","vmaf_harmonic_mean"
0,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/c09dcae26c78",355531.25390625,23698.1337890625,"-global_quality 13 -look_ahead 1",12.522050857543945,"00:00:12",-0.3863769185244774,9.584691945863932,0.997092,0.999332,92.201964,98.94951
1,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/ba25cd9bc82d",324457.41015625,21626.888671875,"-global_quality 14 -look_ahead 1",12.467529535293579,"00:00:12",-0.2652059686529482,9.626606430748177,0.996608,0.99919,91.753072,98.853278
2,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/cdbd2547e24b",296512.958984375,19764.236328125,"-global_quality 15 -look_ahead 1",12.406391620635986,"00:00:12",-0.15623793369156203,9.674045739485324,0.996064,0.999013,91.067786,98.74495
3,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/b7d0a922c90e",270372.0712890625,18021.80078125,"-global_quality 16 -look_ahead 1",12.350137948989868,"00:00:12",-0.05430280722282621,9.718110072593689,0.995498,0.99881,89.743179,98.621867
4,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/a98ca46967b2",244580.212890625,16302.6298828125,"-global_quality 17 -look_ahead 1",12.3092041015625,"00:00:12",0.046271296394163386,9.750427323303946,0.994514,0.998575,88.703306,98.472681
5,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/6772ca17d9e0",221091.376953125,14736.96875,"-global_quality 18 -look_ahead 1",12.25957727432251,"00:00:12",0.13786487538045733,9.789897099582706,0.993696,0.998284,86.827353,98.294383
6,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/aeb09e4b64dd",196847.2734375,13120.9638671875,"-global_quality 19 -look_ahead 1",12.222570896148682,"00:00:12",0.2324035837361611,9.819538051345496,0.99263,0.997929,82.6233,98.065713
7,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/67e43729d06a",175850.310546875,11721.400390625,"-global_quality 20 -look_ahead 1",12.165677785873413,"00:00:12",0.3142802243713989,9.865459377805095,0.99155,0.99749,80.674853,97.761692
8,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/8c73dbd306b9",174661.3798828125,11642.1513671875,"-global_quality 21 -look_ahead 1",12.14818024635315,"00:00:12",0.31891640195711646,9.879669017590489,0.990511,0.997466,81.101906,97.741349
9,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/a94267440007",173709.9326171875,11578.7314453125,"-global_quality 22 -look_ahead 1",12.15714430809021,"00:00:12",0.32262652452373497,9.872384250644318,0.991588,0.997443,80.930485,97.724711
10,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/1550f57dc062",165299.6865234375,11018.142578125,"-global_quality 23 -look_ahead 1",12.118031978607178,"00:00:12",0.3554218721489544,9.904248496115526,0.990925,0.997104,81.021484,97.535792
11,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/c7de995fafe0",146122.2177734375,9739.857421875,"-global_quality 24 -look_ahead 1",12.07719087600708,"00:00:12",0.43020348343800086,9.937741419524588,0.989699,0.996523,78.507684,97.133795
12,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/adcd76b5e410",128750.080078125,8581.908203125,"-global_quality 25 -look_ahead 1",12.029405117034912,"00:00:12",0.49794529364904083,9.977218227528056,0.985208,0.995797,76.3983,96.605359
13,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/e98e45ef0554",113782.767578125,7584.2529296875,"-global_quality 26 -look_ahead 1",11.994045972824097,"00:00:11",0.5563096043934755,10.006631646396825,0.983577,0.995067,74.743281,96.039527
14,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/abf4abfa2d61",96814.244140625,6453.20703125,"-global_quality 27 -look_ahead 1",11.95042896270752,"00:00:11",0.6224775403392556,10.043154130662098,0.982705,0.994046,72.59452,95.329462
15,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/222d822e0120",83567.23046875,5570.2197265625,"-global_quality 28 -look_ahead 1",11.897858142852783,"00:00:11",0.6741336290579945,10.087529920004783,0.979736,0.993097,70.377399,94.555418
16,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/529f8d0d6f71",71028.498046875,4734.443359375,"-global_quality 29 -look_ahead 1",11.917779445648193,"00:00:11",0.7230278093199238,10.070667992083509,0.976773,0.991842,67.060901,93.553284
17,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/e3eb99b40def",63764.1064453125,4250.2314453125,"-global_quality 30 -look_ahead 1",11.830741167068481,"00:00:11",0.7513549528069632,10.144757484347833,0.974011,0.990492,64.68678,92.577852
18,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/610171adf617",53221.087890625,3547.48046875,"-global_quality 31 -look_ahead 1",11.799749851226807,"00:00:11",0.7924669434271978,10.171402064724418,0.969133,0.988948,61.030188,91.354802
19,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/fa0e7332aad6",44374.732421875,2957.822265625,"-global_quality 32 -look_ahead 1",11.773466110229492,"00:00:11",0.8269628784545352,10.194109268783594,0.964018,0.98697,57.03036,89.840755
20,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_default-qq13-33/4761c75b73f0",35971.8681640625,2397.724609375,"-global_quality 33 -look_ahead 1",11.74860429763794,"00:00:11",0.8597294409677635,10.215681536242569,0.96015,0.984936,53.571547,88.183375
