"index","codec","type","preset","threads","infile_options","outfile_filename","outfile_size_kbyte","outfile_bit_rate_kbs","outfile_options","elapsed_encode_second","elapsed_encode_time","compression_ratio_persent","compression_speed","ssim_min","ssim_harmonic_mean","vmaf_min","vmaf_harmonic_mean"
0,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/3c19a90fd2e3",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9",12.766655206680298,"00:00:12",0.5770932244789232,9.401052825269234,0.977746,0.994418,73.415584,95.700976
1,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/b6273e35c5e7",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -look_ahead_depth 0",12.759967565536499,"00:00:12",0.5770932244789232,9.405980021780227,0.977746,0.994418,73.415584,95.700976
2,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/65e2e3787d3c",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -look_ahead_depth 5",12.757693529129028,"00:00:12",0.5770932244789232,9.407656621156802,0.977746,0.994418,73.415584,95.700976
3,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/1636e1d1cf4b",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -look_ahead_depth 10",12.756316900253296,"00:00:12",0.5770932244789232,9.408671871237129,0.977746,0.994418,73.415584,95.700976
4,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/b7a93dd0d48c",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -look_ahead_depth 15",12.760942220687866,"00:00:12",0.5770932244789232,9.40526161190709,0.977746,0.994418,73.415584,95.700976
5,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/d6e87629157a",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -look_ahead_depth 20",12.765463829040527,"00:00:12",0.5770932244789232,9.401930208518,0.977746,0.994418,73.415584,95.700976
6,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/d746d4402efa",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -look_ahead_depth 25",12.787364482879639,"00:00:12",0.5770932244789232,9.385827717720002,0.977746,0.994418,73.415584,95.700976
7,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/1b6a997a3a94",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -look_ahead_depth 30",12.760958671569824,"00:00:12",0.5770932244789232,9.40524948704621,0.977746,0.994418,73.415584,95.700976
8,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/425b68c198a4",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -look_ahead_depth 35",12.766842126846313,"00:00:12",0.5770932244789232,9.400915183843315,0.977746,0.994418,73.415584,95.700976
9,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_look_ahead_depth/e246d38bb4e3",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -look_ahead_depth 40",12.764740228652954,"00:00:12",0.5770932244789232,9.402463179829672,0.977746,0.994418,73.415584,95.700976
