"index","codec","type","preset","threads","infile_options","outfile_filename","outfile_size_kbyte","outfile_bit_rate_kbs","outfile_options","elapsed_encode_second","elapsed_encode_time","compression_ratio_persent","compression_speed","ssim_min","ssim_harmonic_mean","vmaf_min","vmaf_harmonic_mean"
0,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/ca722ea475c3",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9",12.773561716079712,"00:00:12",0.5770932244789232,9.395969790392567,0.977746,0.994418,73.415584,95.700976
1,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/7f8c45f05ccd",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 23",12.758584022521973,"00:00:12",0.5770932244789232,9.407000007848504,0.977746,0.994418,73.415584,95.700976
2,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/5edfead98e54",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 24",12.754419088363647,"00:00:12",0.5770932244789232,9.410071847921236,0.977746,0.994418,73.415584,95.700976
3,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/ee1bcd750dee",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 25",12.758545160293579,"00:00:12",0.5770932244789232,9.407028661349214,0.977746,0.994418,73.415584,95.700976
4,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/5bf211e0df00",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 26",12.76550030708313,"00:00:12",0.5770932244789232,9.401903342041761,0.977746,0.994418,73.415584,95.700976
5,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/96923e210b26",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 27",12.75999116897583,"00:00:12",0.5770932244789232,9.405962622592732,0.977746,0.994418,73.415584,95.700976
6,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/a1eda683db65",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 28",12.753939151763916,"00:00:12",0.5770932244789232,9.410425953255453,0.977746,0.994418,73.415584,95.700976
7,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/e6984e11eea5",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 29",12.76341700553894,"00:00:12",0.5770932244789232,9.403437962413586,0.977746,0.994418,73.415584,95.700976
8,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/725a5736ac2d",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 30",12.75888442993164,"00:00:12",0.5770932244789232,9.406778520419833,0.977746,0.994418,73.415584,95.700976
9,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/38acb5b6806d",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 31",12.760899305343628,"00:00:12",0.5770932244789232,9.405293242126094,0.977746,0.994418,73.415584,95.700976
