"index","codec","type","preset","threads","infile_options","outfile_filename","outfile_size_kbyte","outfile_bit_rate_kbs","outfile_options","elapsed_encode_second","elapsed_encode_time","compression_ratio_persent","compression_speed","ssim_min","ssim_harmonic_mean","vmaf_min","vmaf_harmonic_mean"
0,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/561538621470",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9",12.777529239654541,"00:00:12",0.5770932244789232,9.393052267689031,0.977746,0.994418,73.415584,95.700976
1,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/16776b7194a1",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 25 -min_qp_b 25",12.757607698440552,"00:00:12",0.5771499112334015,9.407719914029872,0.977746,0.994416,73.415584,95.699325
2,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/af648128090d",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 25 -min_qp_b 28",12.751498699188232,"00:00:12",0.5771499112334015,9.412226972790307,0.977746,0.994416,73.415584,95.699325
3,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/caa45b8912f5",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 25 -min_qp_b 31",12.761775016784668,"00:00:12",0.5771499112334015,9.404647852053975,0.977746,0.994416,73.415584,95.699325
4,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/aad3ea776e27",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 25 -min_qp_b 34",12.758700847625732,"00:00:12",0.5771499112334015,9.4069138726091,0.977746,0.994416,73.415584,95.699325
5,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/ae89250ca4d4",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 25 -min_qp_b 37",12.760341882705688,"00:00:12",0.5771499112334015,9.405704102855204,0.977746,0.994416,73.415584,95.699325
6,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/d8f60b0d86c2",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 28 -min_qp_b 25",12.768267393112183,"00:00:12",0.5771499112334015,9.3998658004879,0.977746,0.994416,73.415584,95.699325
7,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/ccfadea7f898",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 28 -min_qp_b 28",12.771674871444702,"00:00:12",0.5771499112334015,9.39735791962136,0.977746,0.994416,73.415584,95.699325
8,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/8b183f9cd220",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 28 -min_qp_b 31",12.775152444839478,"00:00:12",0.5771499112334015,9.394799828669134,0.977746,0.994416,73.415584,95.699325
9,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/360f7c957aac",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 28 -min_qp_b 34",12.779567003250122,"00:00:12",0.5771499112334015,9.391554500201478,0.977746,0.994416,73.415584,95.699325
10,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/aeb60bafff72",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 28 -min_qp_b 37",12.772067546844482,"00:00:12",0.5771499112334015,9.397068999188985,0.977746,0.994416,73.415584,95.699325
11,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/31fcf5725e2e",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 31 -min_qp_b 25",12.768494367599487,"00:00:12",0.5771499112334015,9.399698707198795,0.977746,0.994416,73.415584,95.699325
12,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/81c811e0b9da",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 31 -min_qp_b 28",12.766322612762451,"00:00:12",0.5771499112334015,9.401297745681,0.977746,0.994416,73.415584,95.699325
13,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp_2/c7ec031f218b",108438.34765625,7228.017578125,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 25 -min_qp_p 31 -min_qp_b 31",12.75830626487732,"00:00:12",0.5771499112334015,9.407204805108515,0.977746,0.994416,73.415584,95.699325
