index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/77892768164b,91783.2265625,6117.861328125,-global_quality 21 -bf 15 -refs 8,13.405579090118408,00:00:13,0.6580789819378321,8.952988840927414,0.984254,0.996678,77.214258,96.440563
1,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/532366b64420,31949.279296875,2130.2001953125,-global_quality 21 -bf 15 -refs 8,13.239837646484375,00:00:13,0.8535148996502847,9.062497834470074,0.98806,0.996676,80.769699,93.852005
2,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/a18b71bfc8a3,52490.19921875,3499.7548828125,-global_quality 21 -bf 15 -refs 8,13.39510202407837,00:00:13,0.8037118504687488,8.957453238080541,0.990943,0.997336,87.071435,96.375674
3,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/2e3d41abc80a,24963.650390625,1664.4375,-global_quality 21 -bf 15 -refs 8,13.100358724594116,00:00:13,0.853931737170429,9.158985835612489,0.993691,0.996217,82.949745,91.734185
4,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/bdaff865ba1a,134692.931640625,8980.576171875,-global_quality 21 -bf 15 -refs 8,13.291483640670776,00:00:13,0.48838092118819987,9.027284180138729,0.986079,0.996346,82.865798,92.489372
5,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/6b7575b6149a,146777.54296875,9786.310546875,-global_quality 21 -bf 15 -refs 8,13.406466484069824,00:00:13,0.4419698930579634,8.949860139699961,0.986628,0.996493,86.06179,94.055578
6,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/b01569c51ca1,91783.2265625,6117.861328125,-global_quality 21 -bf 15 -refs 8 -extbrc 1,13.38999319076538,00:00:13,0.6580789819378321,8.963410084687247,0.984254,0.996678,77.214258,96.440563
7,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/85b501bf6a18,31949.279296875,2130.2001953125,-global_quality 21 -bf 15 -refs 8 -extbrc 1,13.23965573310852,00:00:13,0.8535148996502847,9.06262235353673,0.98806,0.996676,80.769699,93.852005
8,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/66dbff60db10,52490.19921875,3499.7548828125,-global_quality 21 -bf 15 -refs 8 -extbrc 1,13.402694702148438,00:00:13,0.8037118504687488,8.952378806387822,0.990943,0.997336,87.071435,96.375674
9,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/d380d91e4c57,24963.650390625,1664.4375,-global_quality 21 -bf 15 -refs 8 -extbrc 1,13.098924160003662,00:00:13,0.853931737170429,9.159988907055896,0.993691,0.996217,82.949745,91.734185
10,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/f88a1cab15c8,134692.931640625,8980.576171875,-global_quality 21 -bf 15 -refs 8 -extbrc 1,13.309533596038818,00:00:13,0.48838092118819987,9.015041671761528,0.986079,0.996346,82.865798,92.489372
11,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/4420b8fb4995,146777.54296875,9786.310546875,-global_quality 21 -bf 15 -refs 8 -extbrc 1,13.409651041030884,00:00:13,0.4419698930579634,8.9477347048679,0.986628,0.996493,86.06179,94.055578
12,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/7ab22aefac8b,91783.2265625,6117.861328125,-global_quality 21 -bf 15 -refs 8 -extbrc 1 -look_ahead_depth 10,13.397445678710938,00:00:13,0.6580789819378321,8.958424081593138,0.984254,0.996678,77.214258,96.440563
13,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/11bbfe08b42e,31949.279296875,2130.2001953125,-global_quality 21 -bf 15 -refs 8 -extbrc 1 -look_ahead_depth 10,13.246065139770508,00:00:13,0.8535148996502847,9.05823719979674,0.98806,0.996676,80.769699,93.852005
14,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/2a242942b4ad,52490.19921875,3499.7548828125,-global_quality 21 -bf 15 -refs 8 -extbrc 1 -look_ahead_depth 10,13.411161422729492,00:00:13,0.8037118504687488,8.946726999843984,0.990943,0.997336,87.071435,96.375674
15,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/f2b071c6d85e,24963.650390625,1664.4375,-global_quality 21 -bf 15 -refs 8 -extbrc 1 -look_ahead_depth 10,13.112749338150024,00:00:13,0.853931737170429,9.150331246774819,0.993691,0.996217,82.949745,91.734185
16,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/fa62e5eebd85,134692.931640625,8980.576171875,-global_quality 21 -bf 15 -refs 8 -extbrc 1 -look_ahead_depth 10,13.308004140853882,00:00:13,0.48838092118819987,9.016077747650996,0.986079,0.996346,82.865798,92.489372
17,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/99ef42636617,146777.54296875,9786.310546875,-global_quality 21 -bf 15 -refs 8 -extbrc 1 -look_ahead_depth 10,13.420615911483765,00:00:13,0.4419698930579634,8.940424254100758,0.986628,0.996493,86.06179,94.055578
18,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-extbrc/5330888256c2,91783.2265625,6117.861328125,-global_quality 21 -bf 15 -refs 8 -extbrc 1 -look_ahead_depth 30,13.379870653152466,00:00:13,0.6580789819378321,8.970191350222192,0.984254,0.996678,77.214258,96.440563
