index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/77892768164b,91783.2265625,6117.861328125,-global_quality 21 -bf 15 -refs 8,13.396304607391357,00:00:13,0.6580789819378321,8.95918714283187,0.984254,0.996678,77.214258,96.440563
1,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/532366b64420,31949.279296875,2130.2001953125,-global_quality 21 -bf 15 -refs 8,13.230792045593262,00:00:13,0.8535148996502847,9.068693664485744,0.98806,0.996676,80.769699,93.852005
2,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/a18b71bfc8a3,52490.19921875,3499.7548828125,-global_quality 21 -bf 15 -refs 8,13.392881870269775,00:00:13,0.8037118504687488,8.95893812565847,0.990943,0.997336,87.071435,96.375674
3,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/2e3d41abc80a,24963.650390625,1664.4375,-global_quality 21 -bf 15 -refs 8,13.120298385620117,00:00:13,0.853931737170429,9.145066405769017,0.993691,0.996217,82.949745,91.734185
4,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/bdaff865ba1a,134692.931640625,8980.576171875,-global_quality 21 -bf 15 -refs 8,13.283935070037842,00:00:13,0.48838092118819987,9.03241391706518,0.986079,0.996346,82.865798,92.489372
5,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/6b7575b6149a,146777.54296875,9786.310546875,-global_quality 21 -bf 15 -refs 8,13.400909423828125,00:00:13,0.4419698930579634,8.953571448416268,0.986628,0.996493,86.06179,94.055578
6,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/f1a2acfe787b,91783.2265625,6117.861328125,-global_quality 21 -bf 15 -refs 8 -rdo 1,13.380335330963135,00:00:13,0.6580789819378321,8.969879829712818,0.984254,0.996678,77.214258,96.440563
7,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/5d3134ac152c,31949.279296875,2130.2001953125,-global_quality 21 -bf 15 -refs 8 -rdo 1,13.232852697372437,00:00:13,0.8535148996502847,9.067281465607552,0.98806,0.996676,80.769699,93.852005
8,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/1ec15b6d3ea4,52490.19921875,3499.7548828125,-global_quality 21 -bf 15 -refs 8 -rdo 1,13.392333030700684,00:00:13,0.8037118504687488,8.959305277500434,0.990943,0.997336,87.071435,96.375674
9,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/f419966a56f9,24963.650390625,1664.4375,-global_quality 21 -bf 15 -refs 8 -rdo 1,13.104463577270508,00:00:13,0.853931737170429,9.156116867546864,0.993691,0.996217,82.949745,91.734185
10,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/c270133cd65b,134692.931640625,8980.576171875,-global_quality 21 -bf 15 -refs 8 -rdo 1,13.308825969696045,00:00:13,0.48838092118819987,9.015520998862405,0.986079,0.996346,82.865798,92.489372
11,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-custom-rdo/3b5c98dcc363,146777.54296875,9786.310546875,-global_quality 21 -bf 15 -refs 8 -rdo 1,13.39477801322937,00:00:13,0.4419698930579634,8.957669912968745,0.986628,0.996493,86.06179,94.055578
