index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,Nature,102144.70833333333,6810.44140625,-global_quality 21 -bf 15 -refs 8,13.265440305074057,0.5947608504721974,9.045820400760284,0.9887993333333333,0.996352,83.959111,92.75971166666666
1,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,Nature,102144.70833333333,6810.44140625,-global_quality 21 -bf 15 -refs 8 -adaptive_i 1 -adaptive_b 1,13.265547037124634,0.5947608504721974,9.04573722801956,0.9887993333333333,0.996352,83.959111,92.75971166666666
2,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,Anime,58740.901692708336,3915.9388020833335,-global_quality 21 -bf 15 -refs 8,13.330301443735758,0.7717685773522884,9.002114548843087,0.9877523333333333,0.9968966666666667,81.68513066666667,95.55608066666667
3,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,Anime,58740.901692708336,3915.9388020833335,-global_quality 21 -bf 15 -refs 8 -adaptive_i 1 -adaptive_b 1,13.330320199330648,0.7717685773522884,9.002084957987023,0.9877523333333333,0.9968966666666667,81.68513066666667,95.55608066666667
4,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,Nature,102144.70833333333,6810.44140625,-global_quality 21 -bf 15 -refs 8 -b_strategy 1 -adaptive_i 1 -adaptive_b 1,13.262821753819784,0.5947608504721974,9.047560238281307,0.9887993333333333,0.996352,83.959111,92.75971166666666
5,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,Nature,102144.70833333333,6810.44140625,-global_quality 21 -bf 15 -refs 8 -b_strategy 1,13.262444575627645,0.5947608504721974,9.047900747905006,0.9887993333333333,0.996352,83.959111,92.75971166666666
6,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,Anime,58740.901692708336,3915.9388020833335,-global_quality 21 -bf 15 -refs 8 -adaptive_b 1,13.33578610420227,0.7717685773522884,8.998406025002632,0.9877523333333333,0.9968966666666667,81.68513066666667,95.55608066666667
7,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,Anime,58740.901692708336,3915.9388020833335,-global_quality 21 -bf 15 -refs 8 -adaptive_i 1,13.327747662862143,0.7717685773522884,9.003802414863351,0.9877523333333333,0.9968966666666667,81.68513066666667,95.55608066666667
8,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,Nature,102144.70833333333,6810.44140625,-global_quality 21 -bf 15 -refs 8 -adaptive_i 1,13.258908112843832,0.5947608504721974,9.050316876445011,0.9887993333333333,0.996352,83.959111,92.75971166666666
9,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,Anime,58740.901692708336,3915.9388020833335,-global_quality 21 -bf 15 -refs 8 -b_strategy 1 -adaptive_i 1 -adaptive_b 1,13.334036986033121,0.7717685773522884,8.999565696996086,0.9877523333333333,0.9968966666666667,81.68513066666667,95.55608066666667
10,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,Anime,58740.901692708336,3915.9388020833335,-global_quality 21 -bf 15 -refs 8 -b_strategy 1,13.332537412643433,0.7717685773522884,9.000622476453211,0.9877523333333333,0.9968966666666667,81.68513066666667,95.55608066666667
11,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,Nature,102144.70833333333,6810.44140625,-global_quality 21 -bf 15 -refs 8 -adaptive_b 1,13.263184865315756,0.5947608504721974,9.04732253181958,0.9887993333333333,0.996352,83.959111,92.75971166666666
