index,codec,type,preset,threads,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,hevc_qsv,CQP,veryslow,4,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/e8a6e4cfd666,171282.52734375,11416.931640625,-q:v 18,12.496634721755981,00:00:12,0.3619194016266568,9.6041856605644,0.992581,0.997989,81.724725,98.001113
1,hevc_qsv,CQP,veryslow,4,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/84278f09ba12,57571.4990234375,3838.546875,-q:v 18,12.528977632522583,00:00:12,0.7360389029947021,9.576679240654213,0.994233,0.998065,87.971852,96.533115
2,hevc_qsv,CQP,veryslow,4,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/d07893716cc2,86102.9287109375,5740.8642578125,-q:v 18,12.58506965637207,00:00:12,0.678016376439014,9.533995700949395,0.994324,0.998235,90.988554,97.662045
3,hevc_qsv,CQP,veryslow,4,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/b18f669fccea,46479.4990234375,3098.994140625,-q:v 18,12.273979425430298,00:00:12,0.728037383423223,9.775639655334812,0.99523,0.997468,87.387217,94.378414
4,hevc_qsv,CQP,veryslow,4,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/7dbad7433977,219951.966796875,14665.1748046875,-q:v 18,12.416398286819458,00:00:12,0.16453208594711477,9.663510885227508,0.993352,0.99805,88.538514,96.222227
5,hevc_qsv,CQP,veryslow,4,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/b73c3fe04ef7,188524.890625,12569.7919921875,-q:v 18,12.450727462768555,00:00:12,0.2832516286288912,9.636866629584052,0.994451,0.998014,88.758271,96.421499
6,hevc_qsv,CQP,veryslow,4,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/65b801b4d0e5,136902.33203125,9125.30078125,-q:v 19,12.48153042793274,00:00:12,0.4899963043755634,9.615807988690564,0.990593,0.997595,79.616662,97.50026
7,hevc_qsv,CQP,veryslow,4,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/795b7ec3579f,45373.21875,3025.2333984375,-q:v 19,12.496194124221802,00:00:12,0.7919671226376166,9.601803461697752,0.991465,0.997619,85.078405,95.730238
8,hevc_qsv,CQP,veryslow,4,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/bbf8a7ca9460,67119.5166015625,4475.15625,-q:v 19,12.593116044998169,00:00:12,0.7490052255993983,9.52790394142814,0.992675,0.997807,89.885647,97.09871
9,hevc_qsv,CQP,veryslow,4,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/1e831430df3b,36168.5908203125,2411.5205078125,-q:v 19,12.267699241638184,00:00:12,0.7883689625736525,9.780644083020208,0.994267,0.996946,84.394482,93.375142
10,hevc_qsv,CQP,veryslow,4,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/eed2148694c1,177429.3994140625,11830.005859375,-q:v 19,12.416229248046875,00:00:12,0.3260502627966084,9.663642447555025,0.990898,0.997273,85.9665,94.901546
11,hevc_qsv,CQP,veryslow,4,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/ecde5bc2aef6,151911.1962890625,10128.5947265625,-q:v 19,12.471640348434448,00:00:12,0.4224523765946496,9.620707192303033,0.991307,0.997235,86.513065,95.237517
12,hevc_qsv,CQP,veryslow,4,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/a127357a5c0d,116493.0615234375,7764.9091796875,-q:v 20,12.485214471817017,00:00:12,0.5660271741901641,9.612970627851222,0.989117,0.997251,78.71855,97.106345
13,hevc_qsv,CQP,veryslow,4,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/722566cccfb4,38734.0693359375,2582.572265625,-q:v 20,12.488640785217285,00:00:12,0.8224071353564895,9.607610793163863,0.989718,0.997297,83.405036,95.182286
14,hevc_qsv,CQP,veryslow,4,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/4c22d1dec776,56800.8486328125,3787.1650390625,-q:v 20,12.591193675994873,00:00:12,0.7875920907925071,9.529358620601116,0.991604,0.997527,89.018474,96.747969
15,hevc_qsv,CQP,veryslow,4,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/9d45d093f9c4,29966.748046875,1998.015625,-q:v 20,12.289406061172485,00:00:12,0.8246574214361572,9.763368498261876,0.99351,0.996603,82.869979,92.756955
16,hevc_qsv,CQP,veryslow,4,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/e21e2f451d61,154959.744140625,10331.8544921875,-q:v 20,12.417853116989136,00:00:12,0.4113992428224281,9.66237874370124,0.988609,0.996761,84.381706,94.038608
17,hevc_qsv,CQP,veryslow,4,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/ca73948ef259,131070.9091796875,8739.080078125,-q:v 20,12.475388288497925,00:00:12,0.5016845766242093,9.617816874736064,0.988924,0.996666,85.304501,94.426472
18,hevc_qsv,CQP,veryslow,4,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/f3894a2bf82c,99081.212890625,6604.3125,-q:v 21,12.490751266479492,00:00:12,0.6308917168070177,9.608709471470208,0.987771,0.996896,77.078565,96.671125
19,hevc_qsv,CQP,veryslow,4,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/f42037665044,33663.5810546875,2244.5,-q:v 21,12.47679352760315,00:00:12,0.8456549519284775,9.61673363709577,0.987532,0.996946,81.865688,94.549735
20,hevc_qsv,CQP,veryslow,4,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/b3b0f3cdb080,49299.814453125,3287.037109375,-q:v 21,12.593139410018921,00:00:12,0.8156423580922278,9.527886263574663,0.99037,0.997219,87.746909,96.349502
21,hevc_qsv,CQP,veryslow,4,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/68aa348ea2f8,25738.994140625,1716.1328125,-q:v 21,12.280324220657349,00:00:12,0.849395016262785,9.77058893918823,0.992736,0.996268,81.750059,92.11412
22,hevc_qsv,CQP,veryslow,4,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/0c490c7953e7,136805.05859375,9121.4013671875,-q:v 21,12.410236358642578,00:00:12,0.4803581954747633,9.668309009799067,0.984961,0.996184,82.485961,93.101536
23,hevc_qsv,CQP,veryslow,4,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/c477f683ba3e,113744.1416015625,7583.8271484375,-q:v 21,12.492826223373413,00:00:12,0.5675588089421564,9.60439198101648,0.986152,0.996009,83.600258,93.476022
24,hevc_qsv,CQP,veryslow,4,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/939515080702,82754.4130859375,5516.041015625,-q:v 22,12.49074125289917,00:00:12,0.6917141156264203,9.608717174582628,0.986517,0.996471,76.497587,96.190656
25,hevc_qsv,CQP,veryslow,4,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/d43610eb54a2,28989.3994140625,1932.8515625,-q:v 22,12.489699840545654,00:00:12,0.8670857316439599,9.606796122552614,0.98531,0.996544,80.512316,93.862266
26,hevc_qsv,CQP,veryslow,4,AToS,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/b77faa7bdcd4,42378.5771484375,2825.5673828125,-q:v 22,12.613662719726562,00:00:12,0.8415244633847236,9.512383727555468,0.989253,0.996872,86.380551,95.901712
27,hevc_qsv,CQP,veryslow,4,NAir,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/4f08c482aa21,21797.134765625,1453.3115234375,-q:v 22,12.28234338760376,00:00:12,0.8724597741092953,9.768982694385395,0.991647,0.995896,80.308005,91.416855
28,hevc_qsv,CQP,veryslow,4,NArmy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/0dc5ff218c49,119864.8251953125,7991.919921875,-q:v 22,12.40998649597168,00:00:12,0.5447041600372529,9.668503671534843,0.981915,0.99553,80.447695,92.110274
29,hevc_qsv,CQP,veryslow,4,NNavy,Nature,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/55b497555640,97913.50390625,6528.328125,-q:v 22,12.479438781738281,00:00:12,0.627744940058663,9.614695187701939,0.983094,0.995257,81.76807,92.449868
30,hevc_qsv,CQP,veryslow,4,ABBB,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/1ca7734b0e67,59957.62890625,3996.5087890625,-q:v 23,12.474926233291626,00:00:12,0.7766392152028059,9.620898573308164,0.983942,0.995781,74.028034,95.3288
31,hevc_qsv,CQP,veryslow,4,ASintel,Anime,-hwaccel qsv -c:v mpeg2_qsv,videos/dist/hevc_qsv-default-cqp/5b2798373a4b,23527.4462890625,1568.6787109375,-q:v 23,12.47093677520752,00:00:12,0.892128385789192,9.621249964039162,0.980397,0.995761,78.431347,92.432326
