index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,125692.96207682292,8380.017578125,-global_quality 18,13.339386542638143,0.5015293641649011,8.995883426534977,0.9937376666666666,0.9980381666666666,86.92900733333335,96.30269416666665
1,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,79121.90559895833,5275.105794270833,-global_quality 21,13.274826884269714,0.687372021733843,9.039538903673813,0.9894411666666668,0.9968506666666666,83.08659883333334,94.45883583333334
2,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,31364.194661458332,2091.1007486979165,-global_quality 29,13.225705027580261,0.8758653707195315,9.072991009979363,0.9758826666666666,0.9929801666666668,72.21476616666666,88.77083800000001
3,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,56862.236979166664,3791.0553385416665,-global_quality 23,13.25131380558014,0.7755234655553567,9.055575142617784,0.9859026666666666,0.9957393333333333,79.86700950000001,92.77487883333333
4,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,55604.565592447914,3707.205078125,-global_quality 24,13.253025889396667,0.7804574674039159,9.054361957889924,0.9854311666666667,0.9956755,79.71995550000001,92.66896983333334
5,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,22819.999348958332,1521.4519856770833,-global_quality 31,13.203953544298807,0.9095990622255044,9.08794501489414,0.969315,0.9905995000000001,67.01912683333332,85.62527683333333
6,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,13405.632649739584,893.78125,-global_quality 35,13.178959886233011,0.946728617671337,9.105144485829761,0.9532278333333334,0.9839876666666666,55.79325,77.908746
7,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,37187.32958984375,2479.3313802083335,-global_quality 28,13.233099102973938,0.8529235874670694,9.067942546728148,0.9787601666666667,0.9939420000000001,74.57256016666668,90.12807216666666
8,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,66998.82731119792,4466.85986328125,-global_quality 22,13.266257723172506,0.7354055446744582,9.045434283301645,0.9877294999999999,0.9963296666666667,81.26720949999999,93.65916433333332
9,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,26614.016276041668,1774.4031575520833,-global_quality 30,13.207582751909891,0.8946027225243748,9.08553544783752,0.9726585,0.9918668333333334,69.745086,87.27522499999999
10,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,92834.27034505208,6189.314290364583,-global_quality 20,13.300125002861023,0.6327929839488623,9.022381281677903,0.9911603333333333,0.9973031666666667,84.42187483333333,95.15946833333335
11,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,54532.348795572914,3635.7200520833335,-global_quality 25,13.244621872901917,0.7847022866149427,9.06008696881065,0.9847929999999999,0.9956041666666667,79.5154605,92.56647599999998
12,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,44255.337727864586,2950.5563151041665,-global_quality 27,13.237557331720987,0.8250589047300682,9.06490745039612,0.9813076666666668,0.9947806666666666,76.92174833333334,91.33305366666666
13,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,10304.865397135416,687.0467122395834,-global_quality 38,13.166181921958923,0.9589739056292969,9.113882828885506,0.9385688333333334,0.9770506666666666,46.910525,71.01959733333332
14,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,52000.138834635414,3466.90234375,-global_quality 26,13.240729252497355,0.7944145321568317,9.062768181784424,0.9836459999999999,0.9954893333333334,78.60213,92.38338449999999
15,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,108286.67822265625,7219.532389322917,-global_quality 19,13.3210529088974,0.5711713728297662,9.008252978096754,0.9927405,0.9976949999999999,85.85480416666667,95.76928600000001
16,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,15482.474283854166,1032.24853515625,-global_quality 34,13.189544677734375,0.9385314975062133,9.097813146939632,0.9590815,0.9861995,58.70874716666666,80.36879933333334
17,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,19548.818359375,1303.3580729166667,-global_quality 32,13.202536265055338,0.9224983350174799,9.08892099793855,0.9656053333333334,0.9891328333333335,63.81983650000001,83.76888083333334
18,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,11600.013509114584,773.3968098958334,-global_quality 36,13.177846233050028,0.9538548109833541,9.10585221613104,0.9466621666666667,0.9814268333333335,52.17188766666667,75.19090166666666
19,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,10158.21630859375,677.26904296875,-global_quality 37,13.16589923699697,0.9595452874926237,9.114112424071042,0.9398766666666667,0.9786263333333333,48.73519983333333,72.3777895
20,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,17971.366861979168,1198.18701171875,-global_quality 33,13.201036095619202,0.9287147220944328,9.089925454683318,0.9635016666666666,0.9880835,62.107425500000005,82.60001733333333
