index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,ABBB,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/ac21ab9bdad0,184637.044921875,12307.0849609375,-crf 20,79.5024962425232,00:01:19,0.3121696770085943,1.5096381330452535,0.993435,0.998027,84.420791,98.150084
1,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,ASintel,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/c9af7d73f981,58378.9140625,3892.380859375,-crf 20,66.86946392059326,00:01:06,0.7323369643086389,1.7943317168279087,0.994785,0.998264,87.952098,96.927434
2,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,AToS,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/5b55b67f66a3,84176.2294921875,5612.4033203125,-crf 20,68.68701481819153,00:01:08,0.6852213066922918,1.7468512835736474,0.99573,0.99841,90.801851,97.8787
3,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,NAir,Nature,"",videos/dist/libsvtav1-defualt-ver23-crf/5c218fe26562,44802.7275390625,2987.1962890625,-crf 20,94.04050374031067,00:01:34,0.7378485726544581,1.2758970361466464,0.995743,0.99794,88.125371,94.796364
4,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,NArmy,Nature,"",videos/dist/libsvtav1-defualt-ver23-crf/8db4b127d796,250559.7451171875,16705.931640625,-crf 20,96.74152183532715,00:01:36,0.048271171896366094,1.2402740594079082,0.991989,0.998267,88.113588,96.429179
5,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,NNavy,Nature,"",videos/dist/libsvtav1-defualt-ver23-crf/ad2a4b595cf7,204867.40625,13659.419921875,-crf 20,116.79492497444153,00:01:56,0.22111940078622805,1.0273220349793177,0.994485,0.998344,89.85575,96.732162
6,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,ABBB,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/03b2fc5f2598,175872.1640625,11722.8564453125,-crf 21,78.63620495796204,00:01:18,0.34482157974585936,1.526268975774724,0.993188,0.997953,84.201608,98.086738
7,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,ASintel,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/e0291abb564c,55128.728515625,3675.6767578125,-crf 21,66.30814576148987,00:01:06,0.7472388264622477,1.8095212680443389,0.994594,0.99819,87.943662,96.824182
8,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,AToS,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/f2c2ccd91246,79053.8427734375,5270.87109375,-crf 21,68.57721519470215,00:01:08,0.704376574250273,1.7496481835743802,0.995352,0.998336,90.656458,97.80253
9,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,NAir,Nature,"",videos/dist/libsvtav1-defualt-ver23-crf/19ff3f226133,41959.8603515625,2797.650390625,-crf 21,92.45230984687805,00:01:32,0.7544828655177029,1.2978150594476652,0.995574,0.997838,87.683438,94.631741
10,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,NArmy,Nature,"",videos/dist/libsvtav1-defualt-ver23-crf/01d31b8baf87,238578.75390625,15907.10546875,-crf 21,95.49086356163025,00:01:35,0.0937798976470745,1.2565181162338162,0.991695,0.998158,87.69378,96.258428
11,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,NNavy,Nature,"",videos/dist/libsvtav1-defualt-ver23-crf/880bb218584d,195521.3671875,13036.2783203125,-crf 21,115.40526938438416,00:01:55,0.25665188805944616,1.0396925603141973,0.9943,0.998241,89.658608,96.583308
12,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,ABBB,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/eda351650506,167627.923828125,11173.33203125,-crf 22,79.24441719055176,00:01:19,0.37553393449367445,1.5145546431542167,0.992918,0.997884,83.972927,98.032213
13,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,ASintel,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/9adcaeeaee0a,52269.8310546875,3485.0615234375,-crf 22,66.13144969940186,00:01:06,0.7603466614642078,1.814356112642201,0.99439,0.99812,87.03723,96.723673
14,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,AToS,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/308cb090285e,74764.6962890625,4984.89453125,-crf 22,67.97994828224182,00:01:07,0.7204159232909926,1.7650204660621014,0.995114,0.99827,89.853052,97.730942
15,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,NAir,Nature,"",videos/dist/libsvtav1-defualt-ver23-crf/9352910c075d,39500.72265625,2633.6884765625,-crf 22,91.19207167625427,00:01:31,0.7688718657477297,1.315750347529866,0.995465,0.997748,87.484477,94.481615
16,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,NArmy,Nature,"",videos/dist/libsvtav1-defualt-ver23-crf/27bf22c6afd8,227085.1396484375,15140.775390625,-crf 22,97.27077007293701,00:01:37,0.13743736554219466,1.233525754037213,0.991453,0.998058,87.416564,96.107274
17,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,NNavy,Nature,"",videos/dist/libsvtav1-defualt-ver23-crf/5d9ff1275853,186390.4052734375,12427.4765625,-crf 22,115.24252700805664,00:01:55,0.29136667855347154,1.0411607859970977,0.994101,0.998139,89.266278,96.439338
18,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,ABBB,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/956443fd70e1,159970.76171875,10662.939453125,-crf 23,79.82132887840271,00:01:19,0.40405924093538825,1.5036081419144833,0.992816,0.997813,83.916499,97.966586
19,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,ASintel,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/7def7cda9c3b,49615.51171875,3308.0859375,-crf 23,66.49546813964844,00:01:06,0.7725165207800335,1.8044237202453415,0.994211,0.998051,87.199645,96.619541
20,libsvtav1,CRF,6,4,161,0,1,23,3573,0,3596,AToS,Anime,"",videos/dist/libsvtav1-defualt-ver23-crf/a17fba5c0f34,70651.3623046875,4710.6396484375,-crf 23,68.20240664482117,00:01:08,0.7357978179725537,1.7592634322253926,0.994832,0.998201,89.758333,97.653232
