index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,81805.20914713542,5454.015950520833,-crf 24,38.45769615968069,0.6687873860518171,3.1357673058640594,0.9908231666666666,0.9972246666666665,84.04076383333334,93.97936916666667
1,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,60699.70458984375,4046.9033203125,-crf 26,37.045728961626686,0.7546342991646015,3.2480813275578306,0.987566,0.9959386666666666,80.550861,91.85498783333334
2,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,200782.71744791666,13386.3125,-crf 17,46.184461990992226,0.1814607181016774,2.613763663998829,0.9975169999999999,0.9993013333333334,91.47439083333335,97.7141175
3,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,310204.1455078125,20681.52587890625,-crf 13,50.765193462371826,-0.2691927795017608,2.3767147630451304,0.9988965,0.9996900000000001,94.2122805,98.44798133333335
4,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,250311.7872721354,16688.45361328125,-crf 15,48.351041873296104,-0.022133865926447355,2.494562628237226,0.9983128333333333,0.9995333333333333,92.84139950000001,98.14773016666668
5,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,38188.485188802086,2546.0711263020835,-crf 29,35.52803774674734,0.845622857727434,3.3859547041864864,0.9796563333333334,0.9929128333333334,73.32561816666667,87.3362015
6,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,32737.19873046875,2182.6302083333335,-crf 30,34.87575129667918,0.8676372136270553,3.4478494864348748,0.9760816666666666,0.9915188333333332,70.4150235,85.42155383333335
7,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,140779.26806640625,9385.843587239584,-crf 20,42.76704454421997,0.4273698460915217,2.823136158401112,0.9955988333333333,0.9987275000000001,88.78091949999998,96.66751233333333
8,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,159198.8175455729,10613.885904947916,-crf 19,43.910331885019936,0.351883945106867,2.7491199526382357,0.9963543333333332,0.9989564999999999,89.85578716666667,97.08417983333334
9,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,21110.369140625,1407.45849609375,-crf 33,34.42680712540945,0.9145213889413214,3.494540859581056,0.9603780000000001,0.9856495000000001,58.74271266666667,78.24836083333334
10,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,108359.92008463542,7224.429524739583,-crf 22,40.635699351628624,0.5602167051978951,2.968572941402401,0.993583,0.9981151666666666,86.46163316666666,95.55018266666667
11,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,52062.1298828125,3471.0328776041665,-crf 27,36.59630994002024,0.7896020811151714,3.29007403497905,0.9853923333333334,0.9950953333333333,78.54305833333335,90.52946133333334
12,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,179134.5760091146,11943.015625,-crf 18,45.01840774218241,0.27021748240752913,2.6836433095639323,0.9969893333333334,0.9991453333333333,90.65311450000002,97.43002233333334
13,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,94385.90836588542,6292.776204427083,-crf 23,39.589673240979515,0.6174019190055228,3.0463207214048396,0.9922893333333334,0.9977119999999999,85.4693505,94.83085616666666
14,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,224404.0545247396,14961.164713541666,-crf 16,47.308526714642845,0.0844482029409302,2.55238145146841,0.9979445,0.9994286666666666,92.134725,97.95018333333333
15,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,28150.750651041668,1876.8478190104167,-crf 31,35.187353690465294,0.8861510899120152,3.421766095368628,0.9719986666666668,0.9898701666666668,66.92020133333334,83.28704283333333
16,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,24321.1396484375,1621.5240885416667,-crf 32,34.700242122014366,0.901596370357418,3.4674901057356653,0.9666134999999999,0.9879331666666666,62.88989899999999,80.87474800000001
17,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,123805.44482421875,8254.189778645834,-crf 21,41.557731906572975,0.49695567634506094,2.905382442362758,0.9946659999999999,0.99845,87.68265366666668,96.15786583333333
18,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,44596.39892578125,2973.2898763020835,-crf 28,36.150988141695656,0.8197526553024511,3.3270747147638886,0.9827465000000001,0.9940946666666667,76.045333,89.02633866666666
19,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,278795.6318359375,18587.494791666668,-crf 14,49.712895592053734,-0.13949387480777276,2.428559738845087,0.9986261666666666,0.9996193333333334,93.56314983333334,98.30994266666669
20,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,70588.62174479167,4706.201497395833,-crf 25,38.294442335764565,0.7144867581681829,3.146461630941092,0.9893125,0.9966401666666665,82.40306833333334,93.00153733333333
