index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,112452.17122395833,7497.685546875,-crf 23,40.22079873085022,0.5345103566943905,3.0088406475712133,0.99295,0.9977336666666666,86.326208,93.93647666666668
1,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,247932.9814453125,16530.793619791668,-crf 16,49.150723377863564,-0.04090451776313649,2.4553128179798245,0.9980283333333334,0.9994623333333333,92.761082,97.53607666666669
2,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,33306.331705729164,2220.6806640625,-crf 31,33.682244539260864,0.8631805635469073,3.57281980381887,0.973723,0.98881,68.30692166666667,81.05248366666667
3,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,28469.487955729168,1898.1868489583333,-crf 32,33.355674028396606,0.8829967329917894,3.6053145218418567,0.968827,0.9865293333333334,64.085574,78.448808
4,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,255143.71061197916,17009.467122395832,-crf 14,47.98953072230021,-0.004253601663843476,2.5135306131294137,0.9986433333333333,0.9995966666666667,93.09223000000001,98.679725
5,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,144727.42708333334,9649.620442708334,-crf 21,42.94818870226542,0.3979946922048945,2.821166077573112,0.9949936666666667,0.9985013333333335,88.69568966666668,95.44677466666667
6,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,56118.4921875,3741.1585286458335,-crf 25,38.64711284637451,0.7795365935054314,3.1067341219150886,0.9883766666666668,0.9967116666666667,81.62527466666667,94.15429699999999
7,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,53793.104817708336,3586.625,-crf 28,35.399866898854576,0.778924232931879,3.402253369316901,0.984025,0.9936889999999999,76.89966766666667,87.39960733333334
8,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,76319.6455078125,5087.866861979167,-crf 23,38.9585477511088,0.7002934813166551,3.0838007952384667,0.9916286666666666,0.9976903333333333,84.612493,95.72523566666666
9,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,200875.12760416666,13391.535807291666,-crf 16,45.46633005142212,0.2098009236449969,2.6494500849569946,0.9978606666666666,0.9993949999999999,91.508368,98.36429
10,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,22995.169596354168,1533.0149739583333,-crf 31,36.692462841669716,0.9091216162771233,3.2707123869183854,0.9702743333333333,0.9909303333333334,65.533481,85.52160199999999
11,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,20172.791341145832,1344.861328125,-crf 32,36.04481021563212,0.9201960077230465,3.329665689629474,0.9644,0.989337,61.694224,83.300688
12,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,302447.5530598958,20165.5224609375,-crf 14,51.43626046180725,-0.27473414795170203,2.3435888645607594,0.9986090000000001,0.999642,94.03406966666667,97.94016033333332
13,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,102883.46256510417,6858.759114583333,-crf 21,40.16727511088053,0.5959166604852273,2.989598807152403,0.9943383333333333,0.9983986666666667,86.66961766666668,96.86895699999998
14,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,85058.75130208333,5671.244466145833,-crf 25,37.941771825154625,0.6494369228309341,3.1861891399670967,0.9902483333333333,0.9965686666666667,83.180862,91.84877766666666
15,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,35399.693033854164,2359.9547526041665,-crf 28,36.90210938453674,0.8605810776730233,3.251896060210876,0.981468,0.9945003333333333,75.19099833333334,90.65307
16,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,136589.33821614584,9105.805013020834,-crf 19,42.28155787785848,0.4632343263222496,2.844868311182413,0.9960990000000001,0.9989066666666666,88.89082833333333,97.63670266666668
17,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,98127.39322916667,6542.5888671875,-crf 24,38.67713316281637,0.594756701673207,3.1301278586937546,0.9917063333333332,0.9972093333333333,84.808522,92.97222566666666
18,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,73304.14322916667,4887.512369791667,-crf 26,36.941357930501304,0.6983145688475769,3.2649666057588713,0.9885183333333334,0.9957843333333334,81.35343666666667,90.55779700000001
19,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,17823.475911458332,1188.2434895833333,-crf 33,35.75771768887838,0.9294269437433709,3.3559125794182934,0.9584373333333334,0.9874843333333333,57.520224000000006,80.87742866666667
20,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,224115.310546875,14942.763671875,-crf 17,47.83300280570984,0.0607452638350973,2.5215217749183374,0.9976940000000001,0.9993403333333332,92.223114,97.26661733333333
21,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,333806.3968098958,22256.355794270832,-crf 13,52.53993344306946,-0.4100468976312473,2.292432904949083,0.9988593333333333,0.9997083333333334,94.63638833333334,98.092487
22,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,273940.4658203125,18264.828125,-crf 15,50.10837976137797,-0.15226749549400997,2.404342160591887,0.998338,0.9995613333333333,93.36875866666666,97.75726466666667
23,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,88730.091796875,5915.214192708333,-crf 22,39.830380280812584,0.6515453348874436,3.0154799188968906,0.9930423333333334,0.9980723333333333,85.57472366666667,96.34692933333334
24,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,41224.48046875,2748.2584635416665,-crf 27,36.859319607416786,0.8378208117285618,3.256383603823671,0.984213,0.9953606666666667,77.79891300000001,91.98078500000001
25,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,45884.827473958336,3059.3450520833335,-crf 29,34.50662358601888,0.8114778732191291,3.488547110120651,0.9809486666666666,0.992336,74.49308566666667,85.50207433333333
26,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,39081.9443359375,2605.7666015625,-crf 30,33.98602763811747,0.8394631177197401,3.5397903761712057,0.9775193333333334,0.9907283333333332,71.50887833333333,83.390692
27,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,156087.61490885416,10405.690104166666,-crf 18,43.11634882291158,0.3863984942800273,2.791927433314003,0.996757,0.9991003333333334,89.797213,97.92406266666666
28,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,162699.84895833334,10847.921549479166,-crf 20,44.36231525739034,0.32167960364022263,2.727465755140146,0.9958459999999999,0.9987806666666666,89.80091033333333,96.035376
29,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,181808.296875,12121.966796875,-crf 19,45.5391058921814,0.24053356389148436,2.6533715940940588,0.9966096666666667,0.9990063333333333,90.820746,96.531657
30,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,65483.025065104164,4365.443033854167,-crf 24,38.238259156545006,0.7428180704304271,3.141406753034364,0.9899399999999999,0.99724,83.27300566666666,94.98651266666667
31,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,48095.265950520836,3206.2942708333335,-crf 26,37.150099992752075,0.8109540294816262,3.231196049356791,0.9866136666666666,0.996093,79.74828533333334,93.15217866666667
32,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,24397.262369791668,1626.6735026041667,-crf 33,33.09589656194051,0.8996158341392718,3.6331691397438184,0.9623186666666667,0.9838146666666666,59.96520133333334,75.619293
33,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,177450.12434895834,11829.861328125,-crf 17,44.53592117627462,0.30217617236825756,2.70600555307932,0.9973399999999999,0.9992623333333333,90.72566766666667,98.16161766666666
34,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,286601.8942057292,19106.695963541668,-crf 13,48.990453481674194,-0.12833866137227423,2.4609966211411787,0.9989336666666667,0.9996716666666666,93.78817266666665,98.80347566666666
35,libx264,CRF,medium,4,250,2,4,40,2577,1512,3597,Anime,226683.10872395834,15112.0791015625,-crf 15,46.59370398521423,0.10799976364111526,2.5847830958825653,0.9982876666666667,0.9995053333333334,92.31404033333332,98.53819566666668
36,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,127989.74837239583,8533.644856770834,-crf 22,41.441018422444664,0.4688880755083466,2.9216659639079112,0.9941236666666667,0.9981580000000001,87.34854266666667,94.75343600000001
37,libx264,CRF,medium,4,250,2,4,20,2732,1248,3596,Nature,62899.779296875,4193.807291666667,-crf 27,36.333300272623696,0.7413833505017812,3.32376446613443,0.9865716666666667,0.99483,79.28720366666666,89.07813766666668
