"index","codec","type","preset","threads","infile_options","outfile_filename","outfile_size_kbyte","outfile_bit_rate_kbs","outfile_options","elapsed_encode_second","elapsed_encode_time","compression_ratio_persent","compression_speed","ssim_min","ssim_harmonic_mean","vmaf_min","vmaf_harmonic_mean"
0,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/050fda287b4d",369034.8505859375,24598.2236328125,"-crf 13",52.7835967540741,"00:00:52",-0.4390335402647396,2.273812460321516,0.998816,0.999678,93.762318,99.06339
1,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/e4b1b3836261",333002.2099609375,22196.447265625,"-crf 14",51.74773979187012,"00:00:51",-0.2985260019621858,2.319328351010528,0.998514,0.999607,92.807299,98.979615
2,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/0b92960e4498",300231.6611328125,20012.1083984375,"-crf 15",51.036842823028564,"00:00:51",-0.17073883275125645,2.3516344930694895,0.998156,0.999522,91.741703,98.875838
3,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/de08295051bf",270284.5498046875,18015.966796875,"-crf 16",49.403141260147095,"00:00:49",-0.05396152143014454,2.429400174535433,0.997674,0.999418,90.54956,98.750868
4,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/25e536a53bde",242613.140625,16171.513671875,"-crf 17",48.152491331100464,"00:00:48",0.053941799496687426,2.4924982421933826,0.997153,0.999292,89.236783,98.594774
5,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/e871b885e047",216821.638671875,14452.3662109375,"-crf 18",47.104217290878296,"00:00:47",0.15451451317243126,2.5479671864379285,0.996449,0.999137,87.935589,98.405747
6,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/81d2087237c3",192834.6845703125,12853.5029296875,"-crf 19",45.89792060852051,"00:00:45",0.24805047983285122,2.6149332782130315,0.995759,0.998945,86.666065,98.180563
7,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/0f9c1877e40a",170339.439453125,11354.0693359375,"-crf 20",44.071876764297485,"00:00:44",0.3357695995005777,2.7232786260018744,0.994993,0.99871,85.279735,97.899306
8,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/bad810cf5a6e",149282.4921875,9950.5068359375,"-crf 21",42.48488426208496,"00:00:42",0.4178801463031592,2.8250047536815384,0.994393,0.998423,84.089832,97.527581
9,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/e0bd8cf0a557",129782.7470703125,8650.7412109375,"-crf 22",42.057873010635376,"00:00:42",0.49391845868935436,2.853686870224035,0.993088,0.998076,82.78614,97.052377
10,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/32d1485f4ec4",111973.044921875,7463.625,"-crf 23",40.81252837181091,"00:00:40",0.5633665303092417,2.940763652440054,0.991848,0.997665,81.620897,96.49426
11,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/0795f8e86c89",95892.57421875,6391.7724609375,"-crf 24",39.29878330230713,"00:00:39",0.6260715475950078,3.054038571035199,0.989905,0.997178,80.316152,95.837849
12,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/a9f83df40538",81490.5068359375,5431.794921875,"-crf 25",38.74164652824402,"00:00:38",0.6822317123602426,3.0979581601546338,0.987997,0.996599,78.727041,95.097579
13,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/4c803d1849bd",68694.984375,4578.90234375,"-crf 26",37.898186683654785,"00:00:37",0.7321272329520355,3.166906137273416,0.985598,0.99591,76.625324,94.240938
14,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/7b806b7f6e1a",57492.990234375,3832.2265625,"-crf 27",38.79901623725891,"00:00:38",0.7758088669782359,3.0933774007585306,0.9828,0.99509,74.700147,93.256428
15,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/32543dee6ce3",47837.7734375,3188.6533203125,"-crf 28",37.14776039123535,"00:00:37",0.8134589176094162,3.2308811819599637,0.979742,0.994122,72.045437,92.129041
16,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/5d7703cf9275",39774.25,2651.173828125,"-crf 29",37.2821786403656,"00:00:37",0.844902237016376,3.21923246915763,0.975968,0.992979,69.577267,90.843598
17,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/8381f07732fb",33148.9580078125,2209.5615234375,"-crf 30",36.869462966918945,"00:00:36",0.8707372425061489,3.255268461807749,0.971695,0.991658,66.774701,89.382785
18,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/fbc72087aaf7",27835.9794921875,1855.421875,"-crf 31",36.65029740333557,"00:00:36",0.891454945104023,3.274734681663917,0.966037,0.990134,63.114949,87.681083
19,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/b3320ba16c30",23585.9365234375,1572.1328125,"-crf 32",36.53001356124878,"00:00:36",0.908027781978066,3.285517532008743,0.960802,0.988394,59.97035,85.731199
20,"libx264","libx264","medium",4,"","videos/dist/libx264_default-crf-13-33/04f88656e461",20178.21875,1344.990234375,"-crf 33",35.716630697250366,"00:00:35",0.9213160125176661,3.360339361720357,0.955006,0.986408,55.846523,83.391783
