index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx265,CRF,medium,4,198,2,1,25,2061,1511,3597,ABBB,Anime,"",videos/dist/libx265-defualt-ver35-crf/01830ec11a4f,62748.7158203125,4182.5498046875,-crf 28,134.14013361930847,00:02:14,0.7662415498025119,0.8947359508424108,0.983115,0.994176,73.751109,93.76481
1,libx265,CRF,medium,4,250,2,1,17,1474,2105,3596,ASintel,Anime,"",videos/dist/libx265-defualt-ver35-crf/3ededb9084f9,17602.076171875,1173.6083984375,-crf 28,114.57405042648315,00:01:54,0.9192957728266302,1.0472353866636621,0.980028,0.994091,70.170186,89.825448
2,libx265,CRF,medium,4,250,2,1,19,1199,2378,3596,AToS,Anime,"",videos/dist/libx265-defualt-ver35-crf/ac473819f0dc,23714.8759765625,1581.17578125,-crf 28,120.62908005714417,00:02:00,0.9113177471016383,0.9946689466848332,0.98074,0.994534,77.377197,92.232906
3,libx265,CRF,medium,4,250,2,1,16,1496,2084,3596,NAir,Nature,"",videos/dist/libx265-defualt-ver35-crf/961cc1abeaf9,13404.685546875,893.7490234375,-crf 28,97.91833448410034,00:01:37,0.9215659929148821,1.2253680644403009,0.989455,0.993743,74.971447,87.878232
4,libx265,CRF,medium,4,250,2,1,18,1872,1706,3596,NArmy,Nature,"",videos/dist/libx265-defualt-ver35-crf/42ac66f5c2f6,72390.5986328125,4826.6025390625,-crf 28,154.94300508499146,00:02:34,0.7250307723201738,0.7743879753344376,0.976043,0.992144,69.493115,86.905451
5,libx265,CRF,medium,4,250,2,1,17,2011,1568,3596,NNavy,Nature,"",videos/dist/libx265-defualt-ver35-crf/e70cadca7696,66754.447265625,4450.8154296875,-crf 28,150.73920273780823,00:02:30,0.7462078285748095,0.7959840427755245,0.97423,0.992443,73.90558,88.21153
6,libx265,CRF,medium,4,198,2,1,25,2061,1511,3597,ABBB,Anime,"",videos/dist/libx265-defualt-ver35-crf/df034bada4e4,401105.8134765625,26735.9306640625,-crf 13,263.0537233352661,00:04:23,-0.4942437004126248,0.4562566097839741,0.997664,0.999369,91.192214,98.905718
7,libx265,CRF,medium,4,250,2,1,17,1474,2105,3596,ASintel,Anime,"",videos/dist/libx265-defualt-ver35-crf/b234fa447316,172836.0576171875,11523.748046875,-crf 13,211.85259008407593,00:03:31,0.20755936279979692,0.5663655089247779,0.997985,0.999303,93.086787,98.234192
8,libx265,CRF,medium,4,250,2,1,19,1199,2378,3596,AToS,Anime,"",videos/dist/libx265-defualt-ver35-crf/0671c6b38c24,244296.837890625,16288.35546875,-crf 13,242.7754807472229,00:04:02,0.08644708994059769,0.49422618639535953,0.998508,0.999358,94.26657,98.732937
9,libx265,CRF,medium,4,250,2,1,16,1496,2084,3596,NAir,Nature,"",videos/dist/libx265-defualt-ver35-crf/d86b46f1a8ec,171110.7392578125,11408.712890625,-crf 13,206.97463202476501,00:03:26,-0.0012096806266237436,0.579713556324349,0.998218,0.999259,92.866058,96.880145
10,libx265,CRF,medium,4,250,2,1,18,1872,1706,3596,NArmy,Nature,"",videos/dist/libx265-defualt-ver35-crf/c88b2ad86e5a,433117.470703125,28877.8662109375,-crf 13,302.1861834526062,00:05:02,-0.6451580545418547,0.39705984777036696,0.997773,0.999559,93.45393,98.21289
11,libx265,CRF,medium,4,250,2,1,17,2011,1568,3596,NNavy,Nature,"",videos/dist/libx265-defualt-ver35-crf/a0fb3d658536,386074.0146484375,25741.2705078125,-crf 13,287.3973340988159,00:04:47,-0.46780576458946377,0.41749169447321727,0.998223,0.999498,93.298823,98.173568
12,libx265,CRF,medium,4,198,2,1,25,2061,1511,3597,ABBB,Anime,"",videos/dist/libx265-defualt-ver35-crf/aa2cee7d2aa2,363372.876953125,24220.8212890625,-crf 14,253.84356117248535,00:04:13,-0.3536767956113047,0.4728108896898395,0.997204,0.999252,90.392836,98.802529
13,libx265,CRF,medium,4,250,2,1,17,1474,2105,3596,ASintel,Anime,"",videos/dist/libx265-defualt-ver35-crf/1411375e2853,150516.2490234375,10035.5869140625,-crf 14,201.01439237594604,00:03:21,0.30989404682384947,0.5969025331061711,0.997554,0.99918,92.281883,98.054882
14,libx265,CRF,medium,4,250,2,1,19,1199,2378,3596,AToS,Anime,"",videos/dist/libx265-defualt-ver35-crf/62af49b94ee4,210634.1240234375,14043.9130859375,-crf 14,228.65442967414856,00:03:48,0.21232948154009323,0.5247481982789048,0.998111,0.999235,93.892377,98.589415
15,libx265,CRF,medium,4,250,2,1,16,1496,2084,3596,NAir,Nature,"",videos/dist/libx265-defualt-ver35-crf/fff41ced1c2d,148820.93359375,9922.552734375,-crf 14,193.7519907951355,00:03:13,0.12921328000661192,0.6192762175376444,0.997917,0.999102,92.353708,96.629297
16,libx265,CRF,medium,4,250,2,1,18,1872,1706,3596,NArmy,Nature,"",videos/dist/libx265-defualt-ver35-crf/bb4975533304,395282.3427734375,26355.23046875,-crf 14,289.86946415901184,00:04:49,-0.501444698077387,0.41393114776028994,0.997249,0.999452,92.689953,98.020069
17,libx265,CRF,medium,4,250,2,1,17,2011,1568,3596,NNavy,Nature,"",videos/dist/libx265-defualt-ver35-crf/5c30c30e46e3,349364.7744140625,23293.7021484375,-crf 14,275.36613154411316,00:04:35,-0.32824176290760865,0.43573259836705247,0.997886,0.999385,92.619838,97.990457
18,libx265,CRF,medium,4,198,2,1,25,2061,1511,3597,ABBB,Anime,"",videos/dist/libx265-defualt-ver35-crf/748b93bad3b8,328557.6669921875,21900.1943359375,-crf 15,240.91212368011475,00:04:00,-0.2239793282229059,0.498189954771075,0.99671,0.999116,89.376616,98.685005
19,libx265,CRF,medium,4,250,2,1,17,1474,2105,3596,ASintel,Anime,"",videos/dist/libx265-defualt-ver35-crf/e3a42a5e976d,130606.4130859375,8708.109375,-crf 15,190.19278240203857,00:03:10,0.40117918312225476,0.6308651594694475,0.997092,0.999041,91.469738,97.853597
20,libx265,CRF,medium,4,250,2,1,19,1199,2378,3596,AToS,Anime,"",videos/dist/libx265-defualt-ver35-crf/48727920c3cf,180418.701171875,12029.31640625,-crf 15,215.20288681983948,00:03:35,0.32532065945733957,0.5575482827999803,0.997637,0.999095,93.729653,98.423969
21,libx265,CRF,medium,4,250,2,1,16,1496,2084,3596,NAir,Nature,"",videos/dist/libx265-defualt-ver35-crf/8d714361d24c,128696.5361328125,8580.76953125,-crf 15,182.49863839149475,00:03:02,0.24696592161206,0.6574624394873945,0.997553,0.998917,91.73581,96.333307
