index,codec,type,preset,threads,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx265,CRF,medium,4,131352.0224609375,8757.229329427084,-crf 20,179.45028575261435,0.4765537812578831,0.693917914429745,0.993681,0.9980018333333334,87.22500733333334,96.20165933333334
1,libx265,CRF,medium,4,301423.4889322917,20095.980631510418,-crf 13,252.37332395712534,-0.21906845790502874,0.48518556727867407,0.9980618333333333,0.999391,93.02739700000001,98.18990833333334
2,libx265,CRF,medium,4,240718.3429361979,16048.727213541666,-crf 15,228.7796140909195,0.030091577284591126,0.5378738169729533,0.9971833333333334,0.9991233333333334,91.73288733333334,97.807485
3,libx265,CRF,medium,4,36416.123372395836,2427.8590494791665,-crf 29,121.97037732601166,0.8566266805644279,1.0059065588635996,0.9773584999999999,0.9925063333333335,71.075469,88.42999883333333
4,libx265,CRF,medium,4,30791.203776041668,2052.8504231770835,-crf 30,117.67156970500946,0.878714527037809,1.0402078525241838,0.9735578333333335,0.9913295,68.53858566666666,86.89058533333333
5,libx265,CRF,medium,4,190437.1669921875,12696.45458984375,-crf 17,206.71717528502145,0.23583788019036964,0.5982152164099851,0.995934,0.9987646666666666,90.23702516666667,97.2971485
6,libx265,CRF,medium,4,76910.09358723958,5127.58154296875,-crf 24,149.13019216060638,0.6959990922605112,0.8363667933650357,0.9888118333333332,0.9963706666666666,81.79040400000001,93.83339016666667
7,libx265,CRF,medium,4,57861.94921875,3857.6429036458335,-crf 26,137.12148531277975,0.7718787628947158,0.9051476077402386,0.9853491666666668,0.9951523333333334,77.76377600000001,92.08349750000001
8,libx265,CRF,medium,4,168708.5322265625,11247.798014322916,-crf 18,196.9410924911499,0.32452876412190784,0.6293738938455778,0.9952603333333334,0.9985445,89.18732666666666,96.98324883333332
9,libx265,CRF,medium,4,101029.89078776042,6735.649251302083,-crf 22,163.31553943951926,0.5992133225713786,0.7639984878634593,0.9915318333333333,0.9972931666666667,84.67411066666666,95.17630383333334
10,libx265,CRF,medium,4,49873.1162109375,3325.02978515625,-crf 27,131.54907313982645,0.8035469619166292,0.9394763358991507,0.983257,0.9943993333333334,75.66173683333334,91.00876983333335
11,libx265,CRF,medium,4,149103.0908203125,9940.697265625,-crf 19,188.5331527789434,0.4044034435671147,0.659040376240882,0.9945606666666668,0.9982918333333334,88.27317733333335,96.62161816666666
12,libx265,CRF,medium,4,18173.2900390625,1211.6251627604167,-crf 33,107.72174795468648,0.9281276312651058,1.126632328624668,0.9590785,0.9864678333333332,58.40867466666666,81.01070033333333
13,libx265,CRF,medium,4,42769.233235677086,2851.4168294270835,-crf 28,128.82396773497263,0.831609943923441,0.9553967277901947,0.9806018333333334,0.9935218333333333,73.27810566666666,89.80306283333334
14,libx265,CRF,medium,4,115344.70930989583,7690.019368489583,-crf 21,171.18790849049887,0.5414177302864763,0.7278831647405526,0.9927766666666668,0.9976713333333334,85.95590700000001,95.72301750000001
15,libx265,CRF,medium,4,214393.31787109375,14293.622395833334,-crf 16,217.86965882778168,0.1379161759831475,0.5655738076737734,0.9966101666666667,0.9989574999999999,91.02209283333333,97.57106299999998
16,libx265,CRF,medium,4,25899.819010416668,1726.7462565104167,-crf 31,114.09720349311829,0.8978824135450069,1.0690571547581407,0.9693964999999999,0.9899496666666666,65.27795966666666,85.14927916666666
17,libx265,CRF,medium,4,21700.934895833332,1446.8103841145833,-crf 32,110.61021598180135,0.9143239250096414,1.0991783596027294,0.9647343333333334,0.9883351666666668,61.834624,83.19785700000001
18,libx265,CRF,medium,4,88267.9697265625,5884.811197916667,-crf 23,156.11113651593527,0.6505180396135114,0.7995795900448565,0.9901466666666668,0.9968615,83.20581,94.55522733333333
19,libx265,CRF,medium,4,66823.60628255208,4455.11572265625,-crf 25,142.90691113471985,0.7362394229848302,0.8698370264348405,0.987161,0.9958033333333334,79.7825165,93.01386683333334
20,libx265,CRF,medium,4,269665.216796875,17978.634440104168,-crf 14,240.41666162014008,-0.0886544080376243,0.5105669307899837,0.9976535000000001,0.9992676666666668,92.37176583333333,98.01444149999999
