index,codec,type,preset,threads,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx265,CRF,medium,4,Anime,187595.3583984375,12505.950846354166,-crf 16,205.34538022677103,0.26808534017324764,0.5901100539244895,0.9965626666666667,0.998929,90.79585733333333,98.13795699999999
1,libx265,CRF,medium,4,Nature,172434.56705729166,11496.978841145834,-crf 19,201.65179673830667,0.2982284112709459,0.6267600979810657,0.9944646666666667,0.9982530000000001,88.67555866666667,95.82081466666666
2,libx265,CRF,medium,4,Anime,20796.840169270832,1386.3987630208333,-crf 31,110.12590440114339,0.9191419231142319,1.0922199571988307,0.9714353333333333,0.9912723333333334,66.43625966666667,87.90662833333333
3,libx265,CRF,medium,4,Anime,17320.511393229168,1154.6611328125,-crf 32,107.55647897720337,0.9325151063822895,1.1179604225976576,0.9677556666666666,0.9899203333333334,63.091574,86.17623633333335
4,libx265,CRF,medium,4,Nature,21920.421223958332,1461.5315755208333,-crf 33,110.56908512115479,0.9125949702678823,1.1068104934507488,0.954754,0.9845753333333334,57.30535,77.80062500000001
5,libx265,CRF,medium,4,Anime,71864.24088541667,4790.695638020833,-crf 23,145.3858906428019,0.7212812665378077,0.8314635693754803,0.9903093333333334,0.997097,83.048287,95.84992433333332
6,libx265,CRF,medium,4,Anime,34688.555989583336,2312.4446614583335,-crf 28,123.11442136764526,0.8656183565769268,0.978880094730302,0.9812943333333334,0.9942670000000001,73.76616399999999,91.94105466666667
7,libx265,CRF,medium,4,Anime,95244.99837239583,6349.357421875,-crf 21,159.2226668993632,0.6300428873928426,0.7602549512011009,0.9927203333333333,0.9977896666666667,85.73219766666666,96.74452000000001
8,libx265,CRF,medium,4,Nature,119319.63509114583,7955.569986979167,-crf 22,174.07040254275003,0.5195518188984712,0.7347116517921445,0.9916186666666666,0.9971220000000001,84.84947700000001,94.024346
9,libx265,CRF,medium,4,Nature,59297.207682291664,3953.6080729166665,-crf 27,139.07698210080466,0.7637470360481403,0.9071760708111637,0.982901,0.9937866666666667,75.53690399999999,89.05557700000001
10,libx265,CRF,medium,4,Nature,193402.64583333334,12895.013671875,-crf 18,209.8532734711965,0.20999178989594403,0.6001412670223547,0.9952583333333335,0.9985353333333333,89.62609133333335,96.272307
11,libx265,CRF,medium,4,Nature,91417.4248046875,6095.205403645833,-crf 24,159.08869528770447,0.6338828139208998,0.805049162002852,0.9885173333333334,0.9960610000000001,81.81082966666666,92.38127966666667
12,libx265,CRF,medium,4,Nature,68830.609375,4589.2421875,-crf 26,145.68143065770468,0.7253783373110932,0.8722587273225941,0.984959,0.9946536666666667,77.72737199999999,90.31232533333333
13,libx265,CRF,medium,4,Nature,216316.14225260416,14422.758463541666,-crf 17,219.7991525332133,0.11316864764790831,0.5705855825735521,0.995964,0.9987776666666667,90.542211,96.66389066666666
14,libx265,CRF,medium,4,Nature,330100.7415364583,22009.283203125,-crf 13,265.5193831920624,-0.37139116658598076,0.46475503285597775,0.9980713333333333,0.9994386666666667,93.20627033333334,97.75553433333333
15,libx265,CRF,medium,4,Nature,268242.4254557292,17884.914388020832,-crf 15,242.12329721450806,-0.10732368354971389,0.5135465015990723,0.9972203333333334,0.9991626666666668,91.94043900000001,97.294113
16,libx265,CRF,medium,4,Anime,54143.158528645836,3609.3434244791665,-crf 25,133.9172359307607,0.7902305803077034,0.9012954067783331,0.9875780000000001,0.9962013333333334,79.77592366666667,94.62079066666666
17,libx265,CRF,medium,4,Nature,43336.421549479164,2889.4313151041665,-crf 29,127.2043764591217,0.8275998772964076,0.980137334634322,0.9763506666666667,0.9916016666666666,70.31678133333334,86.09476233333334
18,libx265,CRF,medium,4,Nature,36724.879557291664,2448.6106770833335,-crf 30,122.38118863105774,0.8539122223809631,1.014814261888211,0.9721036666666666,0.9902316666666667,67.58603666666666,84.34896266666667
19,libx265,CRF,medium,4,Anime,241507.75,16100.107096354166,-crf 14,227.83746107419333,0.05618224425087933,0.5314872070249718,0.9976229999999999,0.9992223333333333,92.189032,98.48227533333333
20,libx265,CRF,medium,4,Nature,153146.4970703125,10210.957356770834,-crf 20,192.03821905454,0.379035164866534,0.6616882962860575,0.9936343333333334,0.9979266666666667,87.677722,95.295248
21,libx265,CRF,medium,4,Anime,164558.19173177084,10970.150716145834,-crf 17,193.63519803682962,0.358507112732831,0.6258448502464181,0.995904,0.9987516666666666,89.93183933333334,97.93040633333334
22,libx265,CRF,medium,4,Anime,62402.762369791664,4159.957682291667,-crf 24,139.1716890335083,0.7581153706001222,0.8676844247272193,0.9891063333333333,0.9966803333333333,81.76997833333333,95.28550066666668
23,libx265,CRF,medium,4,Anime,46893.2890625,3126.0436197916665,-crf 26,128.56153996785483,0.8183791884783381,0.938036488157883,0.9857393333333334,0.9956510000000001,77.80018,93.85466966666667
24,libx265,CRF,medium,4,Nature,297822.68359375,19857.161783854168,-crf 14,252.99586216608682,-0.2334910603261279,0.48964665455499556,0.9976840000000001,0.9993129999999999,92.55449966666667,97.54660766666666
25,libx265,CRF,medium,4,Anime,109557.5478515625,7303.501302083333,-crf 20,166.8623524506887,0.5740723976492322,0.7261475325734325,0.9937276666666667,0.998077,86.77229266666666,97.10807066666666
26,libx265,CRF,medium,4,Anime,272746.236328125,18182.678059895832,-crf 13,239.22726472218832,-0.06674574922407672,0.5056161017013704,0.9980523333333333,0.9993433333333334,92.84852366666667,98.62428233333333
27,libx265,CRF,medium,4,Anime,213194.26041666666,14212.5400390625,-crf 15,215.43593096733093,0.16750683811889613,0.5622011323468342,0.9971463333333334,0.999084,91.52533566666666,98.320857
28,libx265,CRF,medium,4,Nature,79504.05403645833,5300.888020833333,-crf 25,151.896586338679,0.6822482656619572,0.838378646091348,0.986744,0.9954053333333333,79.78910933333333,91.406943
29,libx265,CRF,medium,4,Anime,29495.8251953125,1966.2867838541667,-crf 29,116.73637819290161,0.8856534838324484,1.0316757830928773,0.9783663333333332,0.993411,71.83415666666667,90.76523533333334
30,libx265,CRF,medium,4,Anime,24857.527994791668,1657.0901692708333,-crf 30,112.96195077896118,0.903516831694655,1.0656014431601568,0.975012,0.9924273333333332,69.49113466666667,89.432208
31,libx265,CRF,medium,4,Nature,104671.69856770833,6978.9267578125,-crf 23,166.8363823890686,0.579754812689215,0.7676956107142323,0.9899840000000001,0.996626,83.363333,93.26053033333334
32,libx265,CRF,medium,4,Nature,241191.27734375,16081.2939453125,-crf 16,230.39393742879233,0.007747011793047376,0.5410375614230574,0.9966576666666667,0.998986,91.24832833333333,97.004169
33,libx265,CRF,medium,4,Anime,125771.61458333333,8384.415690104166,-crf 19,175.41450881958008,0.5105784758632836,0.6913206545006982,0.9946566666666667,0.9983306666666666,87.870796,97.42242166666665
34,libx265,CRF,medium,4,Nature,31002.7978515625,2067.09375,-crf 31,118.06850258509319,0.876622903975782,1.0458943523174506,0.9673576666666667,0.988627,64.11965966666666,82.39193
35,libx265,CRF,medium,4,Nature,26081.3583984375,1738.9596354166667,-crf 32,113.66395298639934,0.8961327436369935,1.0803962966078013,0.961713,0.9867500000000001,60.577674,80.21947766666666
36,libx265,CRF,medium,4,Anime,14426.158854166666,961.71875,-crf 33,104.87441078821819,0.9436602922623293,1.146454163798587,0.963403,0.9883603333333334,59.511999333333335,84.22077566666667
37,libx265,CRF,medium,4,Anime,144014.41861979166,9600.582356770834,-crf 18,184.0289115111033,0.4390657383478717,0.6586065206688009,0.9952623333333334,0.9985536666666667,88.74856199999999,97.69419066666666
38,libx265,CRF,medium,4,Nature,50849.910481770836,3390.3889973958335,-crf 28,134.53351410230002,0.797601531269955,0.9319133608500877,0.9799093333333334,0.9927766666666665,72.79004733333333,87.665071
39,libx265,CRF,medium,4,Nature,135444.42024739584,9030.681315104166,-crf 21,183.15315008163452,0.4527925731801099,0.6955113782800043,0.9928330000000001,0.9975529999999999,86.17961633333334,94.70151499999999
40,libx265,CRF,medium,4,Anime,82740.146484375,5515.728515625,-crf 22,152.56067633628845,0.678874826244286,0.7932853239347741,0.991445,0.9974643333333333,84.49874433333333,96.32826166666666
41,libx265,CRF,medium,4,Anime,40449.024739583336,2696.4514973958335,-crf 27,124.02116417884827,0.8433468877851181,0.9717766009871379,0.9836130000000001,0.995012,75.78656966666667,92.96196266666668
