index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx265,CRF,medium,4,198,2,1,25,2061,1511,3597,ABBB,Anime,"",videos/dist/libx265-defualt-ver40-crf/df034bada4e4,401105.837890625,26735.9326171875,-crf 13,264.54557514190674,00:04:24,-0.4942437913625881,0.4536836419797202,0.997664,0.999369,91.192214,98.905718
1,libx265,CRF,medium,4,250,2,1,17,1474,2105,3596,ASintel,Anime,"",videos/dist/libx265-defualt-ver40-crf/b234fa447316,172836.08203125,11523.7490234375,-crf 13,215.63207149505615,00:03:35,0.20755925086311244,0.5564385630026791,0.997985,0.999303,93.086787,98.234192
2,libx265,CRF,medium,4,250,2,1,19,1199,2378,3596,AToS,Anime,"",videos/dist/libx265-defualt-ver40-crf/0671c6b38c24,244296.8623046875,16288.357421875,-crf 13,242.76882457733154,00:04:02,0.08644699864372285,0.4942397369551035,0.998508,0.999358,94.26657,98.732937
3,libx265,CRF,medium,4,250,2,1,16,1496,2084,3596,NAir,Nature,"",videos/dist/libx265-defualt-ver40-crf/d86b46f1a8ec,171110.763671875,11408.71484375,-crf 13,206.62214064598083,00:03:26,-0.0012098234791169116,0.5807025308366146,0.998218,0.999259,92.866058,96.880145
4,libx265,CRF,medium,4,250,2,1,18,1872,1706,3596,NArmy,Nature,"",videos/dist/libx265-defualt-ver40-crf/c88b2ad86e5a,433117.4951171875,28877.8681640625,-crf 13,303.3067924976349,00:05:03,-0.645158147276492,0.3955928550493495,0.997773,0.999559,93.45393,98.21289
5,libx265,CRF,medium,4,250,2,1,17,2011,1568,3596,NNavy,Nature,"",videos/dist/libx265-defualt-ver40-crf/a0fb3d658536,386074.0390625,25741.271484375,-crf 13,287.3347828388214,00:04:47,-0.46780585740871694,0.41758258020333505,0.998223,0.999498,93.298823,98.173568
6,libx265,CRF,medium,4,198,2,1,25,2061,1511,3597,ABBB,Anime,"",videos/dist/libx265-defualt-ver40-crf/aa2cee7d2aa2,363372.9013671875,24220.8232421875,-crf 14,253.052339553833,00:04:13,-0.3536768865612683,0.4742892328583573,0.997204,0.999252,90.392836,98.802529
7,libx265,CRF,medium,4,250,2,1,17,1474,2105,3596,ASintel,Anime,"",videos/dist/libx265-defualt-ver40-crf/1411375e2853,150516.2734375,10035.5888671875,-crf 14,201.835951089859,00:03:21,0.309893934887165,0.5944728843008809,0.997554,0.99918,92.281883,98.054882
8,libx265,CRF,medium,4,250,2,1,19,1199,2378,3596,AToS,Anime,"",videos/dist/libx265-defualt-ver40-crf/62af49b94ee4,210634.1484375,14043.9140625,-crf 14,229.01841044425964,00:03:49,0.2123293902432184,0.5239142118192422,0.998111,0.999235,93.892377,98.589415
9,libx265,CRF,medium,4,250,2,1,16,1496,2084,3596,NAir,Nature,"",videos/dist/libx265-defualt-ver40-crf/fff41ced1c2d,148820.9580078125,9922.5546875,-crf 14,195.673926115036,00:03:15,0.12921313715411864,0.6131936041875128,0.997917,0.999102,92.353708,96.629297
