index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,131352.046875,8757.230794270834,-crf 20,183.37710920969644,0.4765536774928987,0.6777814005303925,0.993681,0.9980018333333334,87.22500733333334,96.20165933333334
1,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,301423.5133463542,20095.982259114582,-crf 13,253.3683645327886,-0.21906856167001312,0.4830399846711337,0.9980618333333333,0.999391,93.02739700000001,98.18990833333334
2,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,240718.3673502604,16048.72900390625,-crf 15,231.51746487617493,0.030091473519606726,0.5312424804116884,0.9971833333333334,0.9991233333333334,91.73288733333334,97.807485
3,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,36416.147786458336,2427.86083984375,-crf 29,126.26881531874339,0.8566265767994435,0.9679062639175946,0.9773584999999999,0.9925063333333335,71.075469,88.42999883333333
4,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,30791.228190104168,2052.8518880208335,-crf 30,122.25479276974995,0.8787144232728245,0.9978306820416781,0.9735578333333335,0.9913295,68.53858566666666,86.89058533333333
5,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,190437.19140625,12696.455891927084,-crf 17,210.69906616210938,0.23583777642538525,0.5869061614284214,0.995934,0.9987646666666666,90.23702516666667,97.2971485
6,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,76910.11800130208,5127.583170572917,-crf 24,152.7214515209198,0.6959989884955267,0.8136133056073959,0.9888118333333332,0.9963706666666666,81.79040400000001,93.83339016666667
7,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,57861.9736328125,3857.6446940104165,-crf 26,141.02437102794647,0.7718786591297313,0.8766767684211824,0.9853491666666668,0.9951523333333334,77.76377600000001,92.08349750000001
8,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,168708.556640625,11247.799641927084,-crf 18,200.80290067195892,0.32452866035692346,0.6160892319749182,0.9952603333333334,0.9985445,89.18732666666666,96.98324883333332
9,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,101029.91520182292,6735.65087890625,-crf 22,166.5829713344574,0.5992132188063942,0.7477859409840485,0.9915318333333333,0.9972931666666667,84.67411066666666,95.17630383333334
10,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,49873.140625,3325.0309244791665,-crf 27,135.87438921133676,0.8035468581516447,0.9072963406378344,0.983257,0.9943993333333334,75.66173683333334,91.00876983333335
11,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,149103.115234375,9940.698567708334,-crf 19,191.47214142481485,0.40440333980213033,0.6482086851475861,0.9945606666666668,0.9982918333333334,88.27317733333335,96.62161816666666
12,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,18173.314453125,1211.62646484375,-crf 33,113.16382984320323,0.9281275275001214,1.070109764915875,0.9590785,0.9864678333333332,58.40867466666666,81.01070033333333
13,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,115344.73372395833,7690.02099609375,-crf 21,175.08099369208017,0.5414176265214917,0.7120943978805642,0.9927766666666668,0.9976713333333334,85.95590700000001,95.72301750000001
14,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,42769.257649739586,2851.41845703125,-crf 28,130.75965388615927,0.8316098401584564,0.9388428262092875,0.9806018333333334,0.9935218333333333,73.27810566666666,89.80306283333334
15,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,214393.34228515625,14293.624348958334,-crf 16,220.18772868315378,0.13791607221816307,0.5600941002452509,0.9966101666666667,0.9989574999999999,91.02209283333333,97.57106299999998
16,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,25899.843424479168,1726.7478841145833,-crf 31,118.9668284257253,0.8978823097800226,1.0226193956836414,0.9693964999999999,0.9899496666666666,65.27795966666666,85.14927916666666
17,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,21700.959309895832,1446.81201171875,-crf 32,115.75554545720418,0.9143238212446572,1.048886831443516,0.9647343333333334,0.9883351666666668,61.834624,83.19785700000001
18,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,88267.994140625,5884.813151041667,-crf 23,159.4179731607437,0.6505179358485269,0.7815561311232909,0.9901466666666668,0.9968615,83.20581,94.55522733333333
19,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,66823.63069661458,4455.117513020833,-crf 25,146.834756453832,0.7362393192198459,0.8443243646346791,0.987161,0.9958033333333334,79.7825165,93.01386683333334
20,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,269665.2412109375,17978.63623046875,-crf 14,241.49569141864777,-0.08865451180260873,0.5082422544636763,0.9976535000000001,0.9992676666666668,92.37176583333333,98.01444149999999
