index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,Anime,187595.3828125,12505.952799479166,-crf 16,206.27323007583618,0.26808524211207335,0.587368789439512,0.9965626666666667,0.998929,90.79585733333333,98.13795699999999
1,libx265,CRF,medium,4,250,2,1,18,2011,2084,3596,Nature,172434.59147135416,11496.980143229166,-crf 19,204.34315021832785,0.2982283018021514,0.6180811280647546,0.9944646666666667,0.9982530000000001,88.67555866666667,95.82081466666666
2,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,Anime,20796.864583333332,1386.400390625,-crf 31,115.18547336260478,0.9191418250530576,1.0448767349949306,0.9714353333333333,0.9912723333333334,66.43625966666667,87.90662833333333
3,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,Anime,17320.535807291668,1154.6627604166667,-crf 32,112.23707016309102,0.9325150083211152,1.0717987203543933,0.9677556666666666,0.9899203333333334,63.091574,86.17623633333335
4,libx265,CRF,medium,4,250,2,1,18,2011,2084,3596,Nature,21920.445638020832,1461.5328776041667,-crf 33,115.94082204500835,0.9125948607990878,1.0501571576797744,0.954754,0.9845753333333334,57.30535,77.80062500000001
5,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,Anime,71864.26529947917,4790.697591145833,-crf 23,149.04233320554098,0.7212811684766334,0.8107849790536806,0.9903093333333334,0.997097,83.048287,95.84992433333332
6,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,Anime,95245.02278645833,6349.359375,-crf 21,162.32920853296915,0.6300427893316684,0.7456585751497172,0.9927203333333333,0.9977896666666667,85.73219766666666,96.74452000000001
7,libx265,CRF,medium,4,250,2,1,18,2011,2084,3596,Nature,119319.65950520833,7955.571614583333,-crf 22,178.11386966705322,0.5195517094296767,0.7157132548526146,0.9916186666666666,0.9971220000000001,84.84947700000001,94.024346
8,libx265,CRF,medium,4,250,2,1,18,2011,2084,3596,Nature,59297.232096354164,3953.609375,-crf 27,143.5076912244161,0.7637469265793456,0.8739664810018749,0.982901,0.9937866666666667,75.53690399999999,89.05557700000001
9,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,Anime,34688.580403645836,2312.4462890625,-crf 28,124.70832339922588,0.8656182585157525,0.9661610010176872,0.9812943333333334,0.9942670000000001,73.76616399999999,91.94105466666667
