time,size,pict_type
0,107613,I
0.020854,859,B
0.041708,1038,B
0.062562,345,B
0.083417,11133,P
0.104271,791,B
0.125125,787,B
0.145979,443,B
0.166833,26087,P
0.187688,473,B
0.208542,375,B
0.229396,186,B
0.25025,2986,P
0.271104,539,B
0.291958,385,B
0.312812,168,B
0.333667,2516,P
0.354521,507,B
0.375375,716,B
0.396229,167,B
0.417083,2894,P
0.437937,728,B
0.458792,611,B
0.479646,206,B
0.5005,2860,P
0.521354,764,B
0.542208,4473,P
0.563063,733,B
0.583917,3903,P
0.604771,909,B
0.625625,4669,P
0.646479,1191,B
0.667333,5685,P
0.688187,1028,B
0.709042,4750,P
0.729896,1193,B
0.75075,7405,P
0.771604,1137,B
0.792458,7432,P
0.813312,1169,B
0.834167,6453,P
0.855021,1028,B
0.875875,7911,P
0.896729,1189,B
0.917583,8159,P
0.938437,1170,B
0.959292,8147,P
0.980146,1193,B
1.001,8045,P
1.021854,1012,B
1.042708,6298,P
1.063562,1114,B
1.084417,7837,P
1.105271,1225,B
1.126125,9332,P
1.146979,1124,B
1.167833,8618,P
1.188687,1107,B
1.209542,6722,P
1.230396,1178,B
1.25125,10792,P
1.272104,956,B
1.292958,10434,P
1.313813,1012,B
1.334667,7553,P
1.355521,1058,B
1.376375,9337,P
1.397229,977,B
1.418083,8846,P
1.438937,897,B
1.459792,8040,P
1.480646,1080,B
1.5015,9626,P
1.522354,820,B
1.543208,7050,P
1.564062,935,B
1.584917,8658,P
1.605771,1046,B
1.626625,10510,P
1.647479,915,B
1.668333,8882,P
1.689187,796,B
1.710042,5689,P
1.730896,1058,B
1.75175,12998,P
1.772604,848,B
1.793458,9986,P
1.814312,830,B
1.835167,7702,P
1.856021,1000,B
1.876875,10931,P
1.897729,817,B
1.918583,9766,P
1.939437,621,B
1.960292,5626,P
1.981146,1659,B
2.002,412,B
2.022854,14686,P
2.043708,882,B
2.064563,9945,P
2.085417,1014,B
2.106271,12382,P
2.127125,1248,B
2.147979,1058,B
2.168833,260,B
2.189687,8150,P
2.210542,991,B
2.231396,11257,P
2.25225,700,B
2.273104,8604,P
2.293958,741,B
2.314812,7131,P
2.335667,805,B
2.356521,9798,P
2.377375,1171,B
2.398229,983,B
2.419083,243,B
2.439938,7250,P
2.460792,965,B
2.481646,11306,P
2.5025,722,B
2.523354,10497,P
2.544208,709,B
2.565062,7956,P
2.585917,1336,B
2.606771,1398,B
2.627625,256,B
2.648479,13065,P
2.669333,772,B
2.690187,684,B
2.711042,224,B
2.731896,10996,P
2.75275,1041,B
2.773604,616,B
2.794458,188,B
2.815313,7375,P
2.836167,1174,B
2.857021,1226,B
2.877875,248,B
2.898729,11208,P
2.919583,791,B
2.940437,604,B
2.961292,179,B
2.982146,7759,P
3.003,844,B
3.023854,633,B
3.044708,194,B
3.065562,7670,P
3.086417,1075,B
3.107271,1168,B
3.128125,195,B
3.148979,7571,P
3.169833,621,B
3.190687,546,B
3.211542,232,B
3.232396,8674,P
3.25325,858,B
3.274104,534,B
3.294958,177,B
3.315812,5139,P
3.336667,1009,B
3.357521,1149,B
3.378375,231,B
3.399229,8732,P
3.420083,683,B
3.440937,567,B
3.461792,166,B
3.482646,4944,P
3.5035,848,B
3.524354,710,B
3.545208,205,B
3.566062,5640,P
3.586917,1123,B
3.607771,1143,B
3.628625,257,B
3.649479,5280,P
3.670333,699,B
3.691187,5394,P
3.712042,914,B
3.732896,21879,P
3.75375,1209,B
3.774604,862,B
3.795458,316,B
3.816312,6584,P
3.837167,1027,B
3.858021,1333,B
3.878875,405,B
3.899729,8740,P
3.920583,931,B
3.941437,6287,P
3.962292,932,B
3.983146,6139,P
4.004,907,B
4.024854,6525,P
4.045708,948,B
4.066562,6753,P
4.087417,1031,B
4.108271,8390,P
4.129125,984,B
4.149979,7218,P
4.170833,1021,B
4.191687,6802,P
4.212542,1095,B
4.233396,9271,P
4.25425,874,B
4.275104,8354,P
4.295958,904,B
4.316813,6045,P
4.337667,990,B
4.358521,8377,P
4.379375,960,B
4.400229,6790,P
4.421083,901,B
4.441937,6246,P
4.462792,902,B
4.483646,6730,P
4.5045,755,B
4.525354,5888,P
4.546208,874,B
4.567062,6097,P
4.587917,977,B
4.608771,6765,P
4.629625,790,B
4.650479,5591,P
4.671333,712,B
4.692188,5008,P
4.713042,844,B
4.733896,7492,P
4.75475,765,B
4.775604,4228,P
4.796458,1291,B
4.817312,1301,B
4.838167,519,B
4.859021,3748,P
4.879875,648,B
4.900729,13819,P
4.921583,931,B
4.942437,13668,P
4.963292,13310,P
4.984146,94082,I
5.025854,9214,B
5.067563,12029,B
5.109271,33380,P
5.150979,12210,B
5.192687,18723,B
5.234396,13259,B
5.276104,30455,P
5.317812,12681,B
5.359521,24386,P
5.401229,13513,B
5.442938,26010,P
5.484646,56273,I
5.526354,24058,P
5.568062,14647,B
5.609771,19610,B
5.651479,16446,B
5.693187,21557,P
5.734896,13863,B
5.776604,17660,B
5.818313,11834,B
5.860021,7490,P
5.901729,555,I
5.943437,98,B
5.985146,88,B
6.026854,85,B
6.068562,107,P
6.110271,85,B
6.151979,90,B
6.193688,85,B
6.235396,95,P
6.277104,13486,P
6.318812,22956,I
6.360521,26348,P
6.402229,18038,B
6.443937,28244,P
6.485646,34461,P
