time,size,pict_type
0,588,?
0.02322,529,?
0.04644,619,?
0.06966,548,?
0.09288,555,?
0.1161,537,?
0.13932,661,?
0.16254,474,?
0.18576,476,?
0.20898,667,?
0.2322,573,?
0.25542,673,?
0.278639,612,?
0.301859,607,?
0.325079,608,?
0.348299,581,?
0.371519,578,?
0.394739,512,?
0.417959,522,?
0.441179,548,?
0.464399,496,?
0.487619,580,?
0.510839,611,?
0.534059,648,?
0.557279,530,?
0.580499,487,?
0.603719,536,?
0.626939,662,?
0.650159,755,?
0.673379,821,?
0.696599,721,?
0.719819,604,?
0.743039,486,?
0.766259,465,?
0.789478,599,?
0.812698,570,?
0.835918,623,?
0.859138,655,?
0.882358,555,?
0.905578,518,?
0.928798,569,?
0.952018,596,?
0.975238,577,?
0.998458,574,?
1.021678,606,?
1.044898,572,?
1.068118,476,?
1.091338,589,?
1.114558,598,?
1.137778,563,?
1.160998,580,?
1.184218,554,?
1.207438,542,?
1.230658,558,?
1.253878,576,?
1.277098,556,?
1.300317,548,?
1.323537,627,?
1.346757,571,?
1.369977,532,?
1.393197,557,?
1.416417,549,?
1.439637,583,?
1.462857,635,?
1.486077,577,?
1.509297,554,?
1.532517,551,?
1.555737,547,?
1.578957,526,?
1.602177,589,?
1.625397,595,?
1.648617,598,?
1.671837,562,?
1.695057,526,?
1.718277,532,?
1.741497,577,?
1.764717,590,?
1.787937,564,?
1.811156,565,?
1.834376,538,?
1.857596,459,?
1.880816,532,?
1.904036,551,?
1.927256,592,?
1.950476,561,?
1.973696,539,?
1.996916,568,?
2.020136,550,?
2.043356,553,?
2.066576,560,?
2.089796,572,?
2.113016,532,?
2.136236,598,?
2.159456,532,?
2.182676,535,?
2.205896,578,?
2.229116,571,?
2.252336,526,?
2.275556,591,?
2.298776,611,?
2.321995,633,?
2.345215,569,?
2.368435,559,?
2.391655,479,?
2.414875,543,?
2.438095,531,?
2.461315,570,?
2.484535,681,?
2.507755,970,?
2.530975,506,?
2.554195,534,?
2.577415,574,?
2.600635,611,?
2.623855,674,?
2.647075,646,?
2.670295,622,?
2.693515,495,?
2.716735,550,?
2.739955,511,?
2.763175,466,?
2.786395,633,?
2.809615,530,?
2.832834,550,?
2.856054,579,?
2.879274,609,?
2.902494,566,?
2.925714,564,?
2.948934,552,?
2.972154,568,?
2.995374,574,?
3.018594,617,?
3.041814,963,?
3.065034,463,?
3.088254,584,?
3.111474,563,?
3.134694,508,?
3.157914,678,?
3.181134,621,?
3.204354,861,?
3.227574,750,?
3.250794,499,?
3.274014,595,?
3.297234,541,?
3.320454,613,?
3.343673,585,?
3.366893,517,?
3.390113,536,?
3.413333,557,?
3.436553,671,?
3.459773,883,?
3.482993,630,?
3.506213,513,?
3.529433,567,?
3.552653,552,?
3.575873,535,?
3.599093,527,?
3.622313,569,?
3.645533,559,?
3.668753,556,?
3.691973,594,?
3.715193,534,?
3.738413,639,?
3.761633,662,?
3.784853,869,?
3.808073,500,?
3.831293,551,?
3.854512,557,?
3.877732,687,?
3.900952,915,?
3.924172,672,?
3.947392,513,?
3.970612,467,?
3.993832,565,?
4.017052,617,?
4.040272,569,?
4.063492,473,?
4.086712,599,?
4.109932,527,?
4.133152,525,?
4.156372,583,?
4.179592,545,?
4.202812,594,?
4.226032,657,?
4.249252,604,?
4.272472,723,?
4.295692,495,?
4.318912,519,?
4.342132,594,?
4.365351,596,?
4.388571,979,?
4.411791,498,?
4.435011,579,?
4.458231,613,?
4.481451,691,?
4.504671,793,?
4.527891,757,?
4.551111,587,?
4.574331,530,?
4.597551,533,?
4.620771,483,?
4.643991,500,?
4.667211,619,?
4.690431,556,?
4.713651,584,?
4.736871,622,?
4.760091,614,?
4.783311,666,?
4.806531,535,?
4.829751,529,?
4.852971,518,?
4.87619,547,?
4.89941,599,?
4.92263,552,?
4.94585,611,?
4.96907,597,?
4.99229,581,?
5.01551,510,?
5.03873,550,?
5.06195,569,?
5.08517,565,?
5.10839,583,?
5.13161,576,?
5.15483,536,?
5.17805,561,?
5.20127,526,?
5.22449,622,?
5.24771,618,?
5.27093,577,?
5.29415,561,?
5.31737,537,?
5.34059,511,?
5.36381,513,?
5.387029,574,?
5.410249,554,?
5.433469,549,?
5.456689,628,?
5.479909,518,?
5.503129,533,?
5.526349,543,?
5.549569,538,?
5.572789,622,?
5.596009,567,?
5.619229,556,?
5.642449,479,?
5.665669,595,?
5.688889,590,?
5.712109,583,?
5.735329,616,?
5.758549,575,?
5.781769,514,?
5.804989,528,?
5.828209,545,?
5.851429,585,?
5.874649,599,?
5.897868,637,?
5.921088,558,?
5.944308,504,?
5.967528,530,?
5.990748,560,?
6.013968,610,?
6.037188,558,?
6.060408,560,?
6.083628,547,?
6.106848,517,?
6.130068,555,?
6.153288,596,?
6.176508,553,?
6.199728,575,?
6.222948,580,?
6.246168,582,?
6.269388,514,?
6.292608,555,?
6.315828,579,?
6.339048,589,?
6.362268,564,?
6.385488,561,?
6.408707,527,?
6.431927,547,?
6.455147,554,?
6.478367,559,?
6.501587,640,?
6.524807,603,?
6.548027,563,?
6.571247,538,?
6.594467,536,?
6.617687,531,?
6.640907,557,?
6.664127,576,?
6.687347,551,?
6.710567,574,?
6.733787,536,?
6.757007,523,?
6.780227,565,?
6.803447,574,?
6.826667,578,?
6.849887,572,?
6.873107,544,?
6.896327,475,?
6.919546,462,?
6.942766,551,?
6.965986,487,?
6.989206,678,?
7.012426,481,?
7.035646,560,?
7.058866,512,?
7.082086,592,?
7.105306,586,?
7.128526,537,?
7.151746,591,?
7.174966,560,?
7.198186,596,?
7.221406,566,?
7.244626,633,?
7.267846,531,?
7.291066,570,?
7.314286,512,?
7.337506,566,?
7.360726,570,?
7.383946,505,?
7.407166,638,?
7.430385,558,?
7.453605,571,?
7.476825,464,?
7.500045,634,?
7.523265,475,?
7.546485,645,?
7.569705,482,?
7.592925,649,?
7.616145,621,?
7.639365,749,?
7.662585,522,?
7.685805,585,?
7.709025,549,?
7.732245,587,?
7.755465,647,?
7.778685,688,?
7.801905,651,?
7.825125,623,?
7.848345,562,?
7.871565,850,?
7.894785,464,?
7.918005,512,?
7.941224,634,?
7.964444,684,?
7.987664,793,?
8.010884,581,?
8.034104,492,?
8.057324,597,?
8.080544,657,?
8.103764,661,?
8.126984,647,?
8.150204,545,?
8.173424,464,?
8.196644,558,?
8.219864,563,?
8.243084,526,?
8.266304,620,?
8.289524,545,?
8.312744,524,?
8.335964,589,?
8.359184,551,?
8.382404,561,?
8.405624,595,?
8.428844,561,?
8.452063,549,?
8.475283,710,?
8.498503,837,?
8.521723,848,?
8.544943,676,?
8.568163,553,?
