time,size,pict_type
0,21383,I
0.020854,79,B
0.041708,78,B
0.062562,79,B
0.083417,94,P
0.104271,83,B
0.125125,96,B
0.145979,79,B
0.166833,167,P
0.187688,79,B
0.208542,79,B
0.229396,88,B
0.25025,97,P
0.271104,123,B
0.291958,155,B
0.312812,99,B
0.333667,231,P
0.354521,171,B
0.375375,216,B
0.396229,124,B
0.417083,387,P
0.437937,248,B
0.458792,384,B
0.479646,198,B
0.5005,607,P
0.521354,414,B
0.542208,610,B
0.563063,284,B
0.583917,1122,P
0.604771,842,B
0.625625,1180,B
0.646479,614,B
0.667333,3409,P
0.688187,1063,B
0.709042,1949,B
0.729896,917,B
0.75075,3894,P
0.771604,1122,B
0.792458,2150,B
0.813312,953,B
0.834167,5374,P
0.855021,1376,B
0.875875,2689,B
0.896729,1154,B
0.917583,9508,P
0.938437,1428,B
0.959292,3467,B
0.980146,1179,B
1.001,15855,P
1.021854,985,B
1.042708,5499,B
1.063562,1263,B
1.084417,6400,P
1.105271,854,B
1.126125,2476,B
1.146979,839,B
1.167833,6463,P
1.188687,241,B
1.209542,647,B
1.230396,191,B
1.25125,35205,P
1.272104,95,B
1.292958,173,B
1.313813,116,B
1.334667,176,P
1.355521,109,B
1.376375,317,B
1.397229,112,B
1.418083,205,P
1.438937,129,B
1.459792,258,B
1.480646,127,B
1.5015,251,P
1.522354,158,B
1.543208,306,B
1.564062,201,B
1.584917,1363,P
1.605771,295,B
1.626625,505,B
1.647479,226,B
1.668333,584,P
1.689187,338,B
1.710042,697,B
1.730896,471,B
1.75175,1789,P
1.772604,519,B
1.793458,966,B
1.814312,467,B
1.835167,1876,P
1.856021,1125,B
1.876875,1973,B
1.897729,795,B
1.918583,6005,P
1.939437,1528,B
1.960292,3775,B
1.981146,2475,B
2.002,3075,P
2.022854,2133,B
2.043708,3408,B
2.064563,1407,B
2.085417,4958,P
2.106271,2481,B
2.127125,2653,B
2.147979,988,B
2.168833,16727,P
2.189687,1167,B
2.210542,2396,B
2.231396,1257,B
2.25225,7454,P
2.273104,862,B
2.293958,1653,B
2.314812,881,B
2.335667,6827,P
2.356521,1076,B
2.377375,1337,B
2.398229,663,B
2.419083,6544,P
2.439938,186,B
2.460792,842,B
2.481646,191,B
2.5025,64017,P
2.523354,93,B
2.544208,105,B
2.565062,83,B
2.585917,143,P
2.606771,84,B
2.627625,133,B
2.648479,104,B
2.669333,764,P
2.690187,80,B
2.711042,118,B
2.731896,88,B
2.75275,115,P
2.773604,106,B
2.794458,173,B
2.815313,125,B
2.836167,997,P
2.857021,159,B
2.877875,172,B
2.898729,100,B
2.919583,282,P
2.940437,199,B
2.961292,408,B
2.982146,211,B
3.003,1243,P
3.023854,246,B
3.044708,356,B
3.065562,194,B
3.086417,536,P
3.107271,421,B
3.128125,560,B
3.148979,255,B
3.169833,2104,P
3.190687,687,B
3.211542,1133,B
3.232396,516,B
3.25325,2235,P
3.274104,876,B
3.294958,1760,B
3.315812,822,B
3.336667,2533,P
3.357521,950,B
3.378375,1289,B
3.399229,567,B
3.420083,1271,P
3.440937,1241,B
3.461792,1862,B
3.482646,815,B
3.5035,8025,P
3.524354,1218,B
3.545208,2957,B
3.566062,1021,B
3.586917,2597,P
3.607771,1461,B
3.628625,2423,B
3.649479,1076,B
3.670333,5216,P
3.691187,2331,B
3.712042,6899,B
3.732896,1484,B
3.75375,14457,P
3.774604,713,B
3.795458,1098,B
3.816312,395,B
3.837167,35720,P
3.858021,465,B
3.878875,1177,B
3.899729,666,B
3.920583,5740,P
3.941437,567,B
3.962292,1248,B
3.983146,758,B
4.004,7232,P
4.024854,670,B
4.045708,1481,B
4.066562,822,B
4.087417,7450,P
4.108271,770,B
4.129125,1352,B
4.149979,793,B
4.170833,7698,P
4.191687,663,B
4.212542,1613,B
4.233396,935,B
4.25425,7750,P
4.275104,644,B
4.295958,1212,B
4.316813,692,B
4.337667,7430,P
4.358521,695,B
4.379375,1212,B
4.400229,758,B
4.421083,6228,P
4.441937,561,B
4.462792,1152,B
4.483646,674,B
4.5045,6830,P
4.525354,645,B
4.546208,1145,B
4.567062,751,B
4.587917,6878,P
4.608771,722,B
4.629625,1167,B
4.650479,629,B
4.671333,6401,P
4.692188,601,B
4.713042,1655,B
4.733896,785,B
4.75475,7422,P
4.775604,501,B
4.796458,1256,B
4.817312,417,B
4.838167,4497,P
4.859021,147,B
4.879875,106230,P
4.900729,171,B
4.921583,25941,P
4.942437,459,B
4.963292,27335,P
4.984146,1686,B
5.005,30898,P
5.025854,480,B
5.046708,33675,P
5.067563,369,B
5.088417,31387,P
5.109271,324,B
5.130125,31022,P
5.150979,295,B
5.171833,29192,P
5.192687,594,P
5.213542,26963,I
5.234396,274,B
5.25525,23822,P
5.276104,310,B
5.296958,23336,P
5.317812,340,B
5.338667,21562,P
5.359521,457,B
5.380375,20527,P
5.401229,400,B
5.422083,21064,P
5.442938,330,B
5.463792,19336,P
5.484646,209,B
5.5055,18281,P
5.526354,203,B
5.547208,16804,P
5.568062,232,B
5.588917,14986,P
5.609771,217,B
5.630625,14031,P
5.651479,360,B
5.672333,11834,P
5.693187,227,B
5.714042,7312,P
5.734896,384,B
5.75575,5978,P
5.776604,227,B
5.797458,5563,P
5.818313,166,B
5.839167,2534,P
5.860021,108,B
5.880875,538,P
5.901729,80,B
5.922583,80,B
5.943437,79,B
5.964292,83,P
5.985146,80,B
6.006,80,B
6.026854,79,B
6.047708,83,P
6.068562,79,B
6.089417,80,B
6.110271,78,B
6.131125,83,P
6.151979,79,B
6.172833,78,B
6.193688,78,B
6.214542,83,P
6.235396,93,B
6.25625,4438,P
6.277104,141,B
6.297958,8981,P
6.318812,186,B
6.339667,10712,P
6.360521,351,B
6.381375,14251,P
6.402229,532,B
6.423083,16902,P
6.443937,1651,B
6.464792,22007,P
6.485646,397,B
6.5065,21603,P
6.527354,617,B
6.548208,26546,P
6.569062,267,B
6.589917,39345,P
6.610771,99,B
6.631625,30075,P
6.652479,227,B
6.673333,31025,P
6.694187,89,B
6.715042,33247,P
6.735896,182,B
6.75675,5144,B
6.777604,376,B
6.798458,33181,P
6.819312,105,B
6.840167,30194,P
6.861021,249,B
6.881875,5898,B
6.902729,142,B
6.923583,31490,P
6.944437,90,B
6.965292,11433,B
6.986146,98,B
7.007,28915,P
7.027854,250,B
7.048708,11445,B
7.069562,119,B
7.090417,34817,P
7.111271,229,B
7.132125,5943,B
7.152979,94,B
7.173833,30771,P
7.194687,80,B
7.215542,12677,B
7.236396,140,B
7.25725,43121,P
7.278104,270,B
7.298958,5973,B
7.319812,95,B
7.340667,28455,P
7.361521,305,B
7.382375,4005,B
7.403229,243,B
7.424083,12300,P
7.444937,82,B
7.465792,4074,B
7.486646,107,B
7.5075,29198,P
7.528354,223,B
7.549208,4868,B
7.570062,90,B
7.590917,37487,P
7.611771,267,B
7.632625,4145,B
7.653479,88,B
7.674333,12579,P
7.695187,218,B
7.716042,4699,B
7.736896,355,B
7.75775,33523,P
7.778604,319,B
7.799458,4996,B
7.820312,238,B
7.841167,30857,P
7.862021,311,B
7.882875,4056,B
7.903729,234,B
7.924583,11293,P
7.945437,246,B
7.966292,4309,B
7.987146,281,B
8.008,24636,P
8.028854,286,B
8.049708,4409,B
8.070562,271,B
8.091417,30585,P
8.112271,360,B
8.133125,3377,B
8.153979,315,B
8.174833,11312,P
8.195688,208,B
8.216542,5720,B
8.237396,281,B
8.25825,38960,P
8.279104,199,B
8.299958,5748,B
8.320812,83,B
8.341667,35789,P
8.362521,185,B
8.383375,3086,B
8.404229,124,B
8.425083,11280,P
8.445937,80,B
8.466792,3560,B
8.487646,199,B
8.5085,30589,P
8.529354,165,B
8.550208,3831,B
8.571063,101,B
8.591917,45128,P
8.612771,171,B
8.633625,3426,B
8.654479,98,B
8.675333,11724,P
8.696187,83,B
8.717042,3566,B
8.737896,154,B
8.75875,37787,P
8.779604,222,B
8.800458,3802,B
8.821312,94,B
8.842167,35495,P
8.863021,151,B
8.883875,2774,B
8.904729,99,B
8.925583,10178,P
8.946438,98,B
8.967292,2901,B
8.988146,204,B
9.009,27568,P
9.029854,81,B
9.050708,3023,B
9.071562,97,B
9.092417,35432,P
9.113271,85,B
9.134125,2383,B
9.154979,94,B
9.175833,8971,P
9.196687,98,B
9.217542,3593,B
9.238396,167,B
9.25925,39859,P
9.280104,86,B
9.300958,3729,B
9.321813,91,B
9.342667,28970,P
9.363521,200,B
9.384375,2842,B
9.405229,87,B
9.426083,9719,P
9.446937,81,B
9.467792,3275,B
9.488646,116,B
9.5095,26670,P
9.530354,275,B
9.551208,3109,B
9.572062,80,B
9.592917,40460,P
9.613771,195,B
9.634625,2908,B
9.655479,82,B
9.676333,9705,P
9.697188,82,B
9.718042,3489,B
9.738896,82,B
9.75975,34311,P
9.780604,81,B
9.801458,2467,B
9.822312,89,B
9.843167,30634,P
9.864021,218,B
9.884875,1981,B
9.905729,215,B
9.926583,9711,P
9.947437,81,B
9.968292,2516,B
9.989146,133,B
10.01,23822,P
10.030854,94,B
10.051708,2770,B
10.072563,113,B
10.093417,31329,P
10.114271,204,B
10.135125,1770,B
10.155979,336,B
10.176833,8293,P
10.197687,81,B
10.218542,2848,B
10.239396,238,B
10.26025,33605,P
10.281104,121,B
10.301958,2514,B
10.322812,93,B
10.343667,31150,P
10.364521,175,B
10.385375,128,B
10.406229,5610,P
10.427083,36702,I
10.447938,80,B
10.468792,2279,B
10.489646,197,B
10.5105,27022,P
10.531354,81,B
10.552208,2417,B
10.573062,93,B
10.593917,36970,P
10.614771,220,B
10.635625,1806,B
10.656479,209,B
10.677333,8035,P
10.698187,81,B
10.719042,2548,B
10.739896,304,B
10.76075,29926,P
10.781604,83,B
10.802458,2467,B
10.823313,101,B
10.844167,31094,P
10.865021,97,B
10.885875,1180,B
10.906729,176,B
10.927583,7582,P
10.948437,81,B
10.969292,1942,B
10.990146,252,B
11.011,23821,P
11.031854,83,B
11.052708,1897,B
11.073562,89,B
11.094417,26567,P
11.115271,155,B
11.136125,1627,B
11.156979,281,B
11.177833,9087,P
11.198688,86,B
11.219542,2612,B
11.240396,188,B
11.26125,27892,P
11.282104,81,B
11.302958,2947,B
11.323812,91,B
11.344667,25010,P
11.365521,112,B
11.386375,1985,B
11.407229,259,B
11.428083,7951,P
11.448937,81,B
11.469792,2931,B
11.490646,279,B
11.5115,27056,P
11.532354,81,B
11.553208,2977,B
11.574063,103,B
11.594917,34258,P
11.615771,81,B
11.636625,2452,B
11.657479,92,B
11.678333,9966,P
11.699187,83,B
11.720042,3313,B
11.740896,339,B
11.76175,27758,P
11.782604,91,B
11.803458,3275,B
11.824312,112,B
11.845167,28911,P
11.866021,170,B
11.886875,2803,B
11.907729,104,B
11.928583,18161,P
11.949438,392,B
11.970292,901,B
11.991146,462,B
12.012,5210,P
12.032854,395,B
12.053708,812,B
12.074562,494,B
12.095417,5409,P
12.116271,81,B
12.137125,875,B
12.157979,307,B
12.178833,7326,P
12.199687,289,B
12.220542,1736,B
12.241396,444,B
12.26225,6595,P
12.283104,80,B
12.303958,1831,B
12.324813,450,B
12.345667,8516,P
12.366521,377,B
12.387375,1011,B
12.408229,391,B
12.429083,6842,P
12.449937,273,B
12.470792,1967,B
12.491646,475,B
12.5125,8947,P
12.533354,425,B
12.554208,2404,B
12.575062,87,B
12.595917,10242,P
12.616771,373,B
12.637625,1714,B
12.658479,484,B
12.679333,7683,P
12.700188,397,B
12.721042,1001,B
12.741896,459,B
12.76275,8385,P
12.783604,83,B
12.804458,1546,B
12.825312,428,B
12.846167,8969,P
12.867021,95,B
12.887875,1497,B
12.908729,447,B
12.929583,8907,P
12.950437,80,B
12.971292,1905,B
12.992146,425,B
13.013,8957,P
13.033854,445,B
13.054708,1269,B
13.075563,403,B
13.096417,8154,P
13.117271,301,B
13.138125,2032,B
