time,size,pict_type
0,5928,I
0.020854,82,B
0.041708,82,B
0.062562,84,P
0.083417,82,B
0.104271,82,B
0.125125,88,P
0.145979,82,B
0.166833,82,B
0.187688,83,P
0.208542,82,B
0.229396,82,B
0.25025,111,P
0.271104,82,B
0.291958,82,B
0.312812,146,P
0.333667,82,B
0.354521,82,B
0.375375,192,P
0.396229,82,B
0.417083,82,B
0.437937,92,P
0.458792,82,B
0.479646,82,B
0.5005,87,P
0.521354,82,B
0.542208,82,B
0.563063,98,P
0.583917,82,B
0.604771,82,B
0.625625,92,P
0.646479,82,B
0.667333,82,B
0.688187,93,P
0.709042,82,B
0.729896,82,B
0.75075,95,P
0.771604,82,B
0.792458,82,B
0.813312,115,P
0.834167,82,B
0.855021,82,B
0.875875,90,P
0.896729,82,B
0.917583,82,B
0.938437,97,P
0.959292,82,B
0.980146,82,B
1.001,96,P
1.021854,82,B
1.042708,82,B
1.063562,88,P
1.084417,82,B
1.105271,82,B
1.126125,311,P
1.146979,82,B
1.167833,82,B
1.188687,122,P
1.209542,82,B
1.230396,82,B
1.25125,121,P
1.272104,175,B
1.292958,82,B
1.313813,4155,P
1.334667,109,B
1.355521,82,B
1.376375,7513,P
1.397229,82,B
1.418083,82,B
1.438937,3576,P
1.459792,82,B
1.480646,82,B
1.5015,3400,P
1.522354,95,B
1.543208,95,B
1.564062,3119,P
1.584917,82,B
1.605771,82,B
1.626625,713,P
1.647479,82,B
1.668333,82,B
1.689187,466,P
1.710042,92,B
1.730896,91,B
1.75175,4097,P
1.772604,82,B
1.793458,82,B
1.814312,956,P
1.835167,82,B
1.856021,82,B
1.876875,529,P
1.897729,91,B
1.918583,88,B
1.939437,713,P
1.960292,82,B
1.981146,82,B
2.002,485,P
2.022854,88,B
2.043708,87,B
2.064563,633,P
2.085417,82,B
2.106271,82,B
2.127125,408,P
2.147979,82,B
2.168833,82,B
2.189687,194,P
2.210542,82,B
2.231396,82,B
2.25225,371,P
2.273104,82,B
2.293958,82,B
2.314812,233,P
2.335667,82,B
2.356521,82,B
2.377375,250,P
2.398229,82,B
2.419083,82,B
2.439938,147,P
2.460792,96,B
2.481646,95,B
2.5025,776,P
2.523354,82,B
2.544208,82,B
2.565062,248,P
2.585917,82,B
2.606771,82,B
2.627625,236,P
2.648479,98,B
2.669333,94,B
2.690187,601,P
2.711042,82,B
2.731896,82,B
2.75275,217,P
2.773604,82,B
2.794458,82,B
2.815313,119,P
2.836167,94,B
2.857021,93,B
2.877875,634,P
2.898729,82,B
2.919583,82,B
2.940437,163,P
2.961292,97,B
2.982146,96,B
3.003,574,P
3.023854,82,B
3.044708,82,B
3.065562,178,P
3.086417,82,B
3.107271,82,B
3.128125,168,P
3.148979,98,B
3.169833,93,B
3.190687,615,P
3.211542,82,B
3.232396,82,B
3.25325,187,P
3.274104,82,B
3.294958,82,B
3.315812,113,P
3.336667,101,B
3.357521,98,B
3.378375,614,P
3.399229,82,B
3.420083,82,B
3.440937,129,P
3.461792,94,B
3.482646,96,B
3.5035,587,P
3.524354,82,B
3.545208,82,B
3.566062,173,P
3.586917,82,B
3.607771,82,B
3.628625,161,P
3.649479,97,B
3.670333,94,B
3.691187,608,P
3.712042,82,B
3.732896,82,B
3.75375,499,P
3.774604,82,B
3.795458,82,B
3.816312,150,P
3.837167,95,B
3.858021,95,B
3.878875,668,P
3.899729,82,B
3.920583,82,B
3.941437,231,P
3.962292,92,B
3.983146,98,B
4.004,531,P
4.024854,82,B
4.045708,82,B
4.066562,240,P
4.087417,82,B
4.108271,82,B
4.129125,290,P
4.149979,90,B
4.170833,89,B
4.191687,492,P
4.212542,82,B
4.233396,82,B
4.25425,261,P
4.275104,82,B
4.295958,82,B
4.316813,216,P
4.337667,94,B
4.358521,84,B
4.379375,447,P
4.400229,82,B
4.421083,82,B
4.441937,189,P
4.462792,90,B
4.483646,94,B
4.5045,386,P
4.525354,82,B
4.546208,82,B
4.567062,182,P
4.587917,82,B
4.608771,82,B
4.629625,199,P
4.650479,94,B
4.671333,91,B
4.692188,427,P
4.713042,82,B
4.733896,82,B
4.75475,240,P
4.775604,82,B
4.796458,82,B
4.817312,143,P
4.838167,187,B
4.859021,199,B
4.879875,14708,P
4.900729,170,B
4.921583,331,B
4.942437,11810,P
4.963292,91,B
