time,size,pict_type
0,61354,I
0.020854,66,B
0.041708,66,B
0.062562,5701,P
0.083417,70,B
0.104271,66,B
0.125125,5374,P
0.145979,66,B
0.166833,66,B
0.187688,219,P
0.208542,66,B
0.229396,66,B
0.25025,183,P
0.271104,66,B
0.291958,66,B
0.312812,250,P
0.333667,67,B
0.354521,66,B
0.375375,229,P
0.396229,66,B
0.417083,67,B
0.437937,2450,P
0.458792,66,B
0.479646,66,B
0.5005,1554,P
0.521354,69,B
0.542208,71,B
0.563063,2624,P
0.583917,66,B
0.604771,66,B
0.625625,2302,P
0.646479,66,B
0.667333,66,B
0.688187,3108,P
0.709042,66,B
0.729896,66,B
0.75075,3261,P
0.771604,66,B
0.792458,66,B
0.813312,3788,P
0.834167,66,B
0.855021,66,B
0.875875,3301,P
0.896729,66,B
0.917583,66,B
0.938437,4005,P
0.959292,69,B
0.980146,70,B
1.001,3345,P
1.021854,69,B
1.042708,69,B
1.063562,4039,P
1.084417,66,B
1.105271,66,B
1.126125,3472,P
1.146979,70,B
1.167833,69,B
1.188687,3923,P
1.209542,66,B
1.230396,66,B
1.25125,3943,P
1.272104,66,B
1.292958,66,B
1.313813,4293,P
1.334667,67,B
1.355521,66,B
1.376375,3156,P
1.397229,66,B
1.418083,66,B
1.438937,3662,P
1.459792,66,B
1.480646,66,B
1.5015,3084,P
1.522354,82,B
1.543208,82,B
1.564062,4244,P
1.584917,66,B
1.605771,67,B
1.626625,3270,P
1.647479,66,B
1.668333,68,B
1.689187,3145,P
1.710042,83,B
1.730896,85,B
1.75175,4348,P
1.772604,66,B
1.793458,66,B
1.814312,3636,P
1.835167,66,B
1.856021,66,B
1.876875,2987,P
1.897729,82,B
1.918583,82,B
1.939437,3651,P
1.960292,66,B
1.981146,69,B
2.002,3292,P
2.022854,80,B
2.043708,79,B
2.064563,3431,P
2.085417,66,B
2.106271,66,B
2.127125,3309,P
2.147979,66,B
2.168833,66,B
2.189687,1788,P
2.210542,66,B
2.231396,68,B
2.25225,3045,P
2.273104,66,B
2.293958,69,B
2.314812,1999,P
2.335667,68,B
2.356521,70,B
2.377375,2596,P
2.398229,66,B
2.419083,66,B
2.439938,1372,P
2.460792,66,B
2.481646,2296,P
2.5025,59828,I
2.523354,66,B
