time,size,pict_type
0,15212,I
0.020854,110,B
0.041708,110,B
0.062562,110,B
0.083417,110,B
0.104271,207,P
0.125125,193,B
0.145979,193,B
0.166833,190,B
0.187688,189,B
0.208542,201,P
0.229396,193,B
0.25025,193,B
0.271104,190,B
0.291958,189,B
0.312812,205,P
0.333667,193,B
0.354521,193,B
0.375375,190,B
0.396229,189,B
0.417083,202,P
0.437937,193,B
0.458792,193,B
0.479646,190,B
0.5005,189,B
0.521354,202,P
0.542208,193,B
0.563063,193,B
0.583917,190,B
0.604771,189,B
0.625625,202,P
0.646479,193,B
0.667333,193,B
0.688187,190,B
0.709042,189,B
0.729896,214,P
0.75075,192,B
0.771604,192,B
0.792458,189,B
0.813312,188,B
0.834167,202,P
0.855021,192,B
0.875875,192,B
0.896729,190,B
0.917583,189,B
0.938437,202,P
0.959292,192,B
0.980146,192,B
1.001,190,B
1.021854,189,B
1.042708,202,P
1.063562,192,B
1.084417,192,B
1.105271,190,B
1.126125,189,B
1.146979,202,P
1.167833,192,B
1.188687,192,B
1.209542,190,B
1.230396,189,B
1.25125,207,P
1.272104,190,B
1.292958,190,B
1.313813,188,B
1.334667,187,B
1.355521,207,P
1.376375,191,B
1.397229,191,B
1.418083,189,B
1.438937,188,B
1.459792,202,P
1.480646,192,B
1.5015,192,B
1.522354,201,B
1.543208,205,B
1.564062,623,P
1.584917,186,B
1.605771,186,B
1.626625,185,B
1.647479,184,B
1.668333,207,P
1.689187,213,B
1.710042,213,B
1.730896,211,B
1.75175,230,B
1.772604,550,P
1.793458,203,B
1.814312,204,B
1.835167,202,B
1.856021,183,B
1.876875,219,P
1.897729,206,B
1.918583,210,B
1.939437,204,B
1.960292,199,B
1.981146,416,P
2.002,206,B
2.022854,207,B
2.043708,199,B
2.064563,186,B
2.085417,589,P
2.106271,169,B
2.127125,169,B
2.147979,167,B
2.168833,173,B
2.189687,196,P
2.210542,180,B
2.231396,180,B
2.25225,179,B
2.273104,178,B
2.293958,197,P
2.314812,180,B
2.335667,180,B
2.356521,179,B
2.377375,178,B
2.398229,205,P
2.419083,180,B
2.439938,177,B
2.460792,187,B
2.481646,185,B
2.5025,635,P
2.523354,166,B
2.544208,166,B
2.565062,167,B
2.585917,166,B
2.606771,204,P
2.627625,192,B
2.648479,192,B
2.669333,188,B
2.690187,208,B
2.711042,660,P
2.731896,165,B
2.75275,165,B
2.773604,166,B
2.794458,165,B
2.815313,192,P
2.836167,186,B
2.857021,186,B
2.877875,181,B
2.898729,223,B
2.919583,578,P
2.940437,167,B
2.961292,167,B
2.982146,176,B
3.003,181,B
3.023854,586,P
3.044708,159,B
3.065562,159,B
3.086417,159,B
3.107271,158,B
3.128125,191,P
3.148979,176,B
3.169833,172,B
3.190687,174,B
3.211542,168,B
3.232396,630,P
3.25325,152,B
3.274104,152,B
3.294958,161,B
3.315812,169,B
3.336667,628,P
3.357521,153,B
3.378375,153,B
3.399229,153,B
3.420083,152,B
3.440937,170,P
3.461792,174,B
3.482646,174,B
3.5035,171,B
3.524354,194,B
3.545208,596,P
3.566062,152,B
3.586917,152,B
3.607771,152,B
3.628625,151,B
3.649479,176,P
3.670333,164,B
3.691187,164,B
3.712042,162,B
3.732896,166,B
3.75375,580,P
3.774604,144,B
3.795458,145,B
3.816312,157,B
3.837167,157,B
3.858021,560,P
3.878875,187,B
3.899729,199,B
3.920583,201,B
3.941437,180,B
3.962292,211,P
3.983146,164,B
4.004,168,B
4.024854,164,B
4.045708,188,B
4.066562,413,P
4.087417,152,B
4.108271,152,B
