time,size,pict_type
0,6262,I
0.020854,1306,P
0.041708,425,P
0.062562,237,P
0.083417,2070,P
0.104271,2283,P
0.125125,852,P
0.145979,1644,P
0.166833,2813,P
0.187688,2921,P
0.208542,3656,P
0.229396,751,P
0.25025,1459,P
0.271104,3569,P
0.291958,4219,P
0.312812,405,P
0.333667,914,P
0.354521,1675,P
0.375375,3649,P
0.396229,2279,P
0.417083,1339,P
0.437937,4942,P
0.458792,1154,P
0.479646,2890,P
0.5005,1945,P
0.521354,2000,P
0.542208,4648,P
0.563063,1833,P
0.583917,1037,P
0.604771,3246,P
0.625625,2002,P
0.646479,5571,P
0.667333,1078,P
0.688187,2011,P
0.709042,3221,P
0.729896,1959,P
0.75075,2889,P
0.771604,2849,P
0.792458,1979,P
0.813312,2302,P
0.834167,1707,P
0.855021,8041,P
0.875875,582,P
0.896729,2111,P
0.917583,1400,P
0.938437,5896,P
0.959292,850,P
0.980146,1797,P
1.001,4386,P
1.021854,1628,P
1.042708,898,P
1.063562,4377,P
1.084417,1042,P
1.105271,4072,P
1.126125,2867,P
1.146979,3424,P
1.167833,921,P
1.188687,3356,P
1.209542,2272,P
1.230396,3623,P
1.25125,929,P
1.272104,3618,P
1.292958,2245,P
1.313813,2806,P
1.334667,1961,P
1.355521,7503,P
1.376375,522,P
1.397229,1237,P
1.418083,2885,P
1.438937,2628,P
1.459792,1654,P
1.480646,2537,P
1.5015,1680,P
1.522354,5446,P
1.543208,1829,P
1.564062,3421,P
1.584917,1623,P
1.605771,2492,P
1.626625,1562,P
1.647479,5309,P
1.668333,712,P
1.689187,2135,P
1.710042,3666,P
1.730896,3732,P
1.75175,1836,P
1.772604,2447,P
1.793458,1536,P
1.814312,4449,P
1.835167,1522,P
1.856021,2224,P
1.876875,1472,P
1.897729,5152,P
1.918583,1590,P
1.939437,1598,P
1.960292,2947,P
1.981146,3498,P
2.002,2184,P
2.022854,1231,P
2.043708,4759,P
2.064563,1363,P
2.085417,2195,P
2.106271,1327,P
2.127125,3552,P
2.147979,1290,P
2.168833,2713,P
2.189687,1969,P
2.210542,3142,P
2.231396,2319,P
2.25225,2839,P
2.273104,1968,P
2.293958,2534,P
2.314812,1895,P
2.335667,5608,P
2.356521,2144,P
2.377375,2208,P
2.398229,1699,P
2.419083,1795,P
2.439938,1283,P
2.460792,4457,P
2.481646,1832,P
2.5025,3965,P
2.523354,2019,P
2.544208,3852,P
2.565062,1771,P
2.585917,3893,P
2.606771,1903,P
2.627625,3164,P
2.648479,1262,P
2.669333,4071,P
2.690187,1620,P
2.711042,3414,P
2.731896,1417,P
2.75275,3131,P
2.773604,2621,P
2.794458,2432,P
2.815313,2038,P
2.836167,4332,P
2.857021,1736,P
2.877875,2987,P
2.898729,2233,P
2.919583,2464,P
2.940437,2293,P
2.961292,2710,P
2.982146,2158,P
3.003,3901,P
3.023854,1619,P
3.044708,2779,P
3.065562,2123,P
3.086417,2750,P
3.107271,2425,P
3.128125,2563,P
3.148979,2034,P
3.169833,3789,P
3.190687,2613,P
3.211542,2958,P
3.232396,2215,P
3.25325,2725,P
3.274104,2359,P
3.294958,2330,P
3.315812,1916,P
3.336667,4088,P
3.357521,2543,P
3.378375,2757,P
3.399229,2155,P
3.420083,2364,P
3.440937,2296,P
3.461792,2638,P
3.482646,2068,P
3.5035,3939,P
3.524354,2506,P
3.545208,2601,P
3.566062,2048,P
3.586917,2745,P
3.607771,2526,P
3.628625,2810,P
3.649479,2126,P
3.670333,13415,P
3.691187,289,P
3.712042,1352,P
3.732896,2443,P
3.75375,1670,P
3.774604,1059,P
3.795458,2790,P
3.816312,1770,P
3.837167,2945,P
3.858021,1742,P
3.878875,4100,P
3.899729,1467,P
3.920583,3646,P
3.941437,1571,P
3.962292,3636,P
3.983146,1577,P
4.004,4427,P
4.024854,1683,P
4.045708,2759,P
4.066562,1682,P
4.087417,4104,P
4.108271,1738,P
4.129125,3921,P
4.149979,1740,P
4.170833,4547,P
4.191687,1759,P
