time,size,pict_type
0,2549,I
0.020854,68,B
0.041708,69,B
0.062562,68,B
0.083417,106,B
0.104271,68,B
0.125125,67,B
0.145979,68,B
0.166833,161,B
0.187688,73,B
0.208542,73,B
0.229396,72,B
0.25025,84,B
0.271104,100,B
0.291958,130,B
0.312812,70,B
0.333667,744,B
0.354521,81,B
0.375375,95,B
0.396229,68,B
0.417083,1708,B
0.437937,74,B
0.458792,76,B
0.479646,70,B
0.5005,522,B
0.521354,74,B
0.542208,85,B
0.563063,69,B
0.583917,251,B
0.604771,68,B
0.625625,68,B
0.646479,68,B
0.667333,169,B
0.688187,69,B
0.709042,67,B
0.729896,68,B
0.75075,161,B
0.771604,69,B
0.792458,80,B
0.813312,68,B
0.834167,143,B
0.855021,68,B
0.875875,67,B
0.896729,68,B
0.917583,99,B
0.938437,68,B
0.959292,67,B
0.980146,68,B
1.001,93,B
1.021854,150,B
1.042708,101,B
1.063562,158,B
1.084417,525,B
1.105271,75,B
1.126125,1608,B
1.146979,373,B
1.167833,1488,B
1.188687,162,B
1.209542,1271,B
1.230396,394,B
1.25125,785,B
1.272104,198,B
1.292958,305,B
1.313813,128,B
1.334667,11279,B
1.355521,271,B
1.376375,353,B
1.397229,167,B
1.418083,9718,B
1.438937,259,B
1.459792,289,B
1.480646,138,B
1.5015,10054,B
1.522354,284,B
1.543208,298,B
1.564062,213,B
1.584917,11163,B
1.605771,308,B
1.626625,363,B
1.647479,241,B
1.668333,7296,B
1.689187,283,B
1.710042,232,B
1.730896,239,B
1.75175,6844,B
1.772604,215,B
1.793458,1012,B
1.814312,305,B
1.835167,4309,B
1.856021,228,B
1.876875,252,B
1.897729,140,B
1.918583,14437,B
1.939437,266,B
1.960292,1111,B
1.981146,522,B
2.002,2181,B
2.022854,255,B
2.043708,303,B
2.064563,183,B
2.085417,6730,B
2.106271,370,B
2.127125,528,B
2.147979,277,B
2.168833,4783,B
2.189687,344,B
2.210542,271,B
2.231396,317,B
2.25225,11409,B
2.273104,203,B
2.293958,587,B
2.314812,716,B
2.335667,2972,B
2.356521,656,B
2.377375,253,B
2.398229,263,B
2.419083,4553,B
2.439938,252,B
2.460792,309,B
2.481646,292,B
2.5025,3153,B
2.523354,331,B
2.544208,502,B
2.565062,321,B
2.585917,5413,B
2.606771,170,B
2.627625,192,B
2.648479,273,B
2.669333,12162,B
2.690187,273,B
2.711042,940,B
2.731896,540,B
2.75275,2299,B
2.773604,323,B
2.794458,255,B
2.815313,238,B
2.836167,5471,B
2.857021,395,B
2.877875,681,B
2.898729,411,B
2.919583,3122,B
2.940437,244,B
2.961292,700,B
2.982146,420,B
3.003,4273,B
3.023854,223,B
3.044708,310,B
3.065562,231,B
3.086417,12519,B
3.107271,182,B
3.128125,570,B
3.148979,392,B
3.169833,4677,B
3.190687,229,B
3.211542,253,B
3.232396,282,B
3.25325,7563,B
3.274104,208,B
3.294958,345,B
3.315812,269,B
3.336667,6710,B
3.357521,441,B
3.378375,659,B
3.399229,373,B
3.420083,3346,B
3.440937,240,B
3.461792,300,B
3.482646,229,B
3.5035,9875,B
3.524354,206,B
3.545208,692,B
3.566062,423,B
3.586917,4320,B
3.607771,193,B
3.628625,286,B
3.649479,265,B
3.670333,8271,B
3.691187,231,B
3.712042,1946,B
3.732896,547,B
3.75375,4546,B
3.774604,265,B
3.795458,297,B
3.816312,261,B
3.837167,10579,B
3.858021,285,B
3.878875,1606,B
3.899729,656,B
3.920583,4548,B
3.941437,279,B
3.962292,477,B
3.983146,410,B
4.004,8544,B
4.024854,261,B
4.045708,688,B
4.066562,884,B
4.087417,5303,B
4.108271,385,B
4.129125,625,B
4.149979,417,B
4.170833,6274,B
4.191687,319,B
4.212542,816,B
4.233396,993,B
4.25425,5090,B
4.275104,346,B
4.295958,499,B
4.316813,417,B
4.337667,5328,B
4.358521,299,B
4.379375,542,B
4.400229,379,B
4.421083,7773,B
4.441937,294,B
4.462792,1841,B
4.483646,700,B
4.5045,4986,B
4.525354,290,B
4.546208,666,B
4.567062,940,B
4.587917,4335,B
4.608771,263,B
4.629625,467,B
4.650479,357,B
4.671333,5514,B
4.692188,292,B
4.713042,598,B
4.733896,401,B
4.75475,6885,B
4.775604,337,B
4.796458,390,B
4.817312,361,B
4.838167,8703,B
4.859021,81,B
4.879875,70,B
4.900729,110,B
4.921583,5585,B
4.942437,730,B
4.963292,336,B
4.984146,191,B
5.005,16006,B
5.025854,1332,B
5.046708,725,B
5.067563,160,B
5.088417,10568,B
5.109271,539,B
5.130125,443,B
5.150979,141,B
