time,size,pict_type
0,32958,I
0.020854,467,B
0.041708,433,B
0.062562,1198,P
0.083417,256,B
0.104271,265,B
0.125125,669,P
0.145979,194,B
0.166833,203,B
0.187688,285,P
0.208542,195,B
0.229396,194,B
0.25025,168,P
0.271104,185,B
0.291958,174,B
0.312812,154,P
0.333667,181,B
0.354521,192,B
0.375375,152,P
0.396229,183,B
0.417083,181,B
0.437937,1272,P
0.458792,146,B
0.479646,148,B
0.5005,701,P
0.521354,277,B
0.542208,296,B
0.563063,362,P
0.583917,142,B
0.604771,144,B
0.625625,504,P
0.646479,244,B
0.667333,229,B
0.688187,382,P
0.709042,145,B
0.729896,178,B
0.75075,430,P
0.771604,269,B
0.792458,302,B
0.813312,346,P
0.834167,160,B
0.855021,161,B
0.875875,450,P
0.896729,199,B
0.917583,208,B
0.938437,331,P
0.959292,148,B
0.980146,159,B
1.001,326,P
1.021854,242,B
1.042708,248,B
1.063562,330,P
1.084417,161,B
1.105271,130,B
1.126125,381,P
1.146979,282,B
1.167833,245,B
1.188687,364,P
1.209542,143,B
1.230396,171,B
1.25125,432,P
1.272104,240,B
1.292958,207,B
1.313813,391,P
1.334667,136,B
1.355521,143,B
1.376375,397,P
1.397229,209,B
1.418083,272,B
1.438937,398,P
1.459792,127,B
1.480646,144,B
1.5015,471,P
1.522354,276,B
1.543208,338,B
1.564062,930,P
1.584917,154,B
1.605771,167,B
1.626625,595,P
1.647479,279,B
1.668333,139,B
1.689187,399,P
1.710042,147,B
1.730896,224,B
1.75175,810,P
1.772604,300,B
1.793458,425,B
1.814312,618,P
1.835167,166,B
1.856021,161,B
1.876875,596,P
1.897729,407,B
1.918583,210,B
1.939437,679,P
1.960292,170,B
1.981146,235,B
2.002,430,P
2.022854,167,B
2.043708,190,B
2.064563,820,P
2.085417,350,B
2.106271,392,B
2.127125,413,P
2.147979,115,B
2.168833,130,B
2.189687,650,P
2.210542,279,B
2.231396,277,B
2.25225,314,P
2.273104,120,B
2.293958,117,B
2.314812,386,P
2.335667,251,B
2.356521,114,B
2.377375,305,P
2.398229,106,B
2.419083,105,B
2.439938,410,P
2.460792,114,B
2.481646,294,P
2.5025,32701,I
2.523354,84,B
2.544208,86,B
2.565062,965,P
2.585917,285,B
2.606771,272,B
2.627625,692,P
2.648479,111,B
2.669333,141,B
2.690187,1267,P
2.711042,105,B
2.731896,108,B
2.75275,464,P
2.773604,87,B
2.794458,86,B
2.815313,279,P
2.836167,125,B
2.857021,124,B
2.877875,1004,P
2.898729,81,B
2.919583,79,B
2.940437,472,P
2.961292,109,B
2.982146,109,B
3.003,796,P
3.023854,85,B
3.044708,86,B
3.065562,271,P
3.086417,76,B
3.107271,76,B
3.128125,362,P
3.148979,94,B
3.169833,117,B
3.190687,906,P
3.211542,74,B
3.232396,77,B
3.25325,254,P
3.274104,66,B
3.294958,66,B
3.315812,228,P
3.336667,120,B
3.357521,121,B
3.378375,843,P
3.399229,73,B
3.420083,73,B
3.440937,265,P
3.461792,93,B
3.482646,93,B
3.5035,859,P
3.524354,73,B
3.545208,69,B
3.566062,251,P
3.586917,83,B
3.607771,84,B
3.628625,341,P
3.649479,105,B
3.670333,143,B
3.691187,927,P
3.712042,220,B
3.732896,231,B
3.75375,49427,P
3.774604,81,B
3.795458,86,B
3.816312,92,P
3.837167,109,B
3.858021,150,B
3.878875,481,P
3.899729,77,B
3.920583,69,B
3.941437,352,P
3.962292,152,B
3.983146,169,B
4.004,518,P
4.024854,65,B
